iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,10,1,0,0.6,C,C,1,148,7456,7604,"[""C""]",8,0.011792353503638347,0.0298886647239035,33.68073081970215
2,index_1,10,1,0,0.6,D,D,1,155,12567,12722,"[""D""]",9,0.019880512908564487,0.0358663976686841,128.14102506637573
3,index_2,10,1,0,0.6,C,C,1,179,10210,10389,"[""C""]",11,0.014333239028290989,0.0363147276395426,60.44989800453186
4,index_3,10,1,0,0.6,B,B,1,153,9036,9189,"[""B""]",12,0.013801939904182686,0.0321303145781962,40.720375061035156
5,index_4,10,1,0,0.6,C,C,1,385,12384,12769,"[""C""]",19,0.020270808697917673,0.0383322125084062,80.28806042671204
6,index_5,10,1,0,0.6,C,C,1,199,10885,11084,"[""C""]",8,0.01709673371608252,0.0295150564148546,103.82987666130066
7,index_6,10,1,0,0.6,C,C,1,191,13452,13643,"[""C""]",16,0.019137063398947975,0.0336247478143914,98.77718663215637
8,index_7,10,1,0,0.6,D,D,1,471,14553,15024,"[""D""]",12,0.02297367249259782,0.0530523798849286,109.64109086990356
9,index_8,10,1,0,0.6,A,C,0,262,7007,7269,"[""C""]",9,0.014634988484688381,0.0366136142867817,27.010243892669678
10,index_9,10,1,0,0.6,C,B,0,148,9923,10071,"[""B""]",8,0.015201461985796848,0.0263767466188448,91.64883160591125
11,index_10,10,1,0,0.6,A,A,1,399,6969,7368,"[""A""]",12,0.017590973623253337,0.0345961294179182,27.720528602600098
12,index_11,10,1,0,0.6,D,D,1,174,10924,11098,"[""D""]",11,0.01559055586807442,0.0328775311962937,82.8697361946106
13,index_12,10,1,0,0.6,A,D,0,340,12451,12791,"[""D""]",9,0.02104245415286156,0.0360158409923037,123.90543603897095
14,index_13,10,1,0,0.6,D,A,0,148,8190,8338,"[""A""]",8,0.011640731824216223,0.0295897780766644,57.018898487091064
15,index_14,10,1,0,0.6,C,D,0,302,7427,7729,"[""D""]",10,0.013561350578018447,0.0316819846073376,38.69231820106506
16,index_15,10,1,0,0.6,B,D,0,221,15051,15272,"[""D""]",10,0.02640376837625807,0.0493910184562504,195.3980371952057
17,index_16,10,1,0,0.6,C,C,1,158,7075,7233,"[""C""]",10,0.011538234619621031,0.0246581483972203,32.4174485206604
18,index_17,10,1,0,0.6,B,A,0,245,10025,10270,"[""A""]",12,0.015179927567443826,0.0321303145781962,75.20804905891418
19,index_18,10,1,0,0.6,A,B,0,543,12256,12799,"[""B""]",10,0.02274803459977024,0.0410969139953673,126.93471145629883
20,index_19,10,2,0,0.6,A,A,1,198,9712,9910,"[""A"", ""A""]",11,0.01924602100843459,0.0400508107300305,30.537989854812622
21,index_20,10,1,0,0.6,B,A,0,277,9138,9415,"[""A""]",7,0.014369246595825173,0.0366136142867817,71.37752962112427
22,index_21,10,1,0,0.6,D,C,0,137,6496,6633,"[""C""]",9,0.011739212609500156,0.0257042516625569,25.035574197769165
23,index_22,10,1,0,0.6,C,D,0,275,13884,14159,"[""D""]",8,0.023168467406493757,0.0413958006426062,152.34234189987183
24,index_23,10,1,0,0.6,B,A,0,225,17388,17613,"[""A""]",9,0.029308075850604087,0.0546962564447432,225.56339955329895
25,index_24,10,1,0,0.6,B,B,1,363,16987,17350,"[""B""]",11,0.027676155115437105,0.0481207502054845,184.7380654811859
26,index_25,10,1,0,0.6,D,A,0,372,14779,15151,"[""A""]",8,0.025925663046710616,0.0464768736456698,176.99654269218445
27,index_26,10,1,0,0.6,A,A,1,164,11561,11725,"[""A""]",11,0.017179934023704286,0.0296644997384741,101.20074081420898
28,index_27,10,1,0,0.6,A,C,0,327,16273,16600,"[""C""]",11,0.026332614601855035,0.0461779869984309,177.4748558998108
29,index_28,10,1,0,0.6,A,A,1,403,9188,9591,"[""A""]",11,0.018206653473509676,0.0418441306134648,42.54372000694275
30,index_29,10,1,0,0.6,A,C,0,101,11007,11108,"[""C""]",10,0.016741457842479004,0.0301128297093327,105.55026149749756
31,index_30,10,1,0,0.6,C,A,0,135,13388,13523,"[""A""]",8,0.021213282361751074,0.0390047074646939,139.84656500816345
32,index_31,10,1,0,0.6,C,C,1,156,15725,15881,"[""C""]",10,0.02592100442287614,0.0484943585145333,190.42579078674316
