iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,aqua_rat_test_0,8,8,A,A,1,176,22414,16150,6248,22590,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.032225109425729336,0.0818949413434955,105.15551733970642
2,aqua_rat_test_1,8,8,E,E,1,156,18808,15618,3174,18964,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",0.03307078858524718,0.0524546065904505,74.65563178062439
3,aqua_rat_test_2,8,8,A,A,1,98,14442,11870,2556,14540,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.031793110006488365,0.0567884629754166,39.831303358078
4,aqua_rat_test_3,8,8,B,B,1,144,13534,10458,3060,13678,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",0.021517415807933586,0.0484196368527236,57.53593730926514
5,aqua_rat_test_4,8,8,B,B,1,109,4523,3221,1286,4632,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",0.013241495740865233,0.0221176118956885,11.580779314041138
6,aqua_rat_test_5,8,8,D,D,1,167,10559,8299,2244,10726,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.02405133208344367,0.043637450496899,31.547276496887207
7,aqua_rat_test_6,8,8,D,D,1,125,12051,9951,2084,12176,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.023114968324645168,0.0413210789807965,41.78463387489319
8,aqua_rat_test_7,8,8,C,C,1,140,6692,4609,2067,6832,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.017321532205828032,0.0274975715459911,18.480531930923462
9,aqua_rat_test_8,8,8,E,E,1,131,12703,9842,2845,12834,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",0.027436369562290928,0.0502129567361577,36.67963981628418
10,aqua_rat_test_9,8,8,D,D,1,118,5925,4227,1682,6043,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.015858444301778546,0.0243592617499812,15.745951175689697
