iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,aqua_rat_test_0,8,8,A,A,1,181,24972,20603,4353,25153,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.03600641099739764,0.0730014360938248,90.52059030532837
2,aqua_rat_test_1,8,8,E,E,1,161,25217,23504,1697,25378,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",0.03328019092416448,0.0626495931067496,109.36527872085571
3,aqua_rat_test_2,8,8,A,A,1,103,9104,7813,1275,9207,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.011347680126788155,0.0241144088080421,40.86754584312439
4,aqua_rat_test_3,8,8,B,B,1,149,13143,11160,1967,13292,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",0.019635144625354976,0.0384753470560076,46.75485110282898
5,aqua_rat_test_4,8,8,B,B,1,114,5008,3819,1173,5122,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",0.008098345634203285,0.015797032072762,16.53881335258484
6,aqua_rat_test_5,8,8,D,D,1,172,11627,10453,1158,11799,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.019149715778091887,0.0336883676400191,37.783422231674194
7,aqua_rat_test_6,8,8,D,D,1,130,10490,9346,1128,10620,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.014501586918089442,0.0278243178554332,41.602339029312134
8,aqua_rat_test_7,8,8,C,C,1,145,6229,4528,1685,6374,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.010099129964083152,0.0192675921493538,20.694400787353516
9,aqua_rat_test_8,8,8,E,E,1,136,20038,18642,1380,20174,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",0.0262118217156558,0.0560674964097653,82.02186322212219
10,aqua_rat_test_9,8,8,D,D,1,123,7617,6312,1289,7740,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.012000285472523416,0.0235160363810436,26.159552574157715
11,aqua_rat_test_10,8,8,B,C,0,166,27117,24931,2170,27283,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.037656961656825194,0.0809597893729057,103.29161357879639
12,aqua_rat_test_11,8,8,A,A,1,154,11377,9539,1822,11531,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.01928286218755011,0.0341072283389181,35.75242614746094
13,aqua_rat_test_12,8,8,C,C,1,126,12816,10752,2048,12942,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.018449970322368354,0.0364408808042125,48.71523094177246
14,aqua_rat_test_13,8,8,D,D,1,89,2197,1634,547,2286,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.003515083522581569,0.0065820966969841,8.604406356811523
15,aqua_rat_test_14,8,8,C,C,1,107,3673,3221,436,3780,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.006688558944488461,0.0128650071804691,11.408811569213867
16,aqua_rat_test_15,8,8,A,A,1,117,3700,2883,801,3817,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.0066214152442519245,0.0114887505983724,11.627737522125244
17,aqua_rat_test_16,8,8,A,A,1,151,36191,34528,1647,36342,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.05696308986476714,0.1025610339875539,121.86770415306091
18,aqua_rat_test_17,8,8,D,D,1,159,9492,8104,1372,9651,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.016449155146139982,0.0302776448061273,29.44605779647827
19,aqua_rat_test_18,8,8,D,D,1,191,4768,3750,1002,4959,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.007772448376191019,0.0149593106749641,17.180744886398315
20,aqua_rat_test_19,8,8,C,C,1,114,8344,6160,2168,8458,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.013930729928538554,0.0244135950215413,26.278181552886963
21,aqua_rat_test_20,8,8,C,E,0,130,115586,81380,1424,115716,"[""A"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",0.12017546572985802,0.2698659645763523,731.2362835407257
