token,frequency,mean_entropy,std_dev_entropy
这是,5,2.9192509225543413,0.08265477742544065
观察,5,2.870417345955329,0.28693565242317903
让我们,6,2.8129264132644365,0.3051779649705657
是否有,6,2.806664084958532,0.3200564212990576
但是,6,2.7748960392180244,0.2457562970386718
这里,8,2.7699733176350647,0.4497806231208968
 suppose,6,2.7654401804279236,0.28363687824543016
 Is,9,2.7394703907220883,0.2920488757905543
 What,5,2.7205250584525418,0.296543118796589
只,6,2.6725238098084922,0.31088036029193195
哦,6,2.662579810801376,0.35210876027370347
看看,8,2.6477969259670306,0.42616304047044323
如果,13,2.5933104002550467,0.38835782551753034
What,5,2.563204682621362,0.3079000383741348
还有,6,2.5630456644619817,0.26048338018010503
 When,7,2.549651511951319,0.84874215325503
不过,11,2.541059869584323,0.23147603135619865
多个,6,2.539806578020908,0.5553463003982052
让我,8,2.5309178784086592,0.45364418964892134
在这种,5,2.5279374706644067,0.32639612998291906
可以用,7,2.5244558965934063,0.5562527450690115
 actually,11,2.511554802983648,0.7161952818784688
这种,6,2.499975957546257,0.6988947278736033
 continues,6,2.4670159645498884,0.2811813141768812
某个,7,2.457073727756665,0.42668793538227545
使用,11,2.4567094050317,0.4730262950578651
某种,6,2.4483669660419003,0.5183005915825254
 clarify,8,2.4476457121627835,0.2835898727704773
中的,18,2.4465246607339486,0.516574309479704
正确的,7,2.4459772677155924,0.7482226901551523
把,8,2.444434950410767,0.3640701215100116
 Which,5,2.4252988304706538,0.3972430013108276
 relative,5,2.4104186906544567,0.612391308192515
回到,11,2.4074406138763176,0.43561430088581166
 denote,11,2.393142325534731,0.5977069455645984
同样,11,2.3917016801894295,0.44088653632575214
 consider,47,2.385021074067726,0.599140500897192
先,11,2.365573354500451,0.47472234209171266
接下来,11,2.359882459780136,0.5381185745116189
我可以,13,2.33467110302964,0.37806882620839144
我,74,2.3320245308790217,0.6651543739313011
会,18,2.3287708119908475,0.6157935772522867
 having,5,2.328482980862364,0.5441336159065454
让,12,2.3260798225914017,0.5904824001339462
各,6,2.3219525258909752,0.5633415626310606
 re,10,2.3167112747675436,0.4342045403485789
 Or,13,2.304172435970862,0.3028771068424047
我们需要,36,2.301938150245621,0.6207328906300899
都能,10,2.300773259883476,0.4024963397734711
但这,7,2.2979982168306075,0.43194731188765023
分解,5,2.2976829223362576,0.41132795925355264
 proceed,5,2.2915081858512707,0.31419516600286984
 maybe,132,2.2894138875811834,0.551109237243811
那,72,2.2696559439600694,0.570656899193937
 let,239,2.2685323119374528,0.6450287022649026
 wouldn,5,2.2684465482726486,0.4615487966082115
是否,42,2.267887388511542,0.6244604523060459
也就是,6,2.265807650293528,0.4698727273319814
考虑,77,2.2631263352458655,0.6333003213062559
更高,5,2.2603593199999024,0.37215310304048427
尽可能,11,2.2453843626129637,0.3201199018750818
对于,52,2.2436925398224488,0.673248412066755
另一种,18,2.2435993078421106,0.6810794788359981
 allows,7,2.241268204758068,0.3694113600975728
我们可以,28,2.228223161945795,0.6963068484871209
根据,9,2.223570847127256,0.783590118072286
再,12,2.2232712477161174,0.526264470220114
三,7,2.220067477335475,0.7181116709365322
此时,8,2.2182609603752645,0.8569459221643155
另一个,22,2.2135834078300456,0.6147113386945392
基,15,2.2129075356288856,0.7865703411292126
转换,10,2.2084973519199815,0.6223189479219288
 complic,5,2.2056361504884223,0.19347679519570712
 unless,7,2.202335651772161,0.45184208421466193
这些,15,2.199057552086314,0.7430089405614926
综,7,2.198151426572467,0.49254344789810295
 write,20,2.196281923185242,0.6501283447327282
更高的,14,2.1958666951582457,0.6430468956466597
可能会,6,2.1958583002287697,0.665691515255973
前面,5,2.1932960267779116,1.0294295346883715
 substit,7,2.185539598640556,0.5023362210641376
This,13,2.1854978016313362,0.5003769417314037
其他,19,2.17997770517311,0.5523037680529319
 instead,11,2.1783705366614927,0.8980094319800833
 considering,23,2.1746180105393336,0.5817770650346309
 calculation,11,2.174612532468999,0.7197508106033994
 And,7,2.169978810261648,0.5630578459496343
 model,22,2.167734887839542,0.7345095271460276
最大的,7,2.160534538078878,0.5014507810131158
现在,58,2.1587729131824966,0.600526522530843
 wait,202,2.155640881323972,0.749154598789027
找出,6,2.1524934829277105,0.5101013727674846
 requires,8,2.152309610109903,0.46201643619231864
 Alternatively,33,2.1499595589881055,0.6511416406145607
We,32,2.149949160506143,0.6669589595158147
模,12,2.1470373690235514,0.9833424269998441
是否存在,6,2.1462215852412063,0.7704515459878524
假设,61,2.1424609530514864,0.6540703924203224
 may,7,2.137117804802956,0.5151143637829257
 Suppose,11,2.1363018677886063,0.414902533753677
