iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,16,16,0,0.98,fixed,C,C,1,153,77341,77494,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",57,0.10675967336449287,0.1947702249880325,162.94117093086243
2,index_1,16,3,0,0.98,fixed,D,B,0,39855,121103,160958,"[""C"", ""D"", ""B""]",92,0.11575485468067406,0.2724988032551459,404.1192524433136
3,index_2,16,16,0,0.98,fixed,C,C,1,184,49562,49746,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",31,0.07864643995518697,0.1416347534705601,87.61778211593628
4,index_3,16,16,0,0.98,fixed,B,D,0,158,76698,76856,"[""A"", ""D"", ""B"", ""D"", ""B"", ""D"", ""D"", ""B"", ""D"", ""D"", ""B"", ""D"", ""D"", ""D"", ""D"", ""D""]",59,0.10237084744020664,0.1651507898516035,175.37567806243896
5,index_4,16,16,0,0.98,fixed,C,C,1,390,66146,66536,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",59,0.0654275559553644,0.1675442795595979,210.88699913024902
6,index_5,16,16,0,0.98,fixed,C,C,1,204,139474,139678,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",100,0.17995549702407046,0.3811033987553853,476.5825312137604
7,index_6,16,16,0,0.98,fixed,C,C,1,196,47451,47647,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",33,0.07321830977001054,0.1488750598372427,85.37513399124146
8,index_7,16,16,0,0.98,fixed,D,D,1,476,87067,87543,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",58,0.13053815613233244,0.231270943034945,172.4123125076294
9,index_8,16,16,0,0.98,fixed,A,B,0,267,90094,90361,"[""A"", ""A"", ""A"", ""B"", ""B"", ""B"", ""A"", ""B"", ""D"", ""D"", ""B"", ""B"", ""A"", ""A"", ""B"", ""D""]",64,0.1286189839162636,0.2063786500718046,194.16172575950623
10,index_9,16,16,0,0.98,fixed,C,C,1,153,75754,75907,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",59,0.0825109960436876,0.1535423647678314,216.16173315048218
11,index_10,16,16,0,0.98,fixed,A,A,1,404,43744,44148,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""D""]",39,0.04134317938327553,0.0904140737194829,152.87896156311035
12,index_11,16,16,0,0.98,fixed,D,D,1,179,87657,87836,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",49,0.14748948473564766,0.2726783149832456,149.84816980361938
