iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
2,index_1,16,1,0,0.95,fixed,D,D,1,160,66782,66942,"[""D""]",38,0.05381719851300544,0.1953374803790477,322.0475778579712
6,index_5,16,8,0,0.95,fixed,C,C,1,204,58427,58631,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",40,0.06668056882563363,0.1370850531945817,151.50978827476501
7,index_6,16,16,0,0.95,fixed,C,C,1,196,53866,54062,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",31,0.06512962688356783,0.1562699843032381,124.82335925102234
14,index_13,16,16,0,0.95,fixed,D,D,1,153,88383,88536,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""A"", ""A"", ""D"", ""A"", ""A"", ""A"", ""D"", ""A"", ""A""]",49,0.08187239071223845,0.1422591709784314,1072.8614432811737
18,index_17,16,9,0,0.95,fixed,B,A,0,250,74799,75049,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",48,0.08387422441856318,0.2127783268414627,200.65679669380188
23,index_22,16,1,0,0.95,fixed,C,B,0,280,64597,64877,"[""B""]",30,0.05187611375620686,0.1953374803790477,372.20342540740967
27,index_26,16,16,0,0.95,fixed,A,A,1,169,53583,53752,"[""A"", ""B"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""B"", ""A"", ""A"", ""A"", ""A"", ""A""]",45,0.0667415674394161,0.1166792628335562,135.06891751289368
30,index_29,16,2,0,0.95,fixed,A,C,0,106,63522,63628,"[""C"", ""C""]",49,0.07261754168193645,0.2009185512470205,154.3049304485321
33,index_32,16,16,0,0.95,fixed,C,A,0,327,71624,71951,"[""A"", ""A"", ""A"", ""A"", ""B"", ""B"", ""A"", ""B"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",44,0.09013369790786968,0.1969652927155397,168.2543079853058
40,index_39,16,16,0,0.95,fixed,A,A,1,178,50830,51008,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",41,0.0638228707921334,0.1262135922330097,119.49894070625305
47,index_46,16,16,0,0.95,fixed,D,D,1,222,124060,124282,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",88,0.17852550868273345,0.294750305214813,280.5969398021698
52,index_51,16,5,0,0.95,fixed,C,C,1,257,81189,81446,"[""C"", ""C"", ""C"", ""C"", ""C""]",52,0.07923661122751684,0.226033370152898,278.5487217903137
59,index_58,16,15,0,0.95,fixed,A,A,1,141,58601,58742,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",37,0.07003449749678242,0.1638858205918261,133.7208833694458
60,index_59,16,2,0,0.95,fixed,C,C,1,209,68272,68481,"[""C"", ""C""]",43,0.10144461950870322,0.2224289285506656,128.86091566085815
69,index_68,16,1,0,0.95,fixed,A,A,1,207,71104,71311,"[""A""]",52,0.06004973723250875,0.1925469449450613,330.5885879993439
89,index_88,16,1,0,0.95,fixed,B,B,1,262,61432,61694,"[""B""]",32,0.06072251313653992,0.2027789082030114,196.4750783443451
93,index_92,16,4,0,0.95,fixed,B,D,0,13542,52531,66073,"[""D"", ""B"", ""B"", ""D""]",37,0.07157526095797663,0.1533050404046276,123.23235058784485
94,index_93,16,2,0,0.95,fixed,D,C,0,203,57927,58130,"[""C"", ""C""]",40,0.08061335288554132,0.1848729725015987,117.30235075950623
95,index_94,16,1,0,0.95,fixed,C,B,0,262,58728,58990,"[""B""]",29,0.05314790567185758,0.1925469449450613,226.4781482219696
100,index_99,16,1,0,0.95,fixed,B,B,1,231,87235,87466,"[""B""]",52,0.0843471773211702,0.2809720365095053,303.1296064853668
101,index_100,16,11,0,0.95,fixed,A,A,1,227,72633,72860,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",43,0.1268109068793942,0.1905703156793209,122.61046719551086
102,index_101,16,16,0,0.95,fixed,D,D,1,444,68198,68642,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",52,0.09502377011583489,0.175803732341143,162.378972530365
105,index_104,16,7,0,0.95,fixed,D,D,1,245,71113,71358,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",40,0.06929157830072655,0.2145224114877042,235.09684681892395
107,index_106,16,16,0,0.95,fixed,A,B,0,285,17067,17352,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",18,0.03621011419196715,0.0669728504156734,30.4062819480896
109,index_108,16,3,0,0.95,fixed,D,D,1,284,62639,62923,"[""D"", ""D"", ""D""]",39,0.08992792098825174,0.2037672228358816,128.04775881767273
110,index_109,16,1,0,0.95,fixed,B,B,1,520,56601,57121,"[""B""]",39,0.07868134490368073,0.2046392651590024,134.32453870773315
111,index_110,16,1,0,0.95,fixed,D,C,0,349,83382,83731,"[""C""]",51,0.0723017542916128,0.2630079646532178,386.2985882759094
116,index_115,16,1,0,0.95,fixed,B,A,0,273,65570,65843,"[""A""]",40,0.05865262653786562,0.2055113074821231,265.44040298461914
117,index_116,16,1,0,0.95,fixed,D,D,1,231,64041,64272,"[""D""]",30,0.050918185139216636,0.1916167664670658,352.8037314414978
120,index_119,16,16,0,0.95,fixed,A,A,1,127,26515,26642,"[""A"", ""A"", ""D"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""D""]",23,0.03665803031287505,0.0669728504156734,56.537872076034546
122,index_121,16,1,0,0.95,fixed,A,C,0,214,78999,79213,"[""C""]",33,0.06083895330962861,0.2241730131969072,563.948323726654
