iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,aqua_rat_test_0,8,8,0,0.95,fixed,A,A,1,173,19123,19296,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",15,0.039137929267305194,0.0666666666666666,53.95062518119812
2,aqua_rat_test_1,8,8,0,0.95,fixed,E,E,1,153,20869,21022,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",23,0.039289141671136375,0.0695585996955859,63.49420499801636
3,aqua_rat_test_2,8,8,0,0.95,fixed,A,A,1,95,15349,15444,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",20,0.02429236941431094,0.0418569254185692,59.96815538406372
4,aqua_rat_test_3,8,8,0,0.95,fixed,B,B,1,141,12754,12895,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",14,0.026636302646637505,0.0486301369863013,34.75394892692566
5,aqua_rat_test_4,8,8,0,0.95,fixed,B,B,1,106,4513,4619,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",5,0.010271931078129092,0.0170471841704717,11.670408725738525
6,aqua_rat_test_5,8,8,0,0.95,fixed,D,D,1,164,10774,10938,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",12,0.0207087854535932,0.0349315068493151,32.46590518951416
7,aqua_rat_test_6,8,8,0,0.95,fixed,D,D,1,122,14968,15090,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",20,0.02627476631702451,0.052283105022831,51.1139190196991
8,aqua_rat_test_7,8,8,0,0.95,fixed,C,C,1,137,6813,6950,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",7,0.014221920324037338,0.026255707762557,18.92451548576355
9,aqua_rat_test_8,8,8,0,0.95,fixed,E,E,1,128,15013,15141,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",18,0.029426020979622144,0.0538812785388127,44.56792974472046
10,aqua_rat_test_9,8,8,0,0.95,fixed,D,D,1,115,6029,6144,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",5,0.01386270566065083,0.0251141552511415,14.708050966262817
11,aqua_rat_test_10,8,8,0,0.95,fixed,B,C,0,158,33329,33487,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",36,0.06466558491075508,0.1117199391171993,100.83742880821228
12,aqua_rat_test_11,8,8,0,0.95,fixed,A,A,1,146,10423,10569,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",12,0.020848800411725352,0.0398021308980213,29.334391593933105
13,aqua_rat_test_12,8,8,0,0.95,fixed,C,C,1,118,10519,10637,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",13,0.019613607839995693,0.0316590563165906,34.715553760528564
14,aqua_rat_test_13,8,8,0,0.95,fixed,D,D,1,81,3611,3692,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",9,0.006569303212837941,0.0150684931506849,11.562594175338745
15,aqua_rat_test_14,8,8,0,0.95,fixed,C,C,1,99,4815,4914,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",8,0.009814575495630007,0.0167427701674277,13.733602285385132
16,aqua_rat_test_15,8,8,0,0.95,fixed,A,A,1,109,5310,5419,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",7,0.010791920558536432,0.0194063926940639,15.39147162437439
17,aqua_rat_test_16,8,8,0,0.95,fixed,A,A,1,143,27929,28072,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",29,0.047580266641465835,0.0917047184170471,94.87806701660156
18,aqua_rat_test_17,8,8,0,0.95,fixed,D,D,1,151,7764,7915,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",10,0.01654209860545471,0.0318112633181126,20.645206689834595
19,aqua_rat_test_18,8,8,0,0.95,fixed,D,D,1,183,6041,6224,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",5,0.012420579362682694,0.0252663622526636,17.260255336761475
20,aqua_rat_test_19,8,8,0,0.95,fixed,C,C,1,106,8657,8763,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",7,0.019097970046925372,0.0334094368340943,22.007078409194946
21,aqua_rat_test_20,8,2,0,0.95,fixed,C,E,0,122,41246,41368,"[""E"", ""E""]",45,0.07700378191195917,0.1501522070015221,126.96257543563843
22,aqua_rat_test_21,8,8,0,0.95,fixed,A,A,1,141,29074,29215,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",25,0.059528656136114515,0.1206240487062404,79.64891910552979
23,aqua_rat_test_22,8,8,0,0.95,fixed,E,E,1,142,19136,19278,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",19,0.03574544307086902,0.0682648401826484,57.87279963493347
24,aqua_rat_test_23,8,8,0,0.95,fixed,A,A,1,144,13252,13396,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",10,0.02665878660111848,0.056697108066971,36.60890078544617
25,aqua_rat_test_24,8,8,0,0.95,fixed,D,D,1,137,6858,6995,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",12,0.014288920110837872,0.0273211567732115,18.904340267181396
26,aqua_rat_test_25,8,8,0,0.95,fixed,D,D,1,123,6080,6203,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",6,0.013663223239210669,0.0249619482496195,15.568907737731934
