iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,aqua_rat_test_0,8,8,0,0.98,fixed,A,A,1,178,31067,31245,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",36,0.04741236818876096,0.097893729056965,106.56714463233948
2,aqua_rat_test_1,8,8,0,0.98,fixed,E,E,1,158,32131,32289,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",45,0.04274749263798469,0.0803015797032072,140.89883732795715
3,aqua_rat_test_2,8,8,0,0.98,fixed,A,A,1,100,12090,12190,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",17,0.017945775190797607,0.0300382958353279,46.02509927749634
4,aqua_rat_test_3,8,8,0,0.98,fixed,B,B,1,146,17308,17454,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",28,0.02242843833094067,0.0452369554810914,76.62256479263306
5,aqua_rat_test_4,8,8,0,0.98,fixed,B,B,1,111,6396,6507,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",11,0.010424854386817112,0.0171732886548587,22.610926151275635
6,aqua_rat_test_5,8,8,0,0.98,fixed,D,D,1,169,14697,14866,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",16,0.02523602246439893,0.0485280038295835,44.70539450645447
7,aqua_rat_test_6,8,8,0,0.98,fixed,D,D,1,127,13972,14099,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",18,0.021329980741519032,0.0406893250359023,49.347291231155396
8,aqua_rat_test_7,8,8,0,0.98,fixed,C,C,1,142,7489,7631,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",8,0.013686430053112634,0.0239947343226424,22.273711442947388
9,aqua_rat_test_8,8,8,0,0.98,fixed,E,E,1,133,21361,21494,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",26,0.034865833456674676,0.0594183820009573,69.39098381996155
10,aqua_rat_test_9,8,8,0,0.98,fixed,D,D,1,120,8472,8592,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",12,0.014381502837342052,0.0263882240306366,26.45130467414856
11,aqua_rat_test_10,8,8,0,0.98,fixed,B,C,0,163,28443,28606,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",35,0.04172850976707273,0.0835926280516994,102.83108067512512
