token,frequency,mean_entropy,std_dev_entropy
 Break,1,3.1883440982577875,0.0
 forming,1,3.18814645019891,0.0
 alternatives,1,3.176488484609792,0.0
 reduce,1,3.159360804442657,0.0
 list,1,3.116416343702819,0.0
 breakdown,1,3.1065157492187514,0.0
 focus,1,3.100505893923846,0.0
Well,1,3.095384997131746,0.0
 standard,1,3.092673152236245,0.0
 partition,1,3.073760554967471,0.0
 having,1,3.0646801238919537,0.0
 overall,1,3.0614610956444226,0.0
 Rice,1,3.059498309205053,0.0
 Normally,1,3.0496280795883077,0.0
 estimate,1,3.0332306548951244,0.0
 invert,1,3.0236773285106375,0.0
 recount,1,3.012168119677318,0.0
 algebra,1,2.9966700252885685,0.0
 extended,1,2.9822169937832306,0.0
 trick,1,2.98077455409519,0.0
 spread,2,2.971437312603487,0.02619898912234686
 relax,1,2.961667325273039,0.0
do,1,2.947315747062759,0.0
 spending,1,2.9381890035182336,0.0
 changing,1,2.933324950123491,0.0
 selected,1,2.92717365014515,0.0
 meant,1,2.9222891665346333,0.0
 am,1,2.9202572338140627,0.0
 places,1,2.9040477554510353,0.0
Sup,2,2.903786050593639,0.30162348990387056
 won,1,2.892570817035434,0.0
 Plus,1,2.8752944783001144,0.0
 mix,1,2.8736810688557206,0.0
 actually,3,2.865971127290067,0.2136752173742511
 yield,1,2.854268604878168,0.0
Start,4,2.8473157464599153,0.19131493240146383
 forgot,1,2.8467093743778715,0.0
 opposite,1,2.8062593819476365,0.0
 worrying,1,2.805534266934499,0.0
 pays,1,2.8015935353365,0.0
 works,2,2.7993514078074804,0.005366248233652282
 Next,1,2.7952714286503477,0.0
 Yeah,1,2.791341487014192,0.0
 wrap,1,2.7907803922362007,0.0
On,1,2.7696905073284466,0.0
 want,3,2.769170973109325,0.0897892928074933
 confirm,2,2.7657241278280775,0.11129923065376146
 Is,2,2.7645948804263174,0.4566189009724091
 treating,1,2.7642696429287303,0.0
 okay,3,2.761790073899047,0.12778910315496364
 constraints,1,2.750968949603036,0.0
 sometimes,5,2.750852268529136,0.32713957789782233
 align,2,2.7498462822679515,0.10928423572600243
Which,8,2.745946573638793,0.2690959993470389
 buys,1,2.7419233547972826,0.0
"""—",1,2.732859461430965,0.0
Based,1,2.721876620463963,0.0
 numer,1,2.7207258571608506,0.0
 minimized,1,2.718483643707985,0.0
 simpl,3,2.7179575159382545,0.37527330604521525
 shouldn,1,2.7171235062269514,0.0
 What,6,2.696882761789696,0.3682441049605146
 Another,2,2.6911213339413713,0.2438160644340328
 reversed,1,2.690312371442804,0.0
 proceed,1,2.6902953503641354,0.0
 imply,1,2.6767851151268367,0.0
 sounds,1,2.6756835456128694,0.0
 computation,2,2.67289895576792,0.3516904404050327
 representation,1,2.6698300182800265,0.0
 itself,2,2.6677360245642427,0.04539679305663524
 angle,3,2.6657789691265936,0.3098324245486643
 consider,18,2.6643887995947786,0.4211138525099756
*k,1,2.657247825824761,0.0
 re,23,2.656186234011716,0.33138913764263894
 mixed,2,2.651249306638185,0.20251677374906674
 already,6,2.650256719423202,0.21122011212792363
 assignment,1,2.6434399370414194,0.0
 mis,13,2.64312573315778,0.41545860028625214
 equ,2,2.6397862104326557,0.1273269757907518
Compute,8,2.6301997447980763,0.4534176586343308
Take,1,2.6266622326732585,0.0
 existing,1,2.6247260431676445,0.0
—,1,2.622531569777756,0.0
 Sometimes,2,2.6184123979320235,0.24607830853435608
Ah,4,2.6089005268538994,0.1376602572997363
 centered,4,2.6063566416860526,0.3998643669833571
 plug,3,2.6040255643718857,0.5202955844922293
 express,4,2.603567362043521,0.8864921987871273
 draw,1,2.5933606025922935,0.0
 assuming,5,2.5896895073194046,0.41673188841919107
 ranges,1,2.5895876197419727,0.0
 look,11,2.58770219735294,0.3409343299430213
Not,1,2.5863600373540327,0.0
 looking,25,2.5809903134617205,0.374459666797445
 figuring,1,2.56291371077261,0.0
...<newline><newline>,1,2.550470704985328,0.0
 considering,21,2.5492455604602724,0.3983495555666454
 distributing,5,2.54561391299299,0.20540331814080096
 chooses,2,2.542901634492229,0.06972402793001486
 misunderstood,1,2.541805169857355,0.0
