iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,16,1,0,0.2,fixed,C,C,1,153,12588,12741,"[""C""]",15,0.01193052664597766,0.0288355328178594,73.89537835121155
2,index_1,16,1,0,0.2,fixed,D,C,0,160,17370,17530,"[""C""]",8,0.021591905427669995,0.0408697168769257,248.06498098373413
3,index_2,16,1,0,0.2,fixed,C,C,1,184,12782,12966,"[""C""]",16,0.01298916426262474,0.0325562467298412,60.642552614212036
4,index_3,16,1,0,0.2,fixed,B,B,1,158,16826,16984,"[""B""]",11,0.016922272257659035,0.0362769606418231,154.23412466049194
5,index_4,16,1,0,0.2,fixed,C,C,1,390,19027,19417,"[""C""]",20,0.02188325706699429,0.0607522818440788,80.5035617351532
6,index_5,16,1,0,0.2,fixed,C,C,1,204,28917,29121,"[""C""]",18,0.03712032773988907,0.0712167897215277,490.047634601593
7,index_6,16,1,0,0.2,fixed,C,C,1,196,10044,10240,"[""C""]",8,0.010171323724428877,0.0357537352479506,59.512064695358276
8,index_7,16,1,0,0.2,fixed,D,D,1,476,19289,19765,"[""D""]",20,0.02758870336229167,0.0715074704959014,64.583247423172
9,index_8,16,1,0,0.2,fixed,A,D,0,267,11736,12003,"[""D""]",8,0.01282817499547085,0.0366257775710714,101.66606783866882
10,index_9,16,1,0,0.2,fixed,C,C,1,153,11131,11284,"[""C""]",10,0.01057993810361801,0.0362769606418231,71.46446204185486
11,index_10,16,1,0,0.2,fixed,A,A,1,404,11722,12126,"[""A""]",14,0.022901108278533526,0.0483692808557641,32.920270919799805
12,index_11,16,1,0,0.2,fixed,D,D,1,179,23872,24051,"[""D""]",24,0.020789549374594676,0.0575547933259694,123.6306414604187
13,index_12,16,1,0,0.2,fixed,A,B,0,345,14651,14996,"[""B""]",8,0.018047882247107606,0.0376140922039416,167.82860207557678
14,index_13,16,1,0,0.2,fixed,D,A,0,153,8740,8893,"[""A""]",8,0.008799636913077589,0.0269751758618684,49.788532972335815
15,index_14,16,1,0,0.2,fixed,C,D,0,307,12506,12813,"[""D""]",21,0.016898446098457243,0.0382535899075635,51.44943189620972
16,index_15,16,1,0,0.2,fixed,B,D,0,226,17970,18196,"[""D""]",8,0.0235685160088596,0.0445904307889076,276.8059058189392
