iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,4,4,33,33.0,1,194,20522,16741.0,3773.0,20716,"[""33"", ""33"", ""33"", ""33""]",0.0309323721273441,0.0560432532992267,141.89924550056458
2,index_1,4,4,23,23.0,1,226,36776,33697.0,3071.0,37002,"[""23"", ""23"", ""23"", ""23""]",0.0605702906363849,0.1176675774664264,248.90557742118835
3,index_2,4,4,116,116.0,1,172,18312,16399.0,1905.0,18484,"[""116"", ""116"", ""116"", ""116""]",0.0306783202126538,0.0598221033660834,108.97861409187315
4,index_3,4,4,809,809.0,1,145,24631,22858.0,1765.0,24776,"[""809"", ""809"", ""809"", ""809""]",0.0399406249088669,0.0734840997616417,149.4741861820221
5,index_4,4,4,197,8603,0,141,114707,112477.0,2222.0,114848,"[""8603"", ""8603"", ""2297"", ""541""]",0.19073106400458567,0.3574210801697576,878.6264832019806
6,index_5,4,4,385,24.0,0,128,81221,101039.0,2573.0,81349,"[""24"", ""24"", ""24"", ""24""]",0.0893413465130068,0.2600430207546073,1179.4585902690887
7,index_6,4,4,371,617.0,0,123,95053,92899.0,2146.0,95176,"[""363"", ""617"", ""503"", ""349""]",0.164535202958252,0.3264926457764083,679.6785788536072
8,index_7,4,4,601,601.0,1,119,66463,63763.0,2692.0,66582,"[""601"", ""601"", ""601"", ""601""]",0.1083242677298481,0.1934771234230567,511.8158299922943
9,index_8,4,4,25,25.0,1,97,34354,32351.0,1995.0,34451,"[""25"", ""25"", ""25"", ""25""]",0.0463883863685365,0.086971687692576,319.11280035972595
10,index_9,4,4,55,55.0,1,108,18795,17176.0,1611.0,18903,"[""55"", ""55"", ""55"", ""55""]",0.0287304880650875,0.0599965118307075,120.924631357193
11,index_10,4,4,540,540.0,1,96,21491,18729.0,2754.0,21587,"[""540"", ""540"", ""540"", ""540""]",0.0299865833967596,0.0532527178652404,159.82776474952698
12,index_11,4,4,45,45.0,1,186,44512,42451.0,2053.0,44698,"[""45"", ""45"", ""45"", ""45""]",0.067689177260127,0.1287134468926225,376.3586549758911
13,index_12,4,4,204,204.0,1,181,12481,9994.0,2479.0,12662,"[""204"", ""204"", ""204"", ""204""]",0.0222108848737683,0.0430207546072902,71.9318151473999
14,index_13,4,4,699,699.0,1,118,53680,73751.0,2363.0,53798,"[""699"", ""699"", ""699"", ""699""]",0.0631854866384094,0.1830126155456077,918.5607204437256
15,index_14,4,4,294,294.0,1,101,26207,24110.0,2089.0,26308,"[""294"", ""294"", ""294"", ""294""]",0.0443579100609792,0.0895296785070635,148.54666757583618
16,index_15,4,4,110,110.0,1,112,37097,35082.0,2007.0,37209,"[""110"", ""179"", ""110"", ""155""]",0.0573160822167552,0.1048776233939887,271.1547384262085
17,index_16,4,4,721,721.0,1,145,33320,30718.0,2594.0,33465,"[""721"", ""721"", ""721"", ""721""]",0.0555424767627921,0.1153421312714376,207.2960906028748
18,index_17,4,4,315,15.0,0,100,98400,97003.0,1389.0,98500,"[""24"", ""15"", ""15"", ""6""]",0.146080273984612,0.2509156444392768,1011.1792531013488
19,index_18,4,4,468,468.0,1,100,49506,46270.0,3228.0,49606,"[""468"", ""468"", ""468"", ""468""]",0.0650318431103008,0.1372013255043311,497.8833558559418
20,index_19,4,4,902,1024.0,0,147,66588,87598.0,1607.0,66735,"[""58564"", ""1022"", ""2"", ""1024""]",0.0731774128445987,0.2027789082030114,1074.485687494278
21,index_20,4,4,211,211.0,1,170,79174,123099.0,2274.0,79344,"[""211"", ""211"", ""211"", ""211""]",0.0720447121186319,0.2328353002732399,1791.751183271408
22,index_21,4,4,80,80.0,1,109,62918,106101.0,2193.0,63027,"[""80"", ""160"", ""80"", ""80""]",0.0894362254776587,0.2010348235567699,1089.2881755828855
23,index_22,4,4,480,480.0,1,131,43832,41161.0,2663.0,43963,"[""480"", ""480"", ""480"", ""480""]",0.0705499797303808,0.1444102087087959,308.34738779067993
24,index_23,4,4,236,236.0,1,118,37523,104760.0,1380.0,37641,"[""236"", ""236"", ""236"", ""236""]",0.0650109111595467,0.1666182198709377,1387.8470258712769
25,index_24,4,4,73,73.0,1,159,21527,18746.0,2773.0,21686,"[""73"", ""73"", ""73"", ""73""]",0.0392469829135484,0.0774373582931224,117.76040148735046
26,index_25,4,4,113,113.0,1,402,53844,50953.0,2883.0,54246,"[""113"", ""113"", ""113"", ""113""]",0.0899569208180224,0.1660368583221906,404.514479637146
27,index_26,4,4,127,127.0,1,208,109173,106486.0,2679.0,109381,"[""163"", ""127"", ""127"", ""13""]",0.1612487108255595,0.3046915876983896,1056.2150495052338
28,index_27,4,4,104,104.0,1,199,49485,46730.0,2747.0,49684,"[""104"", ""104"", ""104"", ""104""]",0.0638291848749962,0.1213882913784082,556.872635602951
29,index_28,4,4,104,104.0,1,124,43059,40733.0,2318.0,43183,"[""104"", ""104"", ""104"", ""104""]",0.0727465803310017,0.1311551653973606,281.0350730419159
30,index_29,4,4,321,321.0,1,109,35060,32166.0,2886.0,35169,"[""321"", ""321"", ""321"", ""321""]",0.0534197083006241,0.1085983373059705,252.7043280601501
