iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,64,64,0,0.98,fixed,33,33.0,1,189,210368,210557,"[""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""89"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""53"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""53"", ""33"", ""33"", ""33"", ""33"", ""37"", ""33"", ""33"", ""33"", ""33"", ""33""]",59,0.3209471288955367,0.7582754240454308,142.00629496574402
2,index_1,64,34,0,0.98,fixed,23,23.0,1,221,361635,361856,"[""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23""]",100,0.3187832130838995,0.9999252783381902,497.0661187171936
3,index_2,64,64,0,0.98,fixed,116,116.0,1,167,162088,162255,"[""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116""]",67,0.2937341064865916,0.6077859971605768,93.9161536693573
4,index_3,64,20,0,0.98,fixed,809,809.0,1,140,241049,241189,"[""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809""]",63,0.4531313780327778,0.9998505566763805,144.18273305892944
5,index_4,64,3,0,0.98,fixed,197,197.0,1,136,323691,323827,"[""197"", ""36"", ""197""]",82,0.2668978463569489,0.9998505566763805,430.8906564712525
6,index_5,64,64,0,0.98,fixed,385,16.0,0,123,768682,768805,"[""24"", ""12"", ""12"", ""16"", ""24"", ""36"", ""24"", ""16"", ""12"", ""16"", ""32"", ""16"", ""16"", ""24"", ""16"", ""12"", ""12"", ""16"", ""36"", ""36"", ""36"", ""24"", ""48"", ""16"", ""16"", ""12"", ""12"", ""16"", ""12"", ""24"", ""24"", ""24"", ""24"", ""24"", ""12"", ""12"", ""24"", ""36"", ""16"", ""72"", ""72"", ""16"", ""24"", ""24"", ""12"", ""36"", ""12"", ""64"", ""24"", ""7"", ""10"", ""12"", ""16"", ""12"", ""16"", ""16"", ""16"", ""16"", ""24"", ""48"", ""16"", ""16"", ""16"", ""24""]",100,0.8086694168590671,1.0,969.1402444839478
7,index_6,64,2,0,0.98,fixed,371,329.0,0,30375,319924,350299,"[""17"", ""329""]",100,0.281819798167765,0.9999252783381902,408.200843334198
8,index_7,64,64,0,0.98,fixed,601,601.0,1,114,879325,879439,"[""13"", ""6"", ""13"", ""601"", ""601"", ""601"", ""601"", ""601"", ""403"", ""601"", ""601"", ""601"", ""601"", ""601"", ""601"", ""601"", ""601"", ""601"", ""601"", ""13"", ""601"", ""101"", ""85"", ""601"", ""601"", ""601"", ""13"", ""601"", ""403"", ""601"", ""13"", ""19"", ""601"", ""7"", ""601"", ""13"", ""601"", ""601"", ""403"", ""601"", ""601"", ""601"", ""601"", ""401"", ""601"", ""601"", ""601"", ""601"", ""201"", ""601"", ""7"", ""401"", ""601"", ""601"", ""601"", ""601"", ""601"", ""601"", ""7"", ""7"", ""6"", ""403"", ""601"", ""601""]",100,0.6979967887961787,1.0,1512.7578015327454
9,index_8,64,34,0,0.98,fixed,25,25.0,1,92,348866,348958,"[""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25""]",100,0.4795139321661745,0.9998505566763805,300.8019473552704
10,index_9,64,52,0,0.98,fixed,55,55.0,1,103,221720,221823,"[""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""49"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55""]",74,0.1469252714758017,0.738399462004035,353.6185050010681
