iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,10,10,C,C,1,148,33552,24707.0,8825.0,33700,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.07137071428779501,0.1230665770006724,77.54815912246704
2,index_1,10,10,D,B,0,155,83056,79016.0,4020.0,83211,"[""B"", ""D"", ""D"", ""B"", ""B"", ""B"", ""D"", ""B"", ""D"", ""C""]",0.156976748405328,0.2979152656355077,244.3469955921173
3,index_2,10,10,C,C,1,179,33849,25096.0,8733.0,34028,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.07812723096661012,0.1404767242023462,73.54693341255188
4,index_3,10,10,B,B,1,153,31212,27200.0,3992.0,31365,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",0.056063449902257395,0.1093925128894867,86.66391563415527
5,index_4,10,10,C,C,1,385,44123,33665.0,10438.0,44508,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.10322404119877221,0.1808264215796159,99.97677826881409
6,index_5,10,10,C,C,1,199,62927,55408.0,7499.0,63126,"[""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""B""]",0.1020973014006689,0.1620712844653665,316.00795006752014
7,index_6,10,10,C,C,1,191,87872,80553.0,7299.0,88063,"[""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""D"", ""C"", ""B""]",0.15257274422944223,0.2491967421355451,392.7422113418579
8,index_7,10,10,D,D,1,471,95029,86967.0,8042.0,95500,"[""A"", ""D"", ""D"", ""C"", ""A"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.18490626952300473,0.3456624075319435,298.6004886627197
9,index_8,10,10,A,C,0,262,50934,45063.0,5851.0,51196,"[""C"", ""C"", ""C"", ""C"", ""D"", ""C"", ""D"", ""A"", ""C"", ""C""]",0.09905889066017584,0.1875513711424942,131.23939633369446
10,index_9,10,10,C,C,1,148,62146,57410.0,4716.0,62294,"[""C"", ""B"", ""C"", ""D"", ""C"", ""C"", ""B"", ""D"", ""C"", ""C""]",0.1389471361618559,0.2528581035642232,134.10556292533877
11,index_10,10,10,A,A,1,399,20338,16058.0,4260.0,20737,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""D"", ""A"", ""D"", ""A""]",0.03597345201254447,0.0800268997982515,72.57828664779663
12,index_11,10,10,D,D,1,174,43428,31977.0,11431.0,43602,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.08793173319100027,0.1482477770305611,104.47449207305908
13,index_12,10,10,A,A,1,340,82796,76252.0,6527.0,83136,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.16781562787968973,0.3579167600687439,232.9305293560028
14,index_13,10,10,D,D,1,148,33678,29552.0,4106.0,33826,"[""D"", ""A"", ""D"", ""D"", ""A"", ""D"", ""D"", ""A"", ""A"", ""D""]",0.05403598124810274,0.1075991930060524,106.17666840553284
15,index_14,10,10,C,C,1,302,33104,26351.0,6733.0,33406,"[""D"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C""]",0.06920453735144141,0.1225435253680041,83.53020691871643
16,index_15,10,10,B,D,0,221,88314,80859.0,7435.0,88535,"[""B"", ""D"", ""D"", ""D"", ""B"", ""D"", ""D"", ""D"", ""A"", ""B""]",0.17071815576463886,0.2791601285212582,267.2107334136963
