iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,10,4,0,0.8,33,33,1,189,18984,19173,"[""33"", ""33"", ""33"", ""33""]",19,0.039405216607637544,0.060972876036763,51.66166019439697
2,index_1,10,2,0,0.8,23,23,1,221,25326,25547,"[""23"", ""23""]",36,0.04066383113639748,0.0665022790106851,108.62229943275452
3,index_2,10,2,0,0.8,116,116,1,167,16958,17125,"[""116"", ""116""]",18,0.026699287072999116,0.0514085033251139,61.703619718551636
4,index_3,10,1,0,0.8,809,809,1,140,12374,12514,"[""809""]",17,0.01711946631567011,0.0321303145781962,77.22001719474792
5,index_4,10,1,0,0.8,197,36,0,136,21192,21328,"[""36""]",13,0.034048909127948446,0.0639617425091534,277.19672417640686
6,index_5,10,1,0,0.8,385,16,0,123,29657,29780,"[""16""]",35,0.03840175887015877,0.0555929163864604,225.60645818710327
7,index_6,10,1,0,0.8,371,135,0,118,17792,17910,"[""135""]",11,0.029758381916241604,0.0567137413136068,237.66719698905945
8,index_7,10,1,0,0.8,601,601,1,114,38375,38489,"[""601""]",52,0.05675631780317567,0.0924306956586714,184.6794776916504
9,index_8,10,2,0,0.8,25,25,1,92,19763,19855,"[""25"", ""25""]",22,0.025003484710745302,0.0424419039079428,129.8961353302002
10,index_9,10,2,0,0.8,55,55,1,103,10234,10337,"[""55"", ""55""]",16,0.017089764195251624,0.0299633863857131,48.06477189064026
11,index_10,10,3,0,0.8,540,540,1,91,22741,22832,"[""540"", ""540"", ""540""]",21,0.0473964589617365,0.0813718897108272,52.318726778030396
12,index_11,10,1,0,0.8,45,45,1,181,29966,30147,"[""45""]",26,0.04184064093341997,0.0714339086901292,319.72878670692444
13,index_12,10,2,0,0.8,204,204,1,176,15386,15562,"[""204"", ""204""]",20,0.023488059150266888,0.0403496973772696,68.0866630077362
14,index_13,10,1,0,0.8,699,699,1,113,32775,32888,"[""699""]",40,0.04584147765642812,0.0814466113726369,138.25083875656128
15,index_14,10,1,0,0.8,294,294,1,96,12259,12355,"[""294""]",18,0.016830670770391656,0.0292908914294254,66.73605418205261
16,index_15,10,1,0,0.8,110,110,1,107,21806,21913,"[""110""]",27,0.0281797950531632,0.0399760890682209,148.0213325023651
17,index_16,10,1,0,0.8,721,721,1,140,41269,41409,"[""721""]",56,0.05526762897263695,0.0754688784278562,340.5993061065674
18,index_17,10,1,0,0.8,315,36,0,95,22884,22979,"[""36""]",22,0.03421857594920017,0.0624673092729581,284.3174958229065
19,index_18,10,1,0,0.8,468,429,0,95,18953,19048,"[""429""]",17,0.02857165142482884,0.052006276619592,220.42709374427795
20,index_19,10,1,0,0.8,902,1922,0,142,15783,15925,"[""1922""]",11,0.025715611474080587,0.0481207502054845,195.98679637908936
21,index_20,10,1,0,0.8,211,211,1,165,36626,36791,"[""211""]",18,0.05885885424104536,0.1182843906448479,1150.8479421138763
22,index_21,10,1,0,0.8,80,80,1,104,20826,20930,"[""80""]",9,0.03561171119996943,0.0687439288649779,305.0450642108917
23,index_22,10,1,0,0.8,480,480,1,126,17870,17996,"[""480""]",21,0.026982789442797812,0.0454307703803332,177.01933121681213
24,index_23,10,1,0,0.8,236,236,1,113,14888,15001,"[""236""]",13,0.019896955062897508,0.0381080475229769,116.82465386390686
25,index_24,10,1,0,0.8,73,73,1,154,13044,13198,"[""73""]",9,0.018962269956177898,0.032503922887245,115.504558801651
26,index_25,10,1,0,0.8,113,113,1,397,17645,18042,"[""113""]",14,0.02716173188266441,0.0457296570275722,164.55082297325134
27,index_26,10,1,0,0.8,127,43,0,203,24098,24301,"[""43""]",15,0.03738849930993009,0.0688186505267877,305.1555061340332
28,index_27,10,2,0,0.8,104,104,1,194,28776,28970,"[""104"", ""104""]",39,0.04053255865443653,0.0612717626840021,212.88181042671204
29,index_28,10,1,0,0.8,104,191,0,119,34469,34588,"[""191""]",33,0.05724267584647621,0.1073003063588133,516.8645215034485
30,index_29,10,1,0,0.8,321,321,1,104,16889,16993,"[""321""]",29,0.0272519697304233,0.0381080475229769,73.69020342826843
