iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,aqua_rat_test_0,8,1,0,0.0,fixed,A,A,1,178,25171,25349,"[""A""]",28,0.03649987171151109,0.0911574908435556,90.17552161216736
2,aqua_rat_test_1,8,5,0,0.0,fixed,E,E,1,158,20948,21106,"[""E"", ""E"", ""E"", ""E"", ""E""]",24,0.033175691672796194,0.0637172257426893,69.73513674736023
3,aqua_rat_test_2,8,7,0,0.0,fixed,A,A,1,100,13373,13473,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",22,0.021190365500475747,0.0316260682518457,48.67070174217224
4,aqua_rat_test_3,8,8,0,0.0,fixed,B,B,1,146,16019,16165,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",20,0.022348701023843866,0.0488343700947618,63.48642373085022
5,aqua_rat_test_4,8,8,0,0.0,fixed,B,B,1,111,6053,6164,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",11,0.009689574281001917,0.0204639265159002,23.37100386619568
6,aqua_rat_test_5,8,8,0,0.0,fixed,D,D,1,169,14293,14462,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",19,0.02523522911170778,0.0427882099877914,45.52761507034302
7,aqua_rat_test_6,8,8,0,0.0,fixed,D,D,1,127,13738,13865,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",18,0.02494386065815988,0.0419161676646706,40.89402651786804
8,aqua_rat_test_7,8,8,0,0.0,fixed,C,C,1,142,6945,7087,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",12,0.015056266822306468,0.0223824196267659,20.019569635391235
9,aqua_rat_test_8,8,3,0,0.0,fixed,E,E,1,133,22417,22550,"[""E"", ""E"", ""E""]",26,0.042952270336019976,0.0795302598686122,60.00761389732361
10,aqua_rat_test_9,8,8,0,0.0,fixed,D,D,1,120,8004,8124,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",13,0.015677052966394774,0.0283704435788616,23.50922989845276
11,aqua_rat_test_10,8,3,0,0.0,fixed,B,C,0,163,22829,22992,"[""C"", ""C"", ""C""]",26,0.03805372615961903,0.0791233067844893,70.99112439155579
12,aqua_rat_test_11,8,8,0,0.0,fixed,A,A,1,151,11094,11245,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",16,0.019953927513709842,0.0358118714028253,35.05217266082764
13,aqua_rat_test_12,8,7,0,0.0,fixed,C,C,1,123,15925,16048,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",22,0.02219601015948082,0.0384861345270624,63.055278301239014
14,aqua_rat_test_13,8,8,0,0.0,fixed,D,D,1,86,3179,3265,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",9,0.006689263153530324,0.0111621417359455,10.2468843460083
15,aqua_rat_test_14,8,8,0,0.0,fixed,C,C,1,104,4553,4657,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",11,0.009496097206304758,0.0167432126039184,13.96540641784668
16,aqua_rat_test_15,8,8,0,0.0,fixed,A,A,1,114,4480,4594,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",11,0.008896779958394416,0.0167432126039184,14.766602277755737
17,aqua_rat_test_16,8,1,0,0.0,fixed,A,A,1,148,26165,26313,"[""A""]",28,0.03237147049556992,0.0897622231265624,112.20388722419739
18,aqua_rat_test_17,8,8,0,0.0,fixed,D,D,1,156,10543,10699,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",16,0.020086023443286975,0.0334864252078367,32.473981857299805
19,aqua_rat_test_18,8,8,0,0.0,fixed,D,D,1,188,5378,5566,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",11,0.012816579156765113,0.0213941049938957,16.492348194122314
20,aqua_rat_test_19,8,8,0,0.0,fixed,C,C,1,111,10235,10346,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",17,0.016267388546556627,0.0339515144468345,35.87976002693176
21,aqua_rat_test_20,8,1,0,0.0,fixed,C,E,0,127,30927,31054,"[""E""]",28,0.030823760594452573,0.0888320446485669,230.75817728042603
22,aqua_rat_test_21,8,1,0,0.0,fixed,A,A,1,146,25566,25712,"[""A""]",28,0.033461782522204324,0.0893552700424393,101.93971562385559
23,aqua_rat_test_22,8,4,0,0.0,fixed,E,E,1,147,22666,22813,"[""E"", ""E"", ""E"", ""E""]",25,0.030889392694109452,0.0679030288936689,87.23515391349792
