iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,10,1,0,0.76,C,C,1,148,9383,9531,"[""C""]",7,0.012900182033976961,0.0351191810505865,61.19552397727966
2,index_1,10,1,0,0.76,D,D,1,155,15263,15418,"[""D""]",8,0.0266481395533045,0.0506612867070164,199.20304536819458
3,index_2,10,1,0,0.76,C,C,1,179,10489,10668,"[""C""]",13,0.01566712124741703,0.0369872225958305,48.86149787902832
4,index_3,10,1,0,0.76,B,B,1,153,8073,8226,"[""B""]",7,0.011654396950797489,0.0321303145781962,43.52117133140564
5,index_4,10,1,0,0.76,C,C,1,385,9443,9828,"[""C""]",15,0.016580759967623804,0.0376597175521183,61.00745344161987
6,index_5,10,1,0,0.76,C,C,1,199,10174,10373,"[""C""]",10,0.014643256327646391,0.034371964432489,71.88050961494446
7,index_6,10,1,0,0.76,C,D,0,191,24006,24197,"[""D""]",17,0.0402825777516924,0.076141373384144,325.42272758483887
8,index_7,10,1,0,0.76,D,A,0,471,19576,20047,"[""A""]",13,0.030524637517167306,0.0612717626840021,191.24520635604858
9,index_8,10,1,0,0.76,A,C,0,262,9175,9437,"[""C""]",8,0.014374611920492601,0.0298886647239035,73.55145645141602
10,index_9,10,1,0,0.76,C,C,1,148,10689,10837,"[""C""]",8,0.016613108060857428,0.0295150564148546,104.35352659225464
11,index_10,10,2,0,0.76,A,A,1,399,10608,11007,"[""A"", ""A""]",14,0.023605917762119403,0.0457296570275722,40.36112713813782
12,index_11,10,2,0,0.76,D,D,1,174,15414,15588,"[""D"", ""D""]",17,0.0219962374027714,0.0298139430620937,105.88479280471802
13,index_12,10,1,0,0.76,A,A,1,340,12470,12810,"[""A""]",7,0.02147309748627523,0.0410969139953673,132.48316931724548
14,index_13,10,1,0,0.76,D,A,0,148,9932,10080,"[""A""]",7,0.0142170614293477,0.0321303145781962,80.93950176239014
15,index_14,10,1,0,0.76,C,C,1,302,7329,7631,"[""C""]",7,0.012696312025736936,0.0388552641410745,43.203983783721924
16,index_15,10,1,0,0.76,B,B,1,221,13461,13682,"[""B""]",8,0.023278063707247224,0.0431143988642307,158.4424021244049
17,index_16,10,2,0,0.76,C,C,1,158,7808,7966,"[""C"", ""C""]",12,0.014308567141452101,0.0289172831203765,30.518146514892578
18,index_17,10,1,0,0.76,B,A,0,245,11729,11974,"[""A""]",13,0.017634980632069194,0.0339983561234401,97.64712572097778
19,index_18,10,1,0,0.76,A,B,0,543,16279,16822,"[""B""]",9,0.028525956760256425,0.0517821116341628,183.1884205341339
20,index_19,10,1,0,0.76,A,A,1,198,8963,9161,"[""A""]",10,0.019085330070388942,0.0410969139953673,38.97437596321106
21,index_20,10,1,0,0.76,B,A,0,277,14300,14577,"[""A""]",13,0.022923801092392778,0.0396772024209818,142.4167606830597
22,index_21,10,0,0,0.76,D,,0,137,6601,6738,[],7,0.01769581833809212,0.0313830979600986,15.891339302062988
23,index_22,10,1,0,0.76,C,B,0,275,15100,15375,"[""B""]",5,0.02706261640492191,0.0505118433833968,195.3703384399414
24,index_23,10,1,0,0.76,B,A,0,225,18328,18553,"[""A""]",23,0.0272177491012125,0.0428902338788014,159.41758131980896
25,index_24,10,1,0,0.76,B,C,0,363,16444,16807,"[""C""]",13,0.026517171810866547,0.0453560487185235,171.51019525527954
26,index_25,10,1,0,0.76,D,A,0,372,12565,12937,"[""A""]",10,0.02145434470583276,0.0418441306134648,125.76683139801025
27,index_26,10,1,0,0.76,A,B,0,164,12259,12423,"[""B""]",7,0.018205613508603433,0.0321303145781962,111.12651991844177
28,index_27,10,1,0,0.76,A,A,1,327,15542,15869,"[""A""]",8,0.02431480007344751,0.0470746469401479,148.85696387290955
29,index_28,10,1,0,0.76,A,D,0,403,16690,17093,"[""D""]",12,0.0271342715710087,0.0464021519838601,172.94543647766113
30,index_29,10,1,0,0.76,A,C,0,101,10361,10462,"[""C""]",8,0.01601714376258265,0.0290667264439961,103.07443952560425
31,index_30,10,1,0,0.76,C,A,0,135,15411,15546,"[""A""]",11,0.024053836756771127,0.0441605021295673,166.7108314037323
32,index_31,10,1,0,0.76,C,C,1,156,21419,21575,"[""C""]",17,0.036542015291120056,0.0697900321303145,304.45414781570435
33,index_32,10,1,0,0.76,C,A,0,322,9679,10001,"[""A""]",6,0.016256403137590084,0.0356422326832548,90.30908370018005
34,index_33,10,1,0,0.76,A,C,0,472,14121,14593,"[""C""]",10,0.024387135833574557,0.0455802137039528,146.15628719329834
35,index_34,10,1,0,0.76,C,C,1,318,11756,12074,"[""C""]",13,0.018178957896256644,0.0388552641410745,87.12345266342163
36,index_35,10,2,0,0.76,B,B,1,154,11572,11726,"[""B"", ""B""]",12,0.01610582274527678,0.0287678397967571,85.44278883934021
37,index_36,10,1,0,0.76,D,B,0,162,14774,14936,"[""B""]",10,0.022545604051208243,0.0404244190390794,148.8192596435547
38,index_37,10,1,0,0.76,C,C,1,303,10751,11054,"[""C""]",10,0.01748997638754313,0.0298886647239035,101.31221580505371
39,index_38,10,1,0,0.76,B,B,1,243,6466,6709,"[""B""]",10,0.011905408845556749,0.0276470148696107,31.60678267478943
40,index_39,10,5,0,0.76,A,B,0,173,11016,11189,"[""B"", ""B"", ""B"", ""A"", ""A""]",12,0.01522199174873364,0.0403496973772696,59.920196771621704
41,index_40,10,1,0,0.76,A,A,1,147,6965,7112,"[""A""]",8,0.010367801956062244,0.0239109317791227,53.62582874298096
42,index_41,10,1,0,0.76,D,D,1,234,9015,9249,"[""D""]",11,0.014329593414773458,0.035268624374206,45.6663715839386
43,index_42,10,1,0,0.76,A,B,0,270,14133,14403,"[""B""]",9,0.02406708289284207,0.0437868938205185,163.37249732017517
44,index_43,10,1,0,0.76,A,A,1,313,6969,7282,"[""A""]",10,0.017419290128974554,0.0349697377269671,24.046940088272095
45,index_44,10,1,0,0.76,D,D,1,180,15968,16148,"[""D""]",9,0.02691082805680089,0.0505118433833968,200.590482711792
46,index_45,10,1,0,0.76,C,D,0,98,12129,12227,"[""D""]",5,0.019172529276987257,0.0356422326832548,127.91422009468079
47,index_46,10,1,0,0.76,D,D,1,217,19417,19634,"[""D""]",16,0.028950548217019256,0.0506612867070164,196.51941776275635
48,index_47,10,1,0,0.76,A,D,0,154,14937,15091,"[""D""]",8,0.026996694888684555,0.0517821116341628,204.26210236549377
49,index_48,10,1,0,0.76,B,D,0,427,16096,16523,"[""D""]",11,0.028864584168907012,0.0518568332959724,199.8734028339386
50,index_49,10,2,0,0.76,D,D,1,201,7363,7564,"[""D"", ""D""]",9,0.015531638405607586,0.034371964432489,25.119211196899414
51,index_50,10,1,0,0.76,D,A,0,168,15898,16066,"[""A""]",8,0.028221839347638448,0.053874318164836,215.571839094162
52,index_51,10,1,0,0.76,C,C,1,252,12065,12317,"[""C""]",17,0.018113867113256722,0.0323544795636254,85.68083596229553
53,index_52,10,1,0,0.76,D,C,0,231,16817,17048,"[""C""]",9,0.028190876706768387,0.0522304416050213,208.5885293483734
54,index_53,10,1,0,0.76,A,C,0,185,12533,12718,"[""C""]",7,0.018700441396015878,0.0336247478143914,113.52231621742249
55,index_54,10,1,0,0.76,B,B,1,203,14025,14228,"[""B""]",9,0.022403322277417956,0.0403496973772696,146.6119360923767
56,index_55,10,1,0,0.76,A,A,1,259,19895,20154,"[""A""]",15,0.03228966934380498,0.059104834491519,241.28688883781433
57,index_56,10,1,0,0.76,D,B,0,191,17666,17857,"[""B""]",10,0.030841367425174716,0.0585817828588507,239.70833086967468
58,index_57,10,1,0,0.76,A,D,0,87,6375,6462,"[""D""]",7,0.011190196126309062,0.0291414481058058,21.07075810432434
59,index_58,10,1,0,0.76,A,A,1,136,11188,11324,"[""A""]",11,0.015052908292038734,0.0349697377269671,79.9627251625061
60,index_59,10,1,0,0.76,C,C,1,204,15026,15230,"[""C""]",8,0.025872467314714164,0.0484196368527236,187.1359646320343
61,index_60,10,1,0,0.76,C,C,1,226,9503,9729,"[""C""]",11,0.014943297609606018,0.0268997982515131,81.20919919013977
62,index_61,10,1,0,0.76,C,C,1,252,15633,15885,"[""C""]",9,0.02609120714250601,0.0477471418964358,184.727778673172
63,index_62,10,1,0,0.76,D,D,1,247,13983,14230,"[""D""]",5,0.02453703638158382,0.0455802137039528,172.94656658172607
64,index_63,10,1,0,0.76,C,C,1,241,21402,21643,"[""C""]",15,0.03321803654691054,0.0600014944332362,245.23419642448425
65,index_64,10,1,0,0.76,A,A,1,292,16550,16842,"[""A""]",13,0.02680085155103989,0.0474482552491967,180.67498111724854
66,index_65,10,1,0,0.76,C,C,1,124,6557,6681,"[""C""]",8,0.010563004144513099,0.0251064783680788,28.15882682800293
67,index_66,10,1,0,0.76,D,D,1,242,9621,9863,"[""D""]",10,0.014456662893168735,0.0322797579018157,70.69320034980774
68,index_67,10,1,0,0.76,B,B,1,160,9719,9879,"[""B""]",8,0.013554213931298673,0.0321303145781962,62.03597354888916
69,index_68,10,1,0,0.76,A,A,1,202,18847,19049,"[""A""]",14,0.029376091576928852,0.0533512665321677,212.32867217063904
70,index_69,10,1,0,0.76,D,C,0,165,15531,15696,"[""C""]",15,0.021445438568325446,0.0369872225958305,123.31859469413757
71,index_70,10,1,0,0.76,C,B,0,171,7794,7965,"[""B""]",9,0.011529292590297884,0.0328775311962937,44.525259256362915
72,index_71,10,1,0,0.76,B,D,0,199,11650,11849,"[""D""]",9,0.017599666072813228,0.034371964432489,104.42342042922974
73,index_72,10,4,0,0.76,C,C,1,187,11092,11279,"[""C"", ""C"", ""C"", ""C""]",11,0.022021986376287175,0.0336247478143914,37.361809968948364
74,index_73,10,1,0,0.76,A,A,1,169,8775,8944,"[""A""]",8,0.013049560689037091,0.0246581483972203,72.09004735946655
75,index_74,10,1,0,0.76,B,B,1,639,10378,11017,"[""B""]",12,0.02159273506901711,0.0530523798849286,58.16508436203003
76,index_75,10,1,0,0.76,D,C,0,221,11116,11337,"[""C""]",10,0.016081972261115893,0.0425913472315624,61.360350608825684
77,index_76,10,1,0,0.76,A,C,0,571,13723,14294,"[""C""]",6,0.026659203313487034,0.0469999252783381,174.21704769134521
78,index_77,10,1,0,0.76,C,C,1,515,11748,12263,"[""C""]",9,0.021807092363182057,0.039602480759172,125.74530005455017
79,index_78,10,1,0,0.76,A,D,0,387,16961,17348,"[""D""]",13,0.027899590278220004,0.0483449151909138,184.80319356918335
80,index_79,10,1,0,0.76,A,C,0,119,18087,18206,"[""C""]",7,0.03159872877490515,0.060972876036763,252.73374605178833
81,index_80,10,1,0,0.76,D,D,1,248,16587,16835,"[""D""]",14,0.02643473318664006,0.0469999252783381,180.66157412528992
82,index_81,10,1,0,0.76,A,A,1,804,10005,10809,"[""A""]",11,0.020878262458517094,0.054472091459314,89.67175936698914
83,index_82,10,1,0,0.76,A,A,1,193,13917,14110,"[""A""]",19,0.019820216016863023,0.0410969139953673,93.94145488739014
84,index_83,10,4,0,0.76,D,D,1,128,9183,9311,"[""D"", ""D"", ""D"", ""D""]",9,0.02019677603860154,0.0381080475229769,23.430530071258545
85,index_84,10,1,0,0.76,C,D,0,288,11039,11327,"[""D""]",9,0.017831677153584233,0.0295897780766644,101.50528502464294
86,index_85,10,1,0,0.76,A,C,0,335,12422,12757,"[""C""]",5,0.02166915815041565,0.0410969139953673,133.80786967277527
87,index_86,10,1,0,0.76,C,C,1,309,7046,7355,"[""C""]",6,0.01211805009054035,0.030635881342001,51.21996855735779
88,index_87,10,10,0,0.76,A,A,1,168,10318,10486,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",6,0.027294044550013784,0.0478218635582455,22.137817859649658
89,index_88,10,1,0,0.76,B,B,1,257,13453,13710,"[""B""]",9,0.02094380472560917,0.0364641709631622,125.77627205848694
90,index_89,10,1,0,0.76,B,D,0,204,12688,12892,"[""D""]",6,0.023772903388425366,0.0452066053949039,172.08884692192078
91,index_90,10,1,0,0.76,B,C,0,235,12972,13207,"[""C""]",7,0.020845850382872344,0.0369125009340207,130.56548285484314
92,index_91,10,1,0,0.76,C,B,0,204,19584,19788,"[""B""]",8,0.03802201671422098,0.073974445191661,314.2687427997589
93,index_92,10,1,0,0.76,B,D,0,397,11197,11594,"[""D""]",14,0.018325243174248176,0.0406485840245086,74.43666410446167
94,index_93,10,1,0,0.76,D,D,1,198,13759,13957,"[""D""]",13,0.019975126700589423,0.0340730777852499,116.31349611282349
95,index_94,10,0,0,0.76,C,,0,257,5823,6080,[],7,0.018271886546936938,0.0366136142867817,15.744683980941772
96,index_95,10,1,0,0.76,A,A,1,152,24549,24701,"[""A""]",17,0.042272736813109085,0.0809982814017783,349.9523160457611
97,index_96,10,3,0,0.76,A,A,1,272,10888,11160,"[""A"", ""A"", ""A""]",10,0.018420861885134886,0.0440857804677575,46.08908033370972
98,index_97,10,1,0,0.76,D,A,0,177,12721,12898,"[""A""]",7,0.01985728414318027,0.0354927893596354,126.22054362297058
99,index_98,10,1,0,0.76,A,A,1,360,17283,17643,"[""A""]",10,0.027875338071338598,0.0487185234999626,187.0607488155365
100,index_99,10,1,0,0.76,B,C,0,226,12992,13218,"[""C""]",9,0.019923524683795598,0.0358663976686841,120.6246292591095
101,index_100,10,1,0,0.76,A,D,0,222,13314,13536,"[""D""]",7,0.021709377594253544,0.0390794291265037,139.30027079582214
102,index_101,10,1,0,0.76,D,D,1,439,15806,16245,"[""D""]",14,0.024011037029142902,0.0515579466487334,113.37314581871033
103,index_102,10,1,0,0.76,C,A,0,345,14726,15071,"[""A""]",12,0.024788917585926037,0.04333856384966,159.29230308532715
104,index_103,10,1,0,0.76,A,A,1,220,8101,8321,"[""A""]",7,0.013743827937614805,0.0390047074646939,36.208580493927
105,index_104,10,1,0,0.76,D,D,1,240,17920,18160,"[""D""]",9,0.031461792712114446,0.0594037211387581,242.77153491973877
106,index_105,10,1,0,0.76,C,B,0,300,9901,10201,"[""B""]",11,0.015545356679901227,0.0349697377269671,73.39560413360596
107,index_106,10,7,0,0.76,A,B,0,280,9698,9978,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",11,0.024257322583734385,0.0523051632668311,26.322324752807617
108,index_107,10,1,0,0.76,C,C,1,192,11327,11519,"[""C""]",14,0.016051029411958885,0.0376597175521183,64.26866483688354
109,index_108,10,1,0,0.76,D,D,1,279,12020,12299,"[""D""]",17,0.01879268642927595,0.0373608309048792,77.92845153808594
110,index_109,10,1,0,0.76,B,D,0,515,14704,15219,"[""D""]",8,0.027606153678885963,0.0491668534708211,184.36861944198608
111,index_110,10,1,0,0.76,D,B,0,344,15172,15516,"[""B""]",10,0.025511416396747342,0.0452066053949039,168.16141819953918
112,index_111,10,1,0,0.76,A,A,1,248,12616,12864,"[""A""]",17,0.01891878513956826,0.0440857804677575,67.55402302742004
113,index_112,10,1,0,0.76,C,C,1,244,15381,15625,"[""C""]",7,0.02582316404082439,0.0474482552491967,180.8139510154724
114,index_113,10,1,0,0.76,C,A,0,188,9303,9491,"[""A""]",9,0.013439356427563533,0.0336247478143914,55.064648389816284
115,index_114,10,1,0,0.76,C,B,0,183,10456,10639,"[""B""]",8,0.01576702526752916,0.0302622730329522,92.72398209571838
116,index_115,10,1,0,0.76,B,B,1,268,15102,15370,"[""B""]",15,0.024701638673304237,0.0425166255697526,156.65221619606018
117,index_116,10,1,0,0.76,D,A,0,226,19106,19332,"[""A""]",11,0.03340089164256288,0.0632145258910558,261.0346314907074
118,index_117,10,1,0,0.76,B,A,0,172,11088,11260,"[""A""]",6,0.018210253761260998,0.0330269745199133,117.20760750770569
119,index_118,10,1,0,0.76,A,C,0,318,12093,12411,"[""C""]",9,0.018678037592568808,0.0443846671149966,98.86273193359375
120,index_119,10,1,0,0.76,A,A,1,122,7389,7511,"[""A""]",8,0.010262184098079078,0.0245087050736008,46.412142753601074
121,index_120,10,1,0,0.76,C,B,0,293,11350,11643,"[""B""]",7,0.018643641983549578,0.0381080475229769,110.55449223518372
122,index_121,10,1,0,0.76,A,B,0,209,16994,17203,"[""B""]",10,0.03099696096472754,0.059104834491519,239.80367970466614
123,index_122,10,0,0,0.76,D,,0,223,4641,4864,[],7,0.015280265001632922,0.0268997982515131,12.63294267654419
124,index_123,10,1,0,0.76,A,A,1,162,7862,8024,"[""A""]",7,0.011537797769658686,0.0321303145781962,43.069777488708496
125,index_124,10,2,0,0.76,A,A,1,246,7092,7338,"[""A"", ""A""]",8,0.015656330794028193,0.0358663976686841,26.403438091278076
126,index_125,10,1,0,0.76,A,D,0,260,15463,15723,"[""D""]",5,0.027882407886383628,0.0523798849286407,206.01054501533508
127,index_126,10,1,0,0.76,A,D,0,143,9725,9868,"[""D""]",8,0.015670871287472982,0.028170066502279,99.67650532722473
128,index_127,10,1,0,0.76,A,D,0,2814,17752,20566,"[""D""]",21,0.049922464594263964,0.1554210565642979,186.0973253250122
129,index_128,10,1,0,0.76,A,B,0,278,14676,14954,"[""B""]",12,0.023025215181030078,0.0395277590973622,143.74707984924316
130,index_129,10,1,0,0.76,D,C,0,128,9603,9731,"[""C""]",14,0.013393601329458452,0.0277217365314204,53.3551881313324
131,index_130,10,1,0,0.76,D,B,0,359,13933,14292,"[""B""]",9,0.022994312005058918,0.0410969139953673,139.30568861961365
132,index_131,10,1,0,0.76,B,D,0,331,19865,20196,"[""D""]",9,0.03506352426468443,0.0655308974071583,269.891802072525
133,index_132,10,1,0,0.76,A,A,1,250,13341,13591,"[""A""]",11,0.019901631652406774,0.0396772024209818,115.03164172172546
