iteration,question_id,n_chains_max,window_size,n_chains_generated,stopped_early,correct_answer,final_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,total_reasoning_tokens,total_non_reasoning_tokens,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec,individual_answers_str
1,aqua_rat_test_0,8,2,2,True,A,A,1,173,4848,5021,,,0.012292449881899842,0.0235159817351597,42.27126502990723,"[""A"", ""A""]"
2,aqua_rat_test_1,8,2,2,True,E,E,1,153,5768,5921,,,0.012275846040478298,0.0192541856925418,63.78469133377075,"[""E"", ""E""]"
3,aqua_rat_test_2,8,2,2,True,A,A,1,95,5113,5208,,,0.01070025741921451,0.0170471841704717,57.59405207633972,"[""A"", ""A""]"
4,aqua_rat_test_3,8,2,2,True,B,B,1,141,3050,3191,,,0.007880741905376801,0.0148401826484018,26.64842462539673,"[""B"", ""B""]"
5,aqua_rat_test_4,8,2,2,True,B,B,1,106,1156,1262,,,0.0030450223898704715,0.0050989345509893,11.47073221206665,"[""B"", ""B""]"
6,aqua_rat_test_5,8,2,2,True,D,D,1,164,2748,2912,,,0.006430505671304434,0.0105022831050228,29.028025150299072,"[""D"", ""D""]"
7,aqua_rat_test_6,8,2,2,True,D,D,1,122,2473,2595,,,0.006233641170282396,0.0115677321156772,22.475292444229126,"[""D"", ""D""]"
8,aqua_rat_test_7,8,2,2,True,C,C,1,137,1827,1964,,,0.004624658103776927,0.0079908675799086,17.861719846725464,"[""C"", ""C""]"
9,aqua_rat_test_8,8,2,2,True,E,E,1,128,4393,4521,,,0.011116337249179483,0.0214611872146118,38.01204586029053,"[""E"", ""E""]"
10,aqua_rat_test_9,8,2,2,True,D,D,1,115,1642,1757,,,0.004056848621115552,0.0070015220700152,16.327845335006714,"[""D"", ""D""]"
11,aqua_rat_test_10,8,2,2,True,B,C,0,158,8535,8693,,,0.0181142626547043,0.0310502283105023,91.0087423324585,"[""C"", ""C""]"
12,aqua_rat_test_11,8,2,2,True,A,A,1,146,2343,2489,,,0.005810659050615913,0.0105022831050228,22.32390594482422,"[""A"", ""A""]"
13,aqua_rat_test_12,8,2,2,True,C,C,1,118,2640,2758,,,0.005905750903489465,0.0091324200913242,29.46530318260193,"[""C"", ""C""]"
14,aqua_rat_test_13,8,2,2,True,D,D,1,81,813,894,,,0.0022832745183783533,0.0039573820395738,7.425338268280029,"[""D"", ""D""]"
15,aqua_rat_test_14,8,2,2,True,C,C,1,99,1156,1255,,,0.0029506964915322403,0.0047945205479451,11.665586471557617,"[""C"", ""C""]"
16,aqua_rat_test_15,8,2,2,True,A,A,1,109,1543,1652,,,0.004297773996716605,0.0078386605783865,13.250701427459717,"[""A"", ""A""]"
17,aqua_rat_test_16,8,2,2,True,A,A,1,143,7553,7696,,,0.016197130435946797,0.028386605783866,78.92493724822998,"[""A"", ""A""]"
18,aqua_rat_test_17,8,2,2,True,D,D,1,151,1890,2041,,,0.00522717439685247,0.0095890410958904,16.41544532775879,"[""D"", ""D""]"
19,aqua_rat_test_18,8,2,2,True,D,D,1,183,1579,1762,,,0.004366606726741242,0.0074581430745814,14.942711591720581,"[""D"", ""D""]"
20,aqua_rat_test_19,8,2,2,True,C,C,1,106,2034,2140,,,0.00496024550690385,0.008904109589041,19.60880184173584,"[""C"", ""C""]"
21,aqua_rat_test_20,8,2,2,True,C,E,0,122,17590,17712,,,0.04064251993437715,0.0800608828006088,166.97632265090942,"[""E"", ""E""]"
22,aqua_rat_test_21,8,2,2,True,A,A,1,141,7589,7730,,,0.01576154009422982,0.026255707762557,95.45573735237122,"[""A"", ""A""]"
23,aqua_rat_test_22,8,2,2,True,E,E,1,142,4585,4727,,,0.011580410600386497,0.0222983257229832,42.24732208251953,"[""E"", ""E""]"
24,aqua_rat_test_23,8,2,2,True,A,A,1,144,3554,3698,,,0.00920414353448743,0.017579908675799,33.34844160079956,"[""A"", ""A""]"
25,aqua_rat_test_24,8,2,2,True,D,D,1,137,1540,1677,,,0.004288969194423392,0.0076864535768644,14.396986961364746,"[""D"", ""D""]"
26,aqua_rat_test_25,8,2,2,True,D,D,1,123,1435,1558,,,0.00387044768794877,0.0068493150684931,14.056972742080688,"[""D"", ""D""]"
27,aqua_rat_test_26,8,2,2,True,C,C,1,109,1292,1401,,,0.0036010138271309064,0.0064687975646879,12.290322303771973,"[""C"", ""C""]"
28,aqua_rat_test_27,8,2,2,True,A,A,1,136,2092,2228,,,0.005360350735579191,0.0098173515981735,20.72214412689209,"[""A"", ""A""]"
29,aqua_rat_test_28,8,2,2,True,B,B,1,127,1404,1531,,,0.003702965730362953,0.0063926940639269,15.166940212249756,"[""B"", ""B""]"
30,aqua_rat_test_29,8,2,2,True,A,A,1,112,1270,1382,,,0.0033930517087938606,0.0058599695585996,13.23429822921753,"[""A"", ""A""]"
31,aqua_rat_test_30,8,2,2,True,B,B,1,121,1563,1684,,,0.004331049289919579,0.0079147640791475,15.16304636001587,"[""B"", ""B""]"
32,aqua_rat_test_31,8,2,2,True,A,A,1,141,1334,1475,,,0.0039966176221883495,0.0070776255707762,12.28804087638855,"[""A"", ""A""]"
33,aqua_rat_test_32,8,2,2,True,B,A,0,131,22817,22948,,,0.053905371016318586,0.1069254185692542,212.57508850097656,"[""A""]"
