iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,0,0,33,33,1,189,203563,0,0,203752,"[""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""97"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33""]",0.3961588645435683,0.7277889860270492,126.33620429039
2,index_1,0,0,23,23,1,221,377914,0,0,378135,"[""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""5"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""19"", ""23""]",0.2930218344737601,0.9999252783381902,655.5519425868988
3,index_2,0,0,116,116,1,167,162572,0,0,162739,"[""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116""]",0.2958601144264389,0.6089068220877232,103.06229424476624
4,index_3,0,0,809,809,1,140,207057,0,0,207197,"[""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809""]",0.3138920075684178,0.7720242098184263,151.47255182266235
5,index_4,0,0,197,144,0,136,215903,0,0,216039,"[""144""]",0.1677260877937913,0.8992004782186356,317.59496808052063
6,index_5,0,0,385,16,0,123,803930,0,0,804053,"[""16"", ""24"", ""24"", ""16"", ""24"", ""16"", ""72"", ""36"", ""16"", ""12"", ""16"", ""16"", ""16"", ""24"", ""16"", ""12"", ""6"", ""24"", ""16"", ""76"", ""16"", ""24"", ""6"", ""24"", ""7"", ""12"", ""8"", ""7"", ""16"", ""12"", ""24"", ""16"", ""16"", ""24"", ""36"", ""16"", ""16"", ""12"", ""7"", ""16"", ""16"", ""12"", ""16"", ""8"", ""4"", ""16"", ""24"", ""16"", ""16"", ""72"", ""64"", ""48"", ""16"", ""16"", ""16"", ""72"", ""16"", ""16"", ""24"", ""16"", ""24"", ""16"", ""16"", ""72""]",0.7376721971383652,1.0,1200.6684155464172
7,index_6,0,0,371,139,0,118,262906,0,0,263024,"[""139""]",0.1932001087053001,0.9997758350145708,401.2574129104614
8,index_7,0,0,601,601,1,114,577625,0,0,577739,"[""401"", ""601"", ""85"", ""7"", ""601"", ""601"", ""401"", ""601"", ""601"", ""601"", ""6"", ""7"", ""403"", ""601"", ""401"", ""301"", ""601"", ""601"", ""203"", ""601"", ""601"", ""6"", ""601"", ""401""]",0.5633716785506522,0.9999252783381902,904.4579327106476
9,index_8,0,0,25,25,1,92,309240,0,0,309332,"[""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25""]",0.3676988732187314,0.9999252783381902,306.7314281463623
10,index_9,0,0,55,55,1,103,196596,0,0,196699,"[""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55""]",0.3697723039089911,0.7135171486213854,119.16024851799013
11,index_10,0,0,540,540,1,91,261148,0,0,261239,"[""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540""]",0.188963960542226,0.7049988791750729,402.6787109375
