iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,8,8,0,0.98,fixed,103,103,1,79,39296,39375,"[""103"", ""103"", ""103"", ""103"", ""103"", ""103"", ""103"", ""103""]",38,0.0673015311830901,0.1399536725696779,129.9331419467926
2,index_1,8,8,0,0.98,fixed,3375,3375,1,148,16137,16285,"[""3375"", ""3375"", ""3375"", ""3375"", ""3375"", ""3375"", ""3375"", ""3375""]",14,0.0396377249242972,0.0717327953373683,38.942227602005005
3,index_2,8,8,0,0.98,fixed,\frac{1}{576},\dfrac{1}{576},1,167,123094,123261,"[""1024"", ""\\dfrac{1}{576}"", ""2^{\\sqrt{11 + 10 \\log_2 3}}"", ""\\dfrac{1}{576}"", ""6718464"", ""\\dfrac{1}{576}"", ""2^{\\sqrt{20 + 40 \\log_2 3}}"", ""18^{10}""]",100,0.2302898145386657,0.3819771351714862,543.30792927742
4,index_3,8,8,0,0.98,fixed,-984,-984,1,118,85374,85492,"[""-984"", ""-984"", ""-998"", ""-984"", ""-998"", ""-984"", ""-984"", ""-983""]",95,0.1703694473434109,0.282970933273556,305.08545112609863
5,index_4,8,8,0,0.98,fixed,890,890,1,138,51976,52114,"[""890"", ""890"", ""9000"", ""890"", ""890"", ""890"", ""890"", ""890""]",43,0.0945375693081214,0.2134050661286707,169.0810420513153
6,index_5,8,8,0,0.98,fixed,\frac{1311}{2017},\dfrac{1311}{2017},1,108,74160,74268,"[""1 - \\dfrac{1}{2025!}"", ""\\dfrac{1311}{2017}"", ""\\dfrac{1}{2017}"", ""\\dfrac{2016}{2017}"", ""\\dfrac{1311}{2017}"", ""\\dfrac{1311}{2017}"", ""\\dfrac{1311}{2017}"", ""\\dfrac{1311}{2017}""]",94,0.1327506197926881,0.2113128595979975,292.9474000930786
7,index_6,8,8,0,0.98,fixed,\frac{9 \sqrt{23}}{23},2,0,138,168264,168402,"[""2"", ""2"", ""\\sqrt{3}"", ""2"", ""\\sqrt{3}"", ""2"", ""2"", ""\\dfrac{9\\sqrt{23}}{23}""]",100,0.3035845720877754,0.6355077336919973,731.6614763736725
8,index_7,8,8,0,0.98,fixed,1-\frac{2}{\pi},\dfrac{\sqrt{3} - 1}{2},0,151,144520,144671,"[""\\dfrac{\\sqrt{3} - 1}{2}"", ""\\dfrac{1}{2}"", ""\\dfrac{4}{11}"", ""1 - \\dfrac{2}{\\pi}"", ""\\dfrac{9}{25}"", ""\\dfrac{\\sqrt{3} - 1}{2}"", ""\\dfrac{93}{256}"", ""\\dfrac{80081}{131072}""]",100,0.2531070161928267,0.5010834640962415,631.0132231712341
9,index_8,8,8,0,0.98,fixed,1037,1037,1,238,84297,84535,"[""1037"", ""1037"", ""1037"", ""1037"", ""1037"", ""992"", ""1037"", ""1037""]",82,0.1530649116315507,0.3102443398341179,318.43849992752075
10,index_9,8,8,0,0.98,fixed,"\frac{-1+\sqrt{17}}{2}, \frac{-1-\sqrt{17}}{2}",-3,0,109224,144579,253803,"[""-3"", ""6"", ""\\dfrac{-1 - \\sqrt{17}}{2}"", ""-5"", ""\\dfrac{-1 - \\sqrt{17}}{2}"", ""6"", ""2"", ""-3""]",100,0.2721756869033607,0.4667114996637524,565.7171535491943
11,index_10,8,8,0,0.98,fixed,56,12,0,111,92780,92891,"[""56"", ""8"", ""49"", ""28"", ""12"", ""42"", ""12"", ""72""]",91,0.1970222680309348,0.3765971755211835,287.1536133289337
12,index_11,8,8,0,0.98,fixed,29,14,0,142,89605,89747,"[""20"", ""31"", ""14"", ""14"", ""28"", ""13"", ""9"", ""16""]",93,0.1647436201858038,0.2970933273556003,346.34352231025696
13,index_12,8,8,0,0.98,fixed,105,1,0,149,103436,103585,"[""1"", ""1"", ""1"", ""1"", ""21"", ""1"", ""140"", ""1""]",100,0.1960600323836217,0.3600089665994171,387.7809998989105
14,index_13,8,1,0,0.98,fixed,2304,192,0,183,45007,45190,"[""192""]",43,0.0632333395567543,0.1673765224538593,233.2128224372864
15,index_14,8,3,0,0.98,fixed,200,202,0,144,29919,30063,"[""202"", ""202"", ""202""]",24,0.0640499080279059,0.130314578196219,79.59187150001526
16,index_15,8,8,0,0.98,fixed,6300,2025,0,114,93491,93605,"[""225"", ""6525"", ""2025"", ""2025"", ""8568"", ""8010"", ""2025"", ""18928""]",100,0.1619563979708069,0.3347530449077187,383.2783269882202
17,index_16,8,8,0,0.98,fixed,2^{25} \cdot 26!,26!,0,142,69040,69182,"[""6 \\times (26!)^3"", ""26!"", ""26!"", ""6 \\times (26!)^3"", ""2 \\times 26!"", ""26!"", ""26!"", ""26!""]",74,0.1203724896824981,0.2113128595979975,269.8303475379944
18,index_17,8,8,0,0.98,fixed,\frac{2025}{101},1825,0,217,89740,89957,"[""\\dfrac{675}{67}"", ""\\dfrac{2126}{101}"", ""2025 \\left(1 - \\left(\\frac{200}{201}\\right)^{201}\\right)"", ""1825"", ""1825"", ""10"", ""2"", ""\\dfrac{2025}{101}""]",87,0.1708154753911848,0.3499215422550997,328.4336473941803
19,index_18,8,1,0,0.98,fixed,\frac{4}{9},\dfrac{1}{3},0,90,95143,95233,"[""\\dfrac{1}{3}""]",77,0.1428253442104995,0.3987147874168721,459.3973295688629
20,index_19,8,8,0,0.98,fixed,\frac{448}{3},602,0,133937,133423,267360,"[""315"", ""225"", ""43"", ""\\dfrac{2025}{2}"", ""9800"", ""630"", ""\\dfrac{135}{2}"", ""602""]",100,0.2585480370958005,0.4487783008294104,502.1585230827332
21,index_20,8,8,0,0.98,fixed,26,26,1,134,19071,19205,"[""26"", ""26"", ""26"", ""26"", ""26"", ""26"", ""26"", ""26""]",16,0.0396975876746096,0.0723305686318463,55.55305814743042
22,index_21,8,8,0,0.98,fixed,63,63,1,135,88551,88686,"[""63"", ""63"", ""63"", ""63"", ""63"", ""63"", ""63"", ""63""]",100,0.1478943298460619,0.2428454008817155,416.0213491916657
23,index_22,8,8,0,0.98,fixed,8\sqrt{10},8\sqrt{10},1,130,73534,73664,"[""8\\sqrt{10}"", ""8\\sqrt{10}"", ""\\dfrac{4\\sqrt{10}}{5}"", ""8\\sqrt{10}"", ""8\\sqrt{10}"", ""8\\sqrt{10}"", ""8\\sqrt{10}"", ""8\\sqrt{10}""]",70,0.0951576772827845,0.216991705895539,507.25088000297546
24,index_23,8,8,0,0.98,fixed,20,100,0,677,106125,106802,"[""25"", ""100"", ""25"", ""25"", ""100"", ""100"", ""100"", ""100""]",100,0.2174202699528782,0.4052902936561309,410.2747333049774
25,index_24,8,1,0,0.98,fixed,\sqrt{23}-2 \sqrt{3},1,0,146,80895,81041,"[""1""]",58,0.1044735528469033,0.3036688335948592,501.9900529384613
26,index_25,8,8,0,0.98,fixed,9\sqrt{15},9\sqrt{15},1,139,78104,78243,"[""9\\sqrt{15}"", ""9\\sqrt{15}"", ""9\\sqrt{15}"", ""9\\sqrt{15}"", ""\\dfrac{35\\sqrt{15}}{4}"", ""9\\sqrt{15}"", ""9\\sqrt{15}"", ""9\\sqrt{15}""]",61,0.1112683238954894,0.2689979825151312,389.27885150909424
27,index_26,8,1,0,0.98,fixed,\frac{7}{18},\dfrac{1}{7},0,151,50391,50542,"[""\\dfrac{1}{7}""]",29,0.0665260246879945,0.1368900844354779,488.9991674423218
28,index_27,8,8,0,0.98,fixed,\sqrt{6},\sqrt{6},1,160,79435,79595,"[""\\sqrt{6}"", ""\\sqrt{6}"", ""\\sqrt{6}"", ""\\sqrt{6}"", ""\\sqrt{6}"", ""\\sqrt{46}"", ""\\sqrt{6}"", ""\\sqrt{6}""]",74,0.1238583633206278,0.2672793842935067,373.98888754844666
29,index_28,8,8,0,0.98,fixed,14+4\sqrt{37},25,0,134,214934,215068,"[""26"", ""\\sqrt{738 + 6\\sqrt{4313}}"", ""25"", ""26"", ""25"", ""25"", ""10"", ""25""]",100,0.3868776094342211,0.7298811925577224,912.039568901062
30,index_29,8,8,0,0.98,fixed,\sqrt{\frac{95}{24}},66,0,161833,161356,323189,"[""3\\sqrt{11}"", ""\\dfrac{4200}{\\sqrt{3889}}"", ""33"", ""\\dfrac{180}{11}"", ""42"", ""\\dfrac{808}{33}"", ""2"", ""66""]",100,0.2765234802952661,0.552342524097736,667.7724585533142
