iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,8,1,0,0.9,annealing,33,33,1,194,11244,11438,"[""33""]",16,0.012952150712409554,0.0237195511888843,83.0349953174591
2,index_1,8,1,0,0.9,annealing,23,23,1,226,21126,21352,"[""23""]",15,0.027416052605728887,0.0508691355153769,339.0058455467224
3,index_2,8,1,0,0.9,annealing,116,116,1,172,11144,11316,"[""116""]",15,0.012970478652303044,0.026858903552119,70.82891368865967
4,index_3,8,1,0,0.9,annealing,809,809,1,145,11269,11414,"[""809""]",10,0.013395091769740693,0.0230800534852624,123.4905219078064
5,index_4,8,1,0,0.9,annealing,197,3931,0,141,26189,26330,"[""3931""]",9,0.041185098908657944,0.0812162083599791,600.6517903804779
6,index_5,8,1,0,0.9,annealing,385,24,0,128,26253,26381,"[""24""]",18,0.03797346102663333,0.0738910528457648,535.5865294933319
7,index_6,8,1,0,0.9,annealing,371,455,0,123,33685,33808,"[""455""]",11,0.05386825949793215,0.1067379803499796,817.5749952793121
8,index_7,8,1,0,0.9,annealing,601,601,1,119,16426,16545,"[""601""]",10,0.021785080431339286,0.0414510784256729,260.72521018981934
9,index_8,8,1,0,0.9,annealing,25,25,1,97,14704,14801,"[""25""]",16,0.016922920554769152,0.0297657112958549,162.22454023361206
10,index_9,8,1,0,0.9,annealing,55,55,1,108,10652,10760,"[""55""]",9,0.01172198760341618,0.0251148189058775,100.43296957015991
11,index_10,8,1,0,0.9,annealing,540,540,1,96,15562,15658,"[""540""]",20,0.016257760166288007,0.0367420498808208,105.55917358398438
12,index_11,8,1,0,0.9,annealing,45,45,1,186,14659,14845,"[""45""]",20,0.016155712146971323,0.0309284343933492,117.6487991809845
13,index_12,8,1,0,0.9,annealing,204,204,1,181,10715,10896,"[""204""]",17,0.012562014296889207,0.0223242834718911,79.27244400978088
14,index_13,8,1,0,0.9,annealing,699,699,1,118,23432,23550,"[""699""]",23,0.024976761628341806,0.0418580315097959,262.4446473121643
15,index_14,8,1,0,0.9,annealing,294,294,1,101,11359,11460,"[""294""]",12,0.013019053515376543,0.0223824196267659,120.92143034934998
16,index_15,8,1,0,0.9,annealing,110,155,0,112,14500,14612,"[""155""]",14,0.01733274238170395,0.0312772513225975,174.52470803260803
17,index_16,8,1,0,0.9,annealing,721,721,1,145,12786,12931,"[""721""]",15,0.014708631630992078,0.0245915935120051,132.43943858146667
18,index_17,8,1,0,0.9,annealing,315,51,0,100,33227,33327,"[""51""]",13,0.052413985457851205,0.1038311726062438,790.19522356987
19,index_18,8,1,0,0.9,annealing,468,468,1,100,14406,14506,"[""468""]",7,0.020324460579941743,0.0393000406953084,241.71171641349792
20,index_19,8,1,0,0.9,annealing,902,35,0,147,34255,34402,"[""35""]",10,0.05418408315929368,0.1071449334341027,828.4319212436676
21,index_20,8,1,0,0.9,annealing,211,211,1,170,28798,28968,"[""211""]",14,0.03971265219118145,0.0767397244346258,565.37104845047
22,index_21,8,1,0,0.9,annealing,80,80,1,109,16251,16360,"[""80""]",11,0.022541977294604963,0.0434277076914132,278.0229802131653
23,index_22,8,1,0,0.9,annealing,480,480,1,131,14010,14141,"[""480""]",11,0.01892055628671484,0.0358118714028253,212.59360814094543
24,index_23,8,1,0,0.9,annealing,236,236,1,118,14346,14464,"[""236""]",14,0.018366071579501094,0.0341259229114586,198.66215133666992
25,index_24,8,1,0,0.9,annealing,73,73,1,159,9492,9651,"[""73""]",9,0.012434296452393412,0.0223242834718911,118.93177437782288
26,index_25,8,1,0,0.9,annealing,113,113,1,402,15962,16364,"[""113""]",7,0.024163940103271823,0.04511365618278,287.61997961997986
27,index_26,8,1,0,0.9,annealing,127,7,0,208,38927,39135,"[""7""]",11,0.06077172088246758,0.1198186151967909,938.7845015525818
28,index_27,8,1,0,0.9,annealing,104,104,1,199,24867,25066,"[""104""]",15,0.036495344972250966,0.0708098366374048,509.7913510799408
29,index_28,8,1,0,0.9,annealing,104,104,1,124,13441,13565,"[""104""]",12,0.016885749541134646,0.0310447067030986,172.94602727890015
30,index_29,8,1,0,0.9,annealing,321,321,1,109,20977,21086,"[""321""]",8,0.030249523446760906,0.059066333352712,412.36799693107605
