token,frequency,mean_entropy,std_dev_entropy
 why,11,3.1832781477603347,0.4247350404164936
 express,28,3.131014667163022,0.38048268088466325
We,17,3.0951010453177483,0.38503196611344037
 Also,6,2.951838126544612,0.579520558777051
 Tri,5,2.931861774184629,0.9222057204674143
 denote,13,2.9259866670380337,0.5260153144387323
That,5,2.894101545665387,0.5499254255555533
 mention,5,2.889793898457261,0.484224763875755
 possibly,5,2.877437662547858,0.5055873822357942
 write,27,2.8762604475296247,0.3828241799531826
 ?<newline><newline>,16,2.8665623983326167,0.41494480346021384
 rearr,5,2.8518722577905065,0.2146438086994288
 according,6,2.8176580790986656,0.5313153227642631
 let,174,2.799715347067902,0.6714209634200641
 assume,6,2.774143400824995,0.6961412713872369
 Which,13,2.7699242372354616,0.48402537281864666
 actually,6,2.76599873041037,0.37060639764460407
Given,8,2.7629361016973513,0.7562685431715575
 neither,6,2.7467717784032737,0.6651542567609182
 Another,10,2.739300506863309,0.5470599742024728
Another,12,2.7376987695876704,0.4202780758410637
 putting,10,2.7346769587496045,0.4764664428329106
What,8,2.7233924164278553,0.438055445671864
 And,6,2.709303770644182,0.41796835721446846
 Oh,46,2.7050227308777286,0.4578627739466069
Therefore,5,2.6980281066184935,0.448320839363152
 kind,12,2.6817084614881512,0.6142180490503224
 Now,11,2.6622316819562597,0.7225158878723875
 completely,9,2.6609745455714164,0.5986025304327683
 consider,31,2.6522949363227557,0.8811851788868543
 causes,6,2.639209749685962,0.48101729495310586
 linked,5,2.6294309273775442,0.573649815737918
 looking,47,2.620370114911078,0.6423756652151154
 since,111,2.6179943454610872,0.6582011004519256
 Like,8,2.617877559722081,0.9309747845319406
If,39,2.6121046436898787,0.4593739894120896
 leads,24,2.6101317839716125,0.48146439140082237
 typical,7,2.6092441710843985,0.6627733466312271
Each,7,2.5980403192691752,0.3426652380751636
 wait,272,2.5980083134191307,0.7202376602741356
 probably,20,2.5892052671679098,0.5267159401070226
 combining,7,2.5750597960896715,0.4013980881061201
 usually,10,2.5552951383517284,0.4945481785565573
 converts,5,2.5466218395829263,0.4547852177723115
 Or,65,2.545146311544467,0.5489183410900731
 movement,16,2.5342370374969168,0.600332022265431
 last,5,2.533455616215892,0.37934150264040756
Factor,6,2.5329309856755473,0.41815440059476966
 When,23,2.530025392720113,0.5951054947499254
 Still,5,2.524425087898546,0.25896268820456153
 relate,8,2.523902760186129,0.691365357126182
 look,31,2.522586020232619,0.5657172626061235
 Alternatively,99,2.5192944118195517,0.5609901737155126
 everything,8,2.514976593068671,0.7677310520253239
 How,5,2.505282521882469,0.21331763258053235
 <newline><newline>,38,2.504110192543389,0.6366762286556311
 might,74,2.4979012209808653,0.46853904356004017
 maybe,255,2.4955778662883565,0.6207364201284317
Which,54,2.4867632381073204,0.6449890449522452
 If,63,2.4833909519180706,0.6672501042131029
Let,65,2.479515588726833,0.6443026425999533
 comparing,7,2.4771676040785082,0.7517922214328154
 without,30,2.4720333487933805,0.6567222650666408
 Wait,187,2.464728723537674,0.601761755099062
 considering,40,2.464718532399046,0.7877353603941177
Still,5,2.460832306865265,0.2930210442358434
 Maybe,61,2.458925182336342,0.6296308609886739
 no,209,2.44808870452711,0.8244189652120475
Ah,8,2.446666955259368,0.35589519846151535
 goes,5,2.4460961634979577,0.3692654684032053
 re,39,2.4412910495755975,0.9670797268272945
 thermal,8,2.4311726170582233,0.6129921016553133
 list,9,2.4305932808008603,0.7992162318175529
 arranged,11,2.428845522169787,0.607127257436463
 aromatic,6,2.4265060900157978,0.8261599208645913
 if,247,2.4237803811102925,0.8685710197702468
Because,17,2.41933231453587,0.5359206226523907
 directs,8,2.4189141597398622,0.965671674500253
 taking,6,2.4157397206229403,0.17319436827000748
 That,74,2.394813382460924,0.5897744469126245
 adding,14,2.3892091343551978,0.5806962363649212
 entirely,20,2.3865831843092,0.4849958418198786
I,33,2.381516539061218,0.8913801445555966
 Because,119,2.3786999512709417,0.7150628933156778
-ex,6,2.378522227153492,0.2824309698764607
 use,36,2.3767744742169166,1.0247158345889797
 standard,6,2.376236067051639,0.5856952331747717
 none,52,2.3739459664994436,0.6500717024082685
 now,9,2.3707338125086,0.6632111241912839
 really,8,2.3600706904922064,0.46333891172844077
 happens,6,2.3591653377758273,0.8388492530657143
Hmm,144,2.3569881937464188,0.5975420362934157
 allows,7,2.3564064389115567,0.8298861907693381
 calculation,38,2.3557790556249762,0.7586736296048431
Compute,19,2.3515431043772907,0.5082601222981425
 Not,12,2.3474541503717044,0.7005522991454877
This,7,2.3430910733024466,1.002781653534753
 key,12,2.3363268228550704,0.8676120151922861
 As,5,2.332527107162143,1.2391614423581212
something,6,2.3322847284243933,0.3680562821392169
