iteration,question_id,correct_answer,final_answer,score,num_chains_generated,total_tokens_generated,window_size,individual_answers_str,correct_answer_in_chains,time_taken,max_kv_cache_usage
1,index_0,C,C,1,2,7519,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,137.03793238750612,5.655373129033739
2,index_1,D,D,1,2,13433,2,"['D', 'D', 'B', 'D', 'B', 'D', 'B', 'C']",True,137.03793238750612,5.655373129033739
3,index_2,C,C,1,2,6626,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,137.03793238750612,5.655373129033739
4,index_3,B,B,1,2,7696,2,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",True,137.03793238750612,5.655373129033739
5,index_4,C,C,1,2,8039,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,137.03793238750612,5.655373129033739
6,index_5,C,C,1,2,25028,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,137.03793238750612,5.655373129033739
7,index_6,C,C,1,4,27816,2,"['D', 'C', 'C', 'C', 'B', 'C', 'C', 'C']",True,274.07586477501223,5.655373129033739
8,index_7,D,D,1,2,17392,2,"['D', 'D', 'C', 'C', 'D', 'C', 'D', 'D']",True,137.03793238750612,5.655373129033739
9,index_8,A,C,0,4,12989,2,"['C', 'B', 'C', 'C', 'C', 'A', 'A', 'A']",False,274.07586477501223,5.655373129033739
10,index_9,C,C,1,2,12855,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,137.03793238750612,5.655373129033739
11,index_10,A,A,1,2,3775,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True,137.03793238750612,5.655373129033739
12,index_11,D,D,1,2,8255,2,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True,137.03793238750612,5.655373129033739
13,index_12,A,A,1,2,17284,2,"['A', 'A', 'A', 'A', 'A', 'A', 'D', 'A']",True,137.03793238750612,5.655373129033739
14,index_13,D,A,0,4,16438,2,"['D', 'A', 'A', 'A', 'D', 'A', 'D', 'D']",True,274.07586477501223,5.655373129033739
15,index_14,C,C,1,2,6469,2,"['C', 'C', 'C', 'D', 'C', 'C', 'C', 'C']",True,137.03793238750612,5.655373129033739
16,index_15,B,D,0,8,68372,2,"['D', 'B', 'B', 'D', 'D', 'B', 'D', 'D']",True,548.1517295500245,5.655373129033739
17,index_16,C,C,1,2,4155,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,137.03793238750612,5.655373129033739
18,index_17,B,A,0,2,10361,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",False,137.03793238750612,5.655373129033739
19,index_18,A,B,0,2,19705,2,"['B', 'B', 'A', 'A', 'B', 'B', 'B', 'B']",False,137.03793238750612,5.655373129033739
20,index_19,A,A,1,2,2782,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True,137.03793238750612,5.655373129033739
21,index_20,B,B,1,2,14474,2,"['B', 'B', 'D', 'B', 'A', 'B', 'D', 'D']",True,137.03793238750612,5.655373129033739
22,index_21,D,C,0,2,3950,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",False,137.03793238750612,5.655373129033739
23,index_22,C,D,0,2,16250,2,"['D', 'D', 'D', 'C', 'C', 'D', 'D', 'D']",False,137.03793238750612,5.655373129033739
24,index_23,B,B,1,8,82094,2,"['B', 'A', 'D', 'A', 'D', 'B', 'B', 'C']",True,548.1517295500245,5.655373129033739
25,index_24,B,B,1,2,19614,2,"['B', 'B', 'B', 'B', 'C', 'C', 'C', 'B']",True,137.03793238750612,5.655373129033739
26,index_25,D,A,0,2,19822,2,"['A', 'A', 'A', 'D', 'A', 'D', 'A', 'A']",False,137.03793238750612,5.655373129033739
27,index_26,A,A,1,2,11433,2,"['A', 'A', 'A', 'A', 'B', 'A', 'A', 'B']",True,137.03793238750612,5.655373129033739
28,index_27,A,A,1,2,18113,2,"['A', 'A', 'A', 'C', 'B', 'C', 'A', 'C']",True,137.03793238750612,5.655373129033739
29,index_28,A,A,1,2,5790,2,"['A', 'A', 'D', 'A', 'A', 'A', 'A', 'D']",True,137.03793238750612,5.655373129033739
30,index_29,A,C,0,2,9835,2,"['C', 'C', 'C', 'B', 'C', 'C', 'C', 'C']",False,137.03793238750612,5.655373129033739
31,index_30,C,A,0,8,54083,2,"['D', 'B', 'A', 'C', 'C', 'A', 'B', 'A']",True,548.1517295500245,5.655373129033739
32,index_31,C,C,1,2,21651,2,"['C', 'C', 'C', 'C', 'C', 'C', 'B', 'C']",True,137.03793238750612,5.655373129033739
33,index_32,C,A,0,4,29162,2,"['B', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",False,274.07586477501223,5.655373129033739
34,index_33,A,C,0,2,20466,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",False,137.03793238750612,5.655373129033739
35,index_34,C,C,1,2,11665,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'D']",True,137.03793238750612,5.655373129033739
36,index_35,B,B,1,8,61153,2,"['B', 'D', 'D', 'B', 'B', 'D', 'B', 'B']",True,548.1517295500245,5.655373129033739
