iteration,question_id,n_chains_max,window_size,n_chains_generated,stopped_early,correct_answer,final_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,total_reasoning_tokens,total_non_reasoning_tokens,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec,individual_answers_str
1,index_0,64,8,8,True,C,C,1,148,26085,26233,,,0.0451451220488726,0.0884322678843226,85.6930480003357,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]"
2,index_1,64,8,64,False,D,D,1,155,496997,497152,,,0.1202916461823212,0.2735159817351598,1525.7661793231964,"[""D"", ""B"", ""C"", ""B"", ""B"", ""D"", ""D"", ""C"", ""D"", ""B"", ""D"", ""D"", ""D"", ""D"", ""B"", ""B"", ""C"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""D"", ""D"", ""D"", ""C"", ""D"", ""D"", ""B"", ""D"", ""D"", ""C"", ""B"", ""A"", ""D"", ""D"", ""B"", ""B"", ""B"", ""D"", ""D"", ""B"", ""D"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""D"", ""D"", ""B"", ""B"", ""B"", ""B"", ""D"", ""D"", ""D"", ""C"", ""C"", ""D""]"
3,index_2,64,8,8,True,C,C,1,179,24199,24378,,,0.0501137888656495,0.0861491628614916,65.69309282302856,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]"
4,index_3,64,8,64,False,B,B,1,153,189306,189459,,,0.0402663146703338,0.0902587519025874,666.4219906330109,"[""B"", ""B"", ""B"", ""D"", ""B"", ""D"", ""D"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B""]"
5,index_4,64,8,8,True,C,C,1,385,45758,46143,,,0.0758032221000603,0.1358447488584474,168.67181658744812,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]"
6,index_5,64,8,24,True,C,C,1,199,161996,162195,,,0.0998644938838178,0.2060121765601217,668.2330794334412,"[""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""B"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]"
7,index_6,64,8,64,False,C,C,1,191,630446,630637,,,0.1458242879111246,0.317503805175038,2539.7348659038544,"[""B"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""D"", ""B"", ""C"", ""C"", ""C"", ""D"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""B"", ""C"", ""D"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""B"", ""B"", ""C""]"
8,index_7,64,8,64,False,D,D,1,471,540219,540690,,,0.1310268597390937,0.3103500761035007,1753.2724294662476,"[""C"", ""A"", ""D"", ""C"", ""D"", ""D"", ""C"", ""D"", ""A"", ""C"", ""C"", ""D"", ""D"", ""D"", ""D"", ""C"", ""A"", ""C"", ""D"", ""D"", ""D"", ""C"", ""C"", ""C"", ""C"", ""D"", ""D"", ""C"", ""D"", ""D"", ""D"", ""D"", ""C"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""C"", ""D"", ""A"", ""D"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""C"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""C""]"
9,index_8,64,8,64,False,A,C,0,262,267466,267728,,,0.0625702458407688,0.1227549467275495,891.3237850666046,"[""C"", ""A"", ""A"", ""A"", ""C"", ""A"", ""C"", ""C"", ""A"", ""C"", ""C"", ""D"", ""C"", ""C"", ""A"", ""A"", ""A"", ""A"", ""A"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""A"", ""B"", ""A"", ""C"", ""D"", ""A"", ""C"", ""A"", ""B"", ""C"", ""B"", ""D"", ""C"", ""D"", ""B"", ""C"", ""C"", ""C"", ""C"", ""A"", ""C"", ""C"", ""D"", ""C"", ""A"", ""B"", ""A"", ""A"", ""A"", ""A"", ""D"", ""A"", ""C"", ""C"", ""C"", ""C"", ""C""]"
10,index_9,64,8,8,True,C,C,1,148,46712,46860,,,0.100188544502488,0.1858447488584474,128.95519733428955,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]"
11,index_10,64,8,8,True,A,A,1,399,15457,15856,,,0.0286072774522857,0.0541095890410958,53.02368354797363,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]"
12,index_11,64,8,8,True,D,D,1,174,32314,32488,,,0.0661943882263516,0.1220700152207001,92.2273964881897,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]"
13,index_12,64,8,8,True,A,A,1,340,63987,64327,,,0.1398757556529556,0.2689497716894977,178.18206453323364,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]"
14,index_13,64,8,64,False,D,D,1,148,264681,264829,,,0.0612016692904043,0.1382039573820396,880.8567147254944,"[""D"", ""D"", ""A"", ""C"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""C"", ""D"", ""A"", ""D"", ""D"", ""A"", ""A"", ""A"", ""A"", ""D"", ""A"", ""D"", ""D"", ""A"", ""A"", ""A"", ""A"", ""A"", ""D"", ""A"", ""D"", ""A"", ""A"", ""D"", ""A"", ""D"", ""A"", ""A"", ""D"", ""D"", ""A"", ""D"", ""A"", ""D"", ""D"", ""A"", ""D"", ""D"", ""A"", ""D"", ""D"", ""D"", ""D"", ""D"", ""A"", ""D"", ""D"", ""D"", ""A"", ""A"", ""D"", ""A"", ""A"", ""D""]"
15,index_14,64,8,64,False,C,C,1,302,254959,255261,,,0.0561361961813128,0.1286910197869102,982.851569890976,"[""C"", ""D"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""D"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""D"", ""C"", ""D"", ""D"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""D"", ""D"", ""C"", ""D"", ""C"", ""D"", ""D""]"
16,index_15,64,8,64,False,B,B,1,221,587302,587523,,,0.1470504118110509,0.330441400304414,1816.741616487503,"[""A"", ""D"", ""C"", ""A"", ""B"", ""A"", ""D"", ""B"", ""C"", ""D"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""D"", ""A"", ""B"", ""C"", ""D"", ""D"", ""B"", ""B"", ""D"", ""D"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""A"", ""B"", ""D"", ""A"", ""B"", ""B"", ""D"", ""D"", ""C"", ""B"", ""D"", ""D"", ""D"", ""B"", ""C"", ""C"", ""B"", ""C"", ""B"", ""B"", ""C"", ""D"", ""D"", ""B"", ""B"", ""D"", ""D"", ""D"", ""D"", ""D""]"
17,index_16,64,8,8,True,C,C,1,158,16278,16436,,,0.028411588622288,0.0634703196347031,54.30300331115723,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]"
