iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,8,8,0,0.98,fixed,103,103,1,79,39296,39375,"[""103"", ""103"", ""103"", ""103"", ""103"", ""103"", ""103"", ""103""]",38,0.0673015311830901,0.1399536725696779,128.9407160282135
2,index_1,8,8,0,0.98,fixed,3375,3375,1,148,16238,16386,"[""3375"", ""3375"", ""3375"", ""3375"", ""3375"", ""3375"", ""3375"", ""3375""]",17,0.0370427569212338,0.0591795561533288,42.97508120536804
3,index_2,8,8,0,0.98,fixed,\frac{1}{576},\dfrac{1}{576},1,167,125506,125673,"[""\\dfrac{1}{576}"", ""\\dfrac{1}{576}"", ""248832"", ""2^{2 \\sqrt{5 + 10 \\log_2 3}}"", ""\\dfrac{1}{576}"", ""18^{10}"", ""1024"", ""248832""]",100,0.2081813096384615,0.3971456325188672,667.5046210289001
4,index_3,8,8,0,0.98,fixed,-984,-984,1,118,95256,95374,"[""-984"", ""-984"", ""-984"", ""-982"", ""-983"", ""-984"", ""-1970"", ""-983""]",100,0.1811455148084146,0.3054621534782933,357.1152217388153
5,index_4,8,8,0,0.98,fixed,890,890,1,138,39914,40052,"[""890"", ""890"", ""890"", ""890"", ""890"", ""9000"", ""890"", ""890""]",37,0.0828884438540366,0.1522080251064783,112.46031761169434
6,index_5,8,8,0,0.98,fixed,\frac{1311}{2017},\dfrac{1311}{2017},1,108,74824,74932,"[""\\dfrac{1311}{2017}"", ""1 - \\dfrac{1}{2025!}"", ""\\dfrac{1311}{2017}"", ""\\dfrac{1311}{2017}"", ""1 - \\dfrac{1}{2025!}"", ""\\dfrac{1311}{2017}"", ""\\dfrac{1311}{2017}"", ""\\dfrac{1311}{2017}""]",56,0.0986901813181482,0.2516625569752672,465.7963402271271
7,index_6,8,8,0,0.98,fixed,\frac{9 \sqrt{23}}{23},\dfrac{9\sqrt{23}}{23},1,108365,156693,265058,"[""\\dfrac{\\sqrt{13}}{2}"", ""2"", ""1"", ""\\dfrac{15}{8}"", ""\\dfrac{9\\sqrt{23}}{23}"", ""1"", ""\\dfrac{15}{8}"", ""\\dfrac{9\\sqrt{23}}{23}""]",100,0.29585135024633,0.4649929014421281,645.5652449131012
8,index_7,8,8,0,0.98,fixed,1-\frac{2}{\pi},1 - \dfrac{2}{\pi},1,151,140659,140810,"[""1 - \\dfrac{2}{\\pi}"", ""\\dfrac{1}{e}"", ""1 - \\dfrac{2}{\\pi}"", ""1 - \\dfrac{2}{\\pi}"", ""\\dfrac{37}{100}"", ""\\dfrac{1}{e}"", ""\\dfrac{1}{2}"", ""1 - \\dfrac{2}{\\pi}""]",100,0.1823818622775017,0.3280280953448404,1090.8551197052002
9,index_8,8,8,0,0.98,fixed,1037,1037,1,238,106942,107180,"[""0"", ""1037"", ""992"", ""992"", ""1037"", ""1037"", ""1982"", ""1037""]",100,0.1578637232149044,0.3274303220503624,603.0328483581543
10,index_9,8,8,0,0.98,fixed,"\frac{-1+\sqrt{17}}{2}, \frac{-1-\sqrt{17}}{2}",-4,0,104723,186570,291293,"[""4 - 5\\sqrt[3]{2} \\omega"", ""-4"", ""-3"", ""-3"", ""2"", ""3 - 3\\sqrt{2}"", ""\\dfrac{-1 + \\sqrt{17}}{2}, \\dfrac{-1 - \\sqrt{17}}{2}"", ""-4""]",100,0.3584874512269465,0.6169020399013674,789.9376873970032
