iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,10,1,0,0.75,C,C,1,148,9024,9172,"[""C""]",7,0.012511022751024552,0.034371964432489,52.41548418998718
5,index_4,10,1,0,0.75,C,C,1,385,8534,8919,"[""C""]",9,0.014855945483246048,0.0418441306134648,59.16419959068298
9,index_8,10,1,0,0.75,A,C,0,262,8774,9036,"[""C""]",10,0.013686210448083744,0.0298886647239035,58.9072003364563
15,index_14,10,1,0,0.75,C,C,1,302,7350,7652,"[""C""]",8,0.012508750384364432,0.0316819846073376,49.28468298912048
17,index_16,10,2,0,0.75,C,C,1,158,8791,8949,"[""C"", ""C""]",12,0.015234665637596042,0.0289172831203765,35.41392946243286
32,index_31,10,1,0,0.75,C,C,1,156,14210,14366,"[""C""]",11,0.022178485012392,0.0399760890682209,146.85179090499878
34,index_33,10,1,0,0.75,A,C,0,472,14582,15054,"[""C""]",10,0.02542736987559694,0.0455802137039528,157.26437830924988
35,index_34,10,2,0,0.75,C,C,1,318,12693,13011,"[""C"", ""C""]",14,0.01975590305374584,0.0356422326832548,97.6251106262207
39,index_38,10,2,0,0.75,B,B,1,243,7399,7642,"[""B"", ""B""]",10,0.014560645148495746,0.0276470148696107,35.18674850463867
41,index_40,10,1,0,0.75,A,A,1,147,10492,10639,"[""A""]",8,0.017014984789714038,0.0308600463274303,108.7925021648407
44,index_43,10,1,0,0.75,A,B,0,313,8207,8520,"[""B""]",9,0.014705322631548124,0.0388552641410745,41.0191490650177
52,index_51,10,1,0,0.75,C,C,1,252,16006,16258,"[""C""]",11,0.026085031916824066,0.0472240902637675,179.78631830215454
58,index_57,10,2,0,0.75,A,D,0,87,7314,7401,"[""D"", ""D""]",8,0.010131453250029423,0.0209220653067324,38.74024033546448
62,index_61,10,1,0,0.75,C,C,1,252,16388,16640,"[""C""]",15,0.025575334328081456,0.0446835537622356,166.9461591243744
63,index_62,10,1,0,0.75,D,D,1,247,13200,13447,"[""D""]",10,0.02160884156822886,0.0384069341702159,136.08552193641663
66,index_65,10,1,0,0.75,C,C,1,124,6114,6238,"[""C""]",8,0.010630007921347636,0.0224164985429276,24.028581857681274
73,index_72,10,3,0,0.75,C,C,1,187,10062,10249,"[""C"", ""C"", ""C""]",11,0.018750401667369253,0.0336247478143914,42.322850465774536
83,index_82,10,1,0,0.75,A,A,1,193,12263,12456,"[""A""]",17,0.01734377951447623,0.0300381080475229,77.22608089447021
84,index_83,10,5,0,0.75,D,D,1,128,9839,9967,"[""D"", ""D"", ""D"", ""D"", ""D""]",11,0.02059361148301452,0.0349697377269671,27.072155952453613
