iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,8,4,0,0.9,annealing,33,33,1,189,18076,18265,"[""33"", ""33"", ""33"", ""33""]",18,0.036127460942373416,0.0582828962116117,63.914613246917725
2,index_1,8,1,0,0.9,annealing,23,23,1,221,14830,15051,"[""23""]",13,0.021418255992394223,0.0413210789807965,115.74226212501526
3,index_2,8,3,0,0.9,annealing,116,116,1,167,12290,12457,"[""116"", ""116"", ""116""]",13,0.02045593420990954,0.0392288724501233,54.65558362007141
4,index_3,8,1,0,0.9,annealing,809,809,1,140,9337,9477,"[""809""]",11,0.013670672592011416,0.0282447881640888,71.58497738838196
5,index_4,8,1,0,0.9,annealing,197,287,0,136,11941,12077,"[""287""]",11,0.01850580191952592,0.032503922887245,117.42462253570557
6,index_5,8,1,0,0.9,annealing,385,16,0,123,20625,20748,"[""16""]",17,0.029698526008652318,0.0513337816633041,208.44201040267944
7,index_6,8,1,0,0.9,annealing,371,48,0,118,20362,20480,"[""48""]",11,0.03748704347090624,0.0728536202645147,318.3150396347046
8,index_7,8,1,0,0.9,annealing,601,601,1,114,29126,29240,"[""601""]",17,0.043759314264226676,0.080176343121871,351.7275094985962
9,index_8,8,1,0,0.9,annealing,25,25,1,92,15666,15758,"[""25""]",17,0.020992389591996737,0.03713666591945,113.34990954399109
10,index_9,8,1,0,0.9,annealing,55,55,1,103,9170,9273,"[""55""]",15,0.013485355759473336,0.0239109317791227,51.97292947769165
11,index_10,8,2,0,0.9,annealing,540,540,1,91,13754,13845,"[""540"", ""540""]",19,0.02116753935890569,0.0381827691847866,63.108534812927246
12,index_11,8,1,0,0.9,annealing,45,45,1,181,13851,14032,"[""45""]",17,0.020816328504364833,0.0472240902637675,68.09132432937622
13,index_12,8,2,0,0.9,annealing,204,204,1,176,10176,10352,"[""204"", ""204""]",15,0.016952073868937167,0.0293656130912352,55.52565097808838
14,index_13,8,1,0,0.9,annealing,699,629,0,113,31601,31714,"[""629""]",27,0.04146658473931484,0.0774116416349099,273.7714922428131
15,index_14,8,1,0,0.9,annealing,294,294,1,96,9787,9883,"[""294""]",12,0.01363100984688604,0.0271986848987521,66.5803587436676
16,index_15,8,1,0,0.9,annealing,110,155,0,107,18505,18612,"[""155""]",14,0.027534649963190008,0.0493162967944407,190.59370112419128
17,index_16,8,1,0,0.9,annealing,721,721,1,140,22683,22823,"[""721""]",20,0.036645129261828904,0.0676231039378315,282.1336991786957
18,index_17,8,1,0,0.9,annealing,315,9,0,95,15641,15736,"[""9""]",10,0.026374292693939178,0.0500635134125383,194.47207283973694
19,index_18,8,1,0,0.9,annealing,468,468,1,95,11909,12004,"[""468""]",14,0.017229876777874752,0.028170066502279,98.91905045509338
20,index_19,8,1,0,0.9,annealing,902,36,0,142,15155,15297,"[""36""]",7,0.026228963776598786,0.0496899051034894,191.1965262889862
21,index_20,8,1,0,0.9,annealing,211,211,1,165,22678,22843,"[""211""]",12,0.03561047772797999,0.0655308974071583,269.4903311729431
22,index_21,8,1,0,0.9,annealing,80,80,1,104,15076,15180,"[""80""]",11,0.024429791746606554,0.0455802137039528,170.9166328907013
23,index_22,8,1,0,0.9,annealing,480,480,1,126,11398,11524,"[""480""]",14,0.0175840044163805,0.0301128297093327,104.64990329742432
24,index_23,8,1,0,0.9,annealing,236,236,1,113,11992,12105,"[""236""]",11,0.017554997421701923,0.0297392214002839,104.36715054512024
25,index_24,8,1,0,0.9,annealing,73,73,1,154,9905,10059,"[""73""]",11,0.014485785041396637,0.0292908914294254,74.8202006816864
26,index_25,8,1,0,0.9,annealing,113,257,0,397,27820,28217,"[""257""]",12,0.05449268332371817,0.1049839348427108,464.80812311172485
27,index_26,8,1,0,0.9,annealing,127,19,0,203,21486,21689,"[""19""]",10,0.03860455493801392,0.073974445191661,312.02928495407104
28,index_27,8,1,0,0.9,annealing,104,104,1,194,14560,14754,"[""104""]",17,0.02069768389360778,0.0413210789807965,92.98303627967834
29,index_28,8,1,0,0.9,annealing,104,107,0,119,26966,27085,"[""107""]",10,0.05045983730569397,0.0988567585743106,433.4985682964325
30,index_29,8,1,0,0.9,annealing,321,321,1,104,13148,13252,"[""321""]",14,0.01859827730731086,0.0310842113128595,105.24769258499146
