token,frequency,mean_entropy,std_dev_entropy
rangle,18,2.4426565337362246e-08,5.056553914257421e-08
J,6,2.617908779924007e-07,2.736211781243986e-07
[<newline>,126,5.010133266496017e-07,1.9260799722741078e-06
Delta,14,7.73371836798714e-07,7.795051084968737e-07
eman,6,3.299964784134023e-06,4.3910168335443995e-06
angle,16,6.456331963417684e-06,1.5121701578309524e-05
_z,24,7.038027161056219e-06,1.6520122388510548e-05
ydro,8,1.1748610612557944e-05,1.1362145510955567e-05
circ,14,1.6548048480038775e-05,1.8184381723588323e-05
\r,16,2.7444106079112976e-05,7.24925413729273e-05
bar,25,3.038519456887281e-05,5.229890329800706e-05
ativity,7,3.4583063660019284e-05,3.9239349663561704e-05
zed,10,3.9190811729391165e-05,2.904276532683249e-05
<｜end▁of▁sentence｜>,29,4.157814134210049e-05,7.362552535518969e-05
cent,24,4.8655522595758166e-05,7.365599187614267e-05
nt,11,5.123801577523108e-05,0.00012419170686371017
ively,7,6.280647648781792e-05,7.093241947728582e-05
�,21,7.096344487633272e-05,8.608162968122038e-05
delta,13,7.459541276698556e-05,9.696187453447284e-05
iggs,5,8.94815140889259e-05,4.977559851561306e-05
atin,32,0.00010989051106779208,0.00025018265402187203
umann,6,0.0001123051396804665,0.0001207977059117435
uted,5,0.00014059663131475074,0.00014068883326131667
ih,8,0.0001571473659220383,0.00015658925263010314
atal,10,0.00016833786552447892,0.00019229159068541167
oo,24,0.0001693448956753926,0.00040244020595798515
RESS,17,0.00018856506215528018,0.00021657668956006091
graph,7,0.00020280982144026992,0.0002922005255165927
ynamics,10,0.00021349322986033764,0.0004185819696698847
romo,5,0.00022476741385716987,0.00014184990327538484
iral,23,0.00023213343465776937,0.0010066706057643793
plit,14,0.00024968460979195246,0.0003795256318842451
ect,5,0.000258007802431668,0.0002207143186768155
ne,12,0.0002889060843177189,0.0002489740750832858
ities,8,0.00030096470572547846,0.0006092686823887013
arbonate,7,0.00031777235067325505,0.0002844701303014602
uto,5,0.0003355659424974295,0.0002694627516628274
-is,7,0.00034499453598526696,0.0003017415700748562
mod,8,0.0003521256834571884,0.0006217425197702858
fine,10,0.00038356914977619,0.0003912094533039502
eric,7,0.000387872119523844,0.0006467288153005294
ents,39,0.00040841496624074086,0.0003400025973353503
xy,5,0.00042248098035190353,0.00029140044752036797
static,5,0.0004412382488431517,0.0004125742291906097
ylation,9,0.00045168182274450734,0.0007139587308422761
ian,6,0.0004897112928482819,0.0006458588140564876
�,17,0.0005204635523126503,0.0008296942580019497
ch,15,0.0005577758733328236,0.0008232603581958353
gi,23,0.0005611468179045388,0.00047314857240843825
ission,9,0.0006216575904807448,0.0013695655320866346
poses,5,0.000646499183990256,0.0003863858212034484
�,75,0.0006721252511824622,0.002592568721092748
clid,11,0.0007108580569928093,0.0009357026656693677
ectors,5,0.0007360548414657751,0.0005603903872073383
ational,11,0.0007453893956457185,0.0012961013303261423
vents,19,0.0007659128252800317,0.0012203564759749705
�,5,0.0007875714516520572,0.0006213160989470483
yr,13,0.0008337105353289321,0.0014658638206660858
MB,23,0.0008673368096386434,0.002471746671579817
ex,9,0.0008727668578312998,0.0011134751593882073
env,5,0.0008812999703669009,0.0013573784484479429
im,42,0.0008824499361330544,0.001446349940832348
�,308,0.0009128381740728689,0.0018259514026295201
activity,6,0.0009320604274332239,0.0012191980095991807
tons,19,0.0009644623383275584,0.0018846753110069424
hydrate,7,0.0010635619952905802,0.0009936711851381622
ent,7,0.001080479001453898,0.0013443928482950534
iscal,5,0.001095212344951869,0.0021085904051983003
yc,23,0.00114942113111972,0.001135756491815295
itudes,12,0.0012035992197341027,0.001575691096482007
    ,20,0.0012186800245270232,0.004998430448308634
es,100,0.001315273622455369,0.007637996853669291
ism,7,0.00132975205162022,0.0029380987868135506
bs,15,0.0013554163024448599,0.0012380743968833188
amma,20,0.001386696153242447,0.0018736498479754837
dr,5,0.001457330743191512,0.002410760113604433
rm,35,0.0014748607668633546,0.003999925548168691
�,10,0.001480125519634512,0.002113381349965344
ist,113,0.0015005495963872652,0.004432955339677824
he,12,0.0015237033857526969,0.004466753097762896
um,5,0.0016572599465024544,0.002108995895033854
qrt,56,0.0018217961583299489,0.0028304156100203916
ys,5,0.0018443336740456902,0.0022527346429542547
udes,14,0.0019227598601554569,0.0037998154559621606
au,14,0.002079349560503452,0.0015073078320772277
aviest,28,0.002261431577286023,0.0026609510637477527
als,7,0.0024555642351470433,0.0036118263659437595
pc,15,0.002461319665108901,0.00874542417028865
iation,5,0.002489498794159302,0.0036130229399232968
articles,5,0.0025250800083848448,0.003085167501782147
ip,16,0.002528418563711102,0.0071390123223405225
rod,10,0.0026431946033824553,0.005732717603484373
Val,7,0.002703488143872221,0.0020171167846082696
ous,51,0.0029359768837512717,0.0037066989027266305
rons,20,0.0030733894147078585,0.0029879469176625683
 |\,5,0.0033534886214564284,0.006591698253785256
ordan,15,0.003391026997830268,0.0021934905692184772
uting,32,0.003484370473887682,0.0058969022317472575
-zero,12,0.003502970680707557,0.0031096210460489467
mer,7,0.0035544114012387583,0.006702979831012222
