iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,16,16,C,C,1,156,56973,52677.0,4264.0,57129,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.0696607151005058,0.1470844718330329,135.3717303276062
2,index_1,16,16,D,D,1,163,192856,189322.0,3502.0,193019,"[""C"", ""C"", ""D"", ""C"", ""D"", ""B"", ""D"", ""D"", ""D"", ""B"", ""C"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.3011473660681015,0.478576826928667,435.1435055732727
3,index_2,16,16,C,C,1,187,43108,36582.0,6493.0,43295,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.07163341801974674,0.1385965932213243,77.36905074119568
4,index_3,16,16,B,D,0,161,69240,66480.0,2728.0,69401,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.0859577570255268,0.1349921516190919,201.56471395492554
5,index_4,16,16,C,C,1,393,61275,55119.0,6124.0,61668,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.08748647804866232,0.1755130515667693,140.09490323066711
6,index_5,16,16,C,C,1,207,182575,177065.0,5478.0,182782,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.24802607142187064,0.4484622987035638,606.3238990306854
7,index_6,16,16,C,C,1,199,51284,45191.0,6061.0,51483,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.06269065108402506,0.1351084239288413,127.54683780670166
8,index_7,16,16,D,D,1,479,79934,76743.0,3159.0,80413,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.11296120432786529,0.1971978373350387,203.00183701515198
9,index_8,16,16,A,B,0,270,81170,76360.0,4778.0,81440,"[""B"", ""B"", ""D"", ""A"", ""A"", ""B"", ""D"", ""B"", ""A"", ""B"", ""D"", ""A"", ""D"", ""B"", ""A"", ""A""]",0.10476726802227684,0.2058019882564967,199.1049611568451
10,index_9,16,16,C,C,1,156,70740,67471.0,3237.0,70896,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.07129536820680807,0.1416196732748096,259.3840775489807
11,index_10,16,16,A,A,1,407,40095,35447.0,4616.0,40502,"[""A"", ""A"", ""A"", ""A"", ""A"", ""D"", ""D"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.05417874299416132,0.0992965525260158,118.71125435829163
12,index_11,16,16,D,D,1,182,77833,69624.0,8177.0,78015,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.11195180834321704,0.2116156037439683,158.65953469276428
13,index_12,16,16,A,A,1,348,139828,135873.0,3923.0,140176,"[""A"", ""A"", ""B"", ""A"", ""A"", ""B"", ""B"", ""A"", ""B"", ""A"", ""B"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.18346799668674077,0.4185803150979594,379.2254455089569
14,index_13,16,16,D,A,0,156,97715,57680.0,40005.0,97871,"[""D"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""D"", ""A"", ""A"", ""A"", ""A"", ""D"", ""A""]",0.08431477955657567,0.1562699843032381,1142.1873672008514
15,index_14,16,16,C,C,1,310,43532,38385.0,5115.0,43842,"[""C"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C""]",0.05936753761544431,0.1274344514853788,105.31034183502197
16,index_15,16,16,B,D,0,229,175739,170468.0,5239.0,175968,"[""B"", ""B"", ""D"", ""B"", ""D"", ""B"", ""D"", ""A"", ""A"", ""D"", ""D"", ""B"", ""B"", ""D"", ""D"", ""B""]",0.2575410297327969,0.5022963781175513,418.7405424118042
17,index_16,16,16,C,C,1,166,28782,23444.0,5306.0,28948,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.04174066801048677,0.0725539212836463,63.2190887928009
18,index_17,16,16,B,A,0,253,70699,63147.0,7520.0,70952,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.10409339088812662,0.1795244462531248,148.00867128372192
19,index_18,16,16,A,B,0,551,112230,108869.0,3329.0,112781,"[""B"", ""A"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",0.1651992080651336,0.3460263938143131,273.17488527297974
20,index_19,16,16,A,A,1,206,14328,12261.0,2035.0,14534,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.030790469488497244,0.0502296378117551,25.326892852783203
21,index_20,16,16,B,B,1,285,94043,90371.0,3625.0,94328,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",0.1566958582982445,0.2684727632114412,172.91034722328186
