token,frequency,mean_entropy,std_dev_entropy
保留,1,3.2623437076775925,0.0
并不,1,3.2435846061397244,0.0
还需要,1,3.2086235276648556,0.0
Such,1,3.1561429732974347,0.0
 wraps,1,3.117759162538794,0.0
实际上,2,3.1104726387770762,0.03591082249353139
这条,1,3.110342404167204,0.0
其实,1,3.1066699453277793,0.0
 backtrack,1,3.093548711769222,0.0
tip,1,3.088330269851212,0.0
如果是,1,3.087759622229618,0.0
都,1,3.071160885575439,0.0
消,1,3.0646820360317064,0.0
这是,1,3.0370395636756764,0.0
 numeral,1,3.0353138953060927,0.0
较多,1,3.034497097890844,0.0
通常,1,3.013065379405895,0.0
因,1,3.012942248185611,0.0
 ascending,1,3.0067921931771195,0.0
Validation,1,3.0014708557712795,0.0
 deal,1,2.997394742751201,0.0
 adjustments,1,2.9915719339300586,0.0
 distorted,1,2.9914084835446118,0.0
之类的,1,2.9872574508097913,0.0
刚才,1,2.987061653598983,0.0
大量,2,2.9852756135992493,0.05246874488392805
拆,1,2.9833949675406086,0.0
具体的,2,2.9828778524206356,0.1623823184201869
 basic,1,2.9790129305792874,0.0
 eventually,1,2.9724276047360125,0.0
无需,1,2.9680711212588893,0.0
 reform,1,2.9673358529697405,0.0
 member,1,2.96432169998705,0.0
 force,1,2.9626383947777617,0.0
 showing,1,2.9614747166689166,0.0
 broke,1,2.959552633789563,0.0
Compare,1,2.958009788185767,0.0
变量,1,2.953959905028624,0.0
 Moreover,1,2.9498340511692245,0.0
 sizes,1,2.948645991694821,0.0
写出,1,2.9469157333193667,0.0
 claims,1,2.94512121807717,0.0
path,1,2.9414370685763314,0.0
 previously,1,2.941027086828795,0.0
 assigned,1,2.9406494984989506,0.0
 evaluation,1,2.9387357312581948,0.0
 completing,1,2.9362735743378807,0.0
 �,1,2.9309525639042886,0.0
 escaping,1,2.9272069345862413,0.0
 typically,1,2.9260619682759104,0.0
 gra,1,2.9245688839160646,0.0
 Whereas,1,2.9158494506876975,0.0
一些,1,2.9011597658815935,0.0
 compiling,1,2.900739407739412,0.0
Central,1,2.894465581985489,0.0
 Finding,1,2.8895655138278973,0.0
parameter,1,2.885333019363353,0.0
默认,1,2.884044835376635,0.0
上述,1,2.8760709969263774,0.0
两个,2,2.8751078503473124,0.03737125149048004
看看,2,2.8716127944073424,0.164065730862599
 characterized,1,2.8706962447115156,0.0
List,2,2.8666549479489887,0.08564840755301883
区分,1,2.8663986628301386,0.0
 revolution,1,2.8647823639311607,0.0
 tilt,1,2.863655064778378,0.0
 significantly,1,2.8596678635308894,0.0
 joint,2,2.8563908203188495,0.05725592248647304
 forgot,1,2.8561270386803463,0.0
考虑到,3,2.8552350955970973,0.06520428734529166
不需要,4,2.8520504247027425,0.1607460593972047
 wasn,1,2.851482242825168,0.0
 returning,2,2.8454269066735893,0.27958948974974684
 talking,2,2.8453532956025764,0.2861412054447423
matches,1,2.844101712393253,0.0
 nowhere,1,2.841656984241027,0.0
result,1,2.8365905276147174,0.0
 arrived,1,2.834329379572759,0.0
System,1,2.83096285152694,0.0
(...),1,2.828678783061728,0.0
 rew,1,2.8281808569311364,0.0
于是,2,2.8229524618278714,0.17960550269087605
Impossible,1,2.81966049031219,0.0
 evaluates,1,2.8190862284465297,0.0
 accommod,1,2.8179814209139766,0.0
positions,1,2.81771431118672,0.0
 fashion,1,2.81282969006183,0.0
 forcing,1,2.8041363416342824,0.0
 mismatch,1,2.799861828738393,0.0
之后,3,2.7948319951133667,0.08320671240426603
sp,1,2.788646917343411,0.0
Choosing,1,2.7813766626597487,0.0
 Before,2,2.7807487545167113,0.2669150247426899
到了,1,2.77448389752183,0.0
样,1,2.774118368755666,0.0
Maybe,3,2.7699535368857138,0.08274812386259069
重要的,1,2.769225570267088,0.0
 modeled,1,2.767847508677915,0.0
 trend,1,2.762483287010778,0.0
 eliminating,1,2.7623323510802655,0.0
