iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,16,14,0,0.95,fixed,C,C,1,153,69007,69160,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",54,0.06769588190555463,0.1656294877932025,208.3445909023285
2,index_1,16,1,0,0.95,fixed,D,B,0,160,107603,107763,"[""B""]",95,0.11742892223154582,0.2899712781235041,293.4403786659241
3,index_2,16,16,0,0.95,fixed,C,C,1,184,47390,47574,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",37,0.06533685236129434,0.1452848252752513,95.13598775863647
4,index_3,16,12,0,0.95,fixed,B,D,0,158,75852,76010,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""B"", ""B"", ""B"", ""D"", ""B""]",65,0.08753830174355808,0.1756223073240784,205.03446316719055
5,index_4,16,16,0,0.95,fixed,C,C,1,390,61201,61591,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",45,0.0919481357827232,0.1621589277166107,116.95091581344604
6,index_5,16,10,0,0.95,fixed,C,C,1,204,79923,80127,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",71,0.07276878719173124,0.1847175682144567,380.3772642612457
7,index_6,16,16,0,0.95,fixed,C,C,1,196,60591,60787,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",49,0.06084255256471623,0.1489348970799425,178.22988319396973
8,index_7,16,11,0,0.95,fixed,D,D,1,476,88946,89422,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",63,0.11261123400144629,0.2225945428434658,205.72879886627197
9,index_8,16,8,0,0.95,fixed,A,D,0,34816,100181,134997,"[""A"", ""A"", ""D"", ""B"", ""D"", ""A"", ""D"", ""B""]",70,0.11896981367111849,0.2908688367640019,243.96100854873657
10,index_9,16,12,0,0.95,fixed,C,C,1,153,65720,65873,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",55,0.09244209851308496,0.1614408808042126,140.83930611610413
