iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,8,1,0,0.9,fixed,33,33,1,194,14577,14771,"[""33""]",20,0.016405654800771594,0.0288936689727341,120.8772485256195
2,index_1,8,1,0,0.9,fixed,23,23,1,226,21286,21512,"[""23""]",24,0.023927129419021566,0.0595314225917097,123.23814940452576
3,index_2,8,1,0,0.9,fixed,116,116,1,172,12080,12252,"[""116""]",15,0.013360606009233804,0.0276728097203651,93.7114839553833
4,index_3,8,1,0,0.9,fixed,809,809,1,145,12000,12145,"[""809""]",12,0.015106401774041385,0.0270914481716179,142.53894066810608
5,index_4,8,1,0,0.9,fixed,197,2929,0,141,31440,31581,"[""2929""]",13,0.04882567535452352,0.0963316086274054,694.4975855350494
6,index_5,8,1,0,0.9,fixed,385,24,0,128,25541,25669,"[""24""]",21,0.03435007350603239,0.0656938550084297,447.7922668457031
7,index_6,8,1,0,0.9,fixed,371,357,0,123,33928,34051,"[""357""]",8,0.05294408810515424,0.1047032149293645,767.5609674453735
8,index_7,8,1,0,0.9,fixed,601,601,1,119,25363,25482,"[""601""]",23,0.03303045343191116,0.062554502645195,424.0880138874054
9,index_8,8,1,0,0.9,fixed,25,25,1,97,15413,15510,"[""25""]",24,0.01677764292642169,0.0254636358351258,128.64126110076904
10,index_9,8,1,0,0.9,fixed,55,55,1,108,14098,14206,"[""55""]",18,0.015338347356007262,0.0256961804546247,128.4406714439392
11,index_10,8,1,0,0.9,fixed,540,540,1,96,16817,16913,"[""540""]",22,0.019248754051376032,0.046974013138771,84.70917797088623
12,index_11,8,1,0,0.9,fixed,45,45,1,186,21058,21244,"[""45""]",20,0.02316836507290546,0.0409278530318004,224.9340696334839
13,index_12,8,1,0,0.9,fixed,204,204,1,181,9136,9317,"[""204""]",12,0.01096368919053155,0.0240683681181326,61.251662254333496
14,index_13,8,1,0,0.9,fixed,699,699,1,118,37975,38093,"[""699""]",37,0.04086615596102513,0.069530841230161,481.6914792060852
15,index_14,8,1,0,0.9,fixed,294,294,1,101,17494,17595,"[""294""]",23,0.01826529398517991,0.0348816929248299,137.25395154953003
16,index_15,8,1,0,0.9,fixed,110,134,0,112,27075,27187,"[""134""]",30,0.02866089376401234,0.0474391023777687,292.743554353714
17,index_16,8,1,0,0.9,fixed,721,721,1,145,20219,20364,"[""721""]",24,0.024606566183970936,0.0434277076914132,267.438015460968
18,index_17,8,1,0,0.9,fixed,315,66,0,100,40340,40440,"[""66""]",17,0.05891995406934924,0.1159816289750595,855.2339282035828
19,index_18,8,1,0,0.9,fixed,468,468,1,100,13355,13455,"[""468""]",16,0.016234383459243145,0.0291262135922329,155.33978629112244
20,index_19,8,1,0,0.9,fixed,902,126,0,147,20955,21102,"[""126""]",9,0.031539867916162784,0.0616824603220742,425.96812915802
21,index_20,8,1,0,0.9,fixed,211,211,1,170,31979,32149,"[""211""]",24,0.03833138147530046,0.070344747398407,496.04486894607544
22,index_21,8,1,0,0.9,fixed,80,80,1,109,28924,29033,"[""80""]",10,0.04388369422289906,0.0865065984535783,616.2826099395752
23,index_22,8,1,0,0.9,fixed,480,480,1,131,19376,19507,"[""480""]",17,0.02514426026005059,0.0472065577582698,297.28491473197937
24,index_23,8,1,0,0.9,fixed,236,236,1,118,12293,12411,"[""236""]",13,0.015014225860109434,0.0267426312423696,141.69008564949036
25,index_24,8,1,0,0.9,fixed,73,73,1,159,9478,9637,"[""73""]",14,0.010970285326427362,0.0181384803209115,80.21097755432129
26,index_25,8,1,0,0.9,fixed,113,113,1,402,25052,25454,"[""113""]",13,0.037302771518096,0.071158653566653,487.5877995491028
27,index_26,8,1,0,0.9,fixed,127,7,0,208,35967,36175,"[""7""]",18,0.04910436597343435,0.0945875239811638,679.1096906661987
28,index_27,8,1,0,0.9,fixed,104,104,1,199,17685,17884,"[""104""]",18,0.019093110343198518,0.0372071391198186,146.4181945323944
29,index_28,8,1,0,0.9,fixed,104,104,1,124,17101,17225,"[""104""]",13,0.02031832346536306,0.0366839137259461,214.42230081558228
30,index_29,8,1,0,0.9,fixed,321,321,1,109,14154,14263,"[""321""]",17,0.016403880008191256,0.0282541712691122,150.03032088279724
