token,frequency,mean_entropy,std_dev_entropy
  ,79,7.885683478519346e-06,3.3564414952756223e-05
right,8,3.2226907769244444e-05,5.81819814204711e-05
km,7,3.41940065438647e-05,2.5873557397899058e-05
[<newline>,74,7.131699139188378e-05,0.0002632208841327426
lic,5,0.00011386778968121294,8.040958355831932e-05
M,7,0.00014061532385657415,0.00029791473737291125
als,14,0.0003551373149143022,0.00036907654070659465
agon,14,0.00038234543307168753,0.0006266562343578267
pee,8,0.0004272429214964566,0.0009259195441221669
CM,12,0.00044788548747456795,0.0007752764824494334
ashed,20,0.0006145560119277837,0.0010350613749233945
icts,5,0.0006386333001980285,0.0002698189902552211
_,6,0.0006910929724788596,0.0014559802857776263
inear,10,0.000820949351489725,0.0006424929259145818
LC,5,0.00092635827002142,0.0015411782429406034
(B,42,0.001082530090452507,0.002701142609205032
}},18,0.0013779002109024167,0.0031363238636905495
iles,16,0.0014330864782665282,0.0027298914115872247
ographies,5,0.0017547141287775421,0.003185888201772249
quets,13,0.002033753853194095,0.0025959945530886043
uting,6,0.0022072904799542085,0.004933186278636217
Percentage,5,0.0022790458333219353,0.004186453569436995
ah,8,0.0029915894420281886,0.004015941869751995
 Earth,6,0.0032642161416386443,0.006320023393431882
ens,7,0.0035543604138348053,0.003478253610014831
(A,21,0.003643040579038585,0.014373235995492561
{\,13,0.004088426723093309,0.013910865337844571
ips,16,0.005304023673682627,0.005066239952188466
D,5,0.005343764456362643,0.006171197576318627
tr,8,0.006853818873493963,0.00391339066155154
}{,65,0.007040923023019459,0.04802396679506274
 windows,9,0.00847386048548458,0.010954603050972208
<｜end▁of▁sentence｜>,30,0.009105213079016487,0.01299249349804244
imeter,9,0.010312197830935618,0.013609885505805816
-check,16,0.01032975205643031,0.005845685481771656
 Revenue,5,0.011724262220124102,0.023339940209834174
CD,8,0.012154071240703966,0.015222100914911859
hours,19,0.012239480010936369,0.051321676481371085
ilater,14,0.012852260391179312,0.02280946086787746
 cocoa,8,0.013040532398566663,0.014053850646485247
end,12,0.013044331016069595,0.012089997976639455
frac,70,0.01592345467166567,0.09821491017715482
ating,13,0.01795079779541561,0.02678420642291101
{,160,0.019135548981720124,0.13437510866032734
 interest,9,0.02143372532370291,0.05815608484848243
comp,5,0.022522971553149418,0.03382434866412082
text,97,0.024076976841863745,0.12431507097867411
undred,12,0.024489850027531762,0.04795721617460134
ilateral,22,0.02784692085323408,0.06609969262830294
},116,0.03526276891319086,0.14867813001590685
 \,449,0.04315949826084223,0.18467000839596265
 squ,18,0.045811219155722366,0.11562184457767094
Thousands,6,0.04792456042801325,0.07097273827127487
]<newline><newline>,56,0.04824275880328666,0.18523667885164188
 power,7,0.0484215941873649,0.10836717756787519
}(,5,0.0511512587730214,0.07225132852575297
quad,12,0.05379112637713531,0.11530222148285255
left,8,0.053933129609242396,0.11544619123459192
7,390,0.05639349900785026,0.17596847232035032
 children,11,0.056963168132183516,0.1402288910868747
-digit,47,0.058369865048255504,0.1905390099328144
 product,14,0.05905245277950761,0.15418078592431111
0,2719,0.06113036598847244,0.24284799113551886
/h,9,0.062110688101550154,0.15327618826208353
times,55,0.062467881438007744,0.1904169120867702
\,154,0.06250571875135548,0.22177944016418402
 square,56,0.07273842347240833,0.30904734876043133
):,19,0.07316479161277338,0.16049151052009025
tract,16,0.07830180338024278,0.14645675165249483
 involves,5,0.08358914884400466,0.05657630782837997
 III,7,0.0851200503831486,0.09933085288932308
3,642,0.08655729333482336,0.2450839191102999
6,1488,0.09105516815062192,0.2864523450247644
9,796,0.092319050434097,0.27956436484351854
2,1380,0.09688042612255984,0.28015236959998757
't,144,0.10040437721150101,0.11245457363778173
  <newline>,62,0.10181133642317104,0.32372828125993147
 weight,10,0.10361374041927787,0.2604919881742625
 many,33,0.10403836478351411,0.35938399808128313
5,1926,0.10541643415675656,0.36899059995214806
.',6,0.10892275315293158,0.11706099831068506
²,76,0.10997827929783838,0.15293147483811745
8,413,0.1157481874060534,0.32733167343583447
C,7,0.1185662028347594,0.2687326019727637
 school,42,0.12061425268648274,0.30622728362287327
 rate,11,0.1237849752119702,0.26078665495673164
(l,5,0.12628948136880527,0.2522353810005928
}.<newline>,13,0.13022015355940988,0.24903753794577488
ifying,6,0.13521452344690602,0.3020660029778556
1,2318,0.13805192303287975,0.35111621457745207
**,37,0.1417211075647846,0.3347318878230078
cdot,7,0.14283146745478498,0.34538307257926515
4,993,0.14441302625412172,0.3831667734661104
l,39,0.14936290822545875,0.2245965529401691
 Repair,5,0.15378813175178585,0.15834084932403494
 nor,6,0.155963357839583,0.2599799414612114
a,15,0.16057916599934402,0.3764684328483708
ed,7,0.16165631891146764,0.3335959062232567
-per,8,0.16485688217565955,0.25247522776926207
 sides,20,0.1704071508165385,0.4312206678219431
