iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,1,1,33,33,1,189,2245,2145,98,2434,"[""33""]",0.0063394961582301755,0.0116438356164383,36.427793979644775
2,index_1,1,1,23,51431,0,221,11344,10700,642,11565,"[""51431""]",0.02813194582799195,0.0550989345509893,192.12276697158813
3,index_2,1,1,116,116,1,167,3196,2612,582,3363,"[""116""]",0.008496883255753894,0.0161339421613394,52.62225008010864
4,index_3,1,1,809,809,1,140,3388,3092,294,3528,"[""809""]",0.008825221540007849,0.0168949771689497,55.543543577194214
5,index_4,1,1,197,1203,0,136,15105,15015,88,15241,"[""1203""]",0.03667228500534322,0.0726027397260273,260.8631408214569
6,index_5,1,1,385,16,0,123,11297,11172,123,11420,"[""16""]",0.027554115126045622,0.05441400304414,191.40577125549316
7,index_6,1,1,371,9,0,118,15400,15116,282,15518,"[""9""]",0.0372882594648571,0.073896499238965,263.77451753616333
8,index_7,1,1,601,601,1,114,8673,7954,717,8787,"[""601""]",0.021270796856470896,0.0419330289193302,144.9591987133026
9,index_8,1,1,25,25,1,92,4326,4035,289,4418,"[""25""]",0.010827855534555373,0.0210806697108066,70.78205800056458
10,index_9,1,1,55,55,1,103,2889,2519,368,2992,"[""55""]",0.0074625144175316715,0.0143074581430745,47.20220899581909
11,index_10,1,1,540,540,1,91,5421,4735,684,5512,"[""540""]",0.013427341228334597,0.026331811263318,89.71475219726562
12,index_11,1,1,45,50,0,181,11544,11525,17,11725,"[""50""]",0.0284173701873352,0.0558599695585997,196.5840299129486
13,index_12,1,1,204,204,1,176,2990,2475,513,3166,"[""204""]",0.00804977082439602,0.0151445966514459,49.40655064582825
14,index_13,1,1,699,699,1,113,15627,15209,416,15740,"[""699""]",0.03780435069708621,0.0749619482496194,268.05338430404663
15,index_14,1,1,294,294,1,96,4437,4011,424,4533,"[""294""]",0.011110905333281157,0.0216894977168949,73.16659164428711
16,index_15,1,1,110,155,0,107,6666,6194,470,6773,"[""155""]",0.01646434801547589,0.0323439878234398,111.86916279792786
17,index_16,1,1,721,721,1,140,10666,9950,714,10806,"[""721""]",0.02613428604328713,0.0515220700152206,180.9300479888916
18,index_17,1,1,315,9,0,95,8144,7867,275,8239,"[""9""]",0.01992235480769496,0.039269406392694,136.81524801254272
19,index_18,1,1,468,468,1,95,5510,4803,705,5605,"[""468""]",0.013658030555741937,0.0267884322678843,91.5943808555603
20,index_19,1,1,902,1024,0,142,8797,8423,372,8939,"[""1024""]",0.02169885711537452,0.0426179604261796,148.0508177280426
21,index_20,1,1,211,211,1,165,26566,26526,38,26731,"[""211""]",0.06406719658101144,0.1272450532724505,469.8818769454956
22,index_21,1,1,80,80,1,104,4416,3968,446,4520,"[""80""]",0.011098981415721484,0.0216133942161339,72.89131259918213
23,index_22,1,1,480,480,1,126,7174,6747,425,7300,"[""480""]",0.017762854066896788,0.034855403348554,120.00810503959656
24,index_23,1,1,236,236,1,113,6774,6236,536,6887,"[""236""]",0.016749757086611913,0.0328767123287671,112.84332036972046
25,index_24,1,1,73,229,0,154,6597,6101,494,6751,"[""229""]",0.01652373326541916,0.0321917808219177,109.67977452278137
26,index_25,1,1,113,3268,0,397,15883,15820,61,16280,"[""3268""]",0.039763839587389035,0.0775494672754947,272.2092959880829
27,index_26,1,1,127,7,0,203,13549,13196,351,13752,"[""7""]",0.03329037838323584,0.0655251141552512,231.73799467086792
28,index_27,1,1,104,7,0,194,19094,18581,511,19288,"[""7""]",0.04643493260286722,0.0918569254185692,330.82836270332336
29,index_28,1,1,104,77,0,119,18582,18562,18,18701,"[""77""]",0.044860570834818876,0.0890410958904109,320.5760796070099
30,index_29,1,1,321,321,1,104,14614,13946,666,14718,"[""321""]",0.03535238029775913,0.0700913242009132,249.54831266403198
