iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,10,1,0,0.76,C,C,1,148,8395,8543,"[""C""]",9,0.0119926234515276,0.0298886647239035,47.3328173160553
2,index_1,10,1,0,0.76,D,D,1,155,9817,9972,"[""D""]",6,0.0151211754677636,0.0268997982515131,90.69370245933531
3,index_2,10,1,0,0.76,C,C,1,179,10496,10675,"[""C""]",13,0.0149163090647942,0.0363894493013524,59.41001319885254
4,index_3,10,2,0,0.76,B,B,1,153,13185,13338,"[""B"", ""B""]",13,0.0182904518152102,0.0328775311962937,94.99807381629944
5,index_4,10,1,0,0.76,C,C,1,385,14447,14832,"[""C""]",23,0.0258477433822246,0.0418441306134648,71.46289491653442
6,index_5,10,1,0,0.76,C,B,0,199,17803,18002,"[""B""]",8,0.0321705064282903,0.0616453709930508,251.38554286956787
7,index_6,10,1,0,0.76,C,D,0,191,19986,20177,"[""D""]",11,0.0350971693229639,0.0670253306433534,272.8172163963318
8,index_7,10,1,0,0.76,D,D,1,471,16071,16542,"[""D""]",19,0.0253378328372032,0.0558170813718896,114.57390928268433
9,index_8,10,1,0,0.76,A,C,0,262,10216,10478,"[""C""]",16,0.017389170562998,0.0366883359485914,52.84351396560669
10,index_9,10,1,0,0.76,C,C,1,148,13166,13314,"[""C""]",10,0.0203185307171525,0.0366136142867817,130.0500795841217
11,index_10,10,1,0,0.76,A,A,1,399,10625,11024,"[""A""]",13,0.0246484461659388,0.0582828962116117,36.45220470428467
12,index_11,10,1,0,0.76,D,D,1,174,8757,8931,"[""D""]",11,0.0127213230928012,0.0328775311962937,55.48148822784424
13,index_12,10,1,0,0.76,A,A,1,340,12882,13222,"[""A""]",11,0.0223188013932477,0.0390047074646939,135.83610606193542
14,index_13,10,1,0,0.76,D,A,0,148,10155,10303,"[""A""]",9,0.0139041648403756,0.0328775311962937,65.59797215461731
15,index_14,10,1,0,0.76,C,C,1,302,8202,8504,"[""C""]",8,0.013426331453152,0.0354927893596354,59.85882210731506
16,index_15,10,1,0,0.76,B,D,0,221,15002,15223,"[""D""]",8,0.0263843708370137,0.0494657401180602,194.84538984298703
17,index_16,10,3,0,0.76,C,C,1,158,9240,9398,"[""C"", ""C"", ""C""]",13,0.0163522422599975,0.026302024957035,42.34297728538513
18,index_17,10,1,0,0.76,B,A,0,245,13812,14057,"[""A""]",12,0.0207304834180703,0.0366136142867817,123.31333446502686
19,index_18,10,1,0,0.76,A,B,0,543,13159,13702,"[""B""]",15,0.0223721798493924,0.048569080176343,103.56082677841188
20,index_19,10,5,0,0.76,A,A,1,198,11027,11225,"[""A"", ""A"", ""A"", ""A"", ""A""]",16,0.0219576614486885,0.0460285436748113,33.01678490638733
21,index_20,10,1,0,0.76,B,A,0,277,14831,15108,"[""A""]",7,0.0252417640674532,0.0460285436748113,171.39227199554443
22,index_21,10,3,0,0.76,D,C,0,137,8433,8570,"[""D"", ""C"", ""C""]",8,0.0138840808494685,0.0322797579018157,32.51990222930908
23,index_22,10,1,0,0.76,C,B,0,275,15022,15297,"[""B""]",8,0.0258821989355473,0.0474482552491967,178.96651196479797
24,index_23,10,1,0,0.76,B,B,1,225,21664,21889,"[""B""]",14,0.0346610189895954,0.0638870208473436,263.6801574230194
25,index_24,10,1,0,0.76,B,B,1,363,19409,19772,"[""B""]",17,0.0312932053569904,0.0546962564447432,210.06049919128415
26,index_25,10,1,0,0.76,D,A,0,372,14400,14772,"[""A""]",7,0.024937990924955,0.0442352237913771,160.2827923297882
27,index_26,10,1,0,0.76,A,A,1,164,10027,10191,"[""A""]",10,0.0143360140038444,0.026302024957035,76.02941513061523
28,index_27,10,1,0,0.76,A,C,0,327,16443,16770,"[""C""]",19,0.0241112652710844,0.0484196368527236,117.1355049610138
29,index_28,10,1,0,0.76,A,D,0,403,16901,17304,"[""D""]",8,0.0282542014563824,0.0515579466487334,187.2902042865753
30,index_29,10,1,0,0.76,A,C,0,101,12510,12611,"[""C""]",11,0.0199386858693633,0.0367630576104012,130.6003804206848
31,index_30,10,1,0,0.76,C,A,0,135,15816,15951,"[""A""]",13,0.0246517914445823,0.0451318837330941,170.68115091323853
32,index_31,10,1,0,0.76,C,C,1,156,10592,10748,"[""C""]",14,0.0149135209179401,0.0295897780766644,64.57663869857788
33,index_32,10,1,0,0.76,C,A,0,322,12711,13033,"[""A""]",11,0.0206582309129783,0.039602480759172,120.42079019546507
34,index_33,10,1,0,0.76,A,C,0,472,12492,12964,"[""C""]",11,0.0212262388640051,0.0448329970858552,112.10878682136536
35,index_34,10,1,0,0.76,C,C,1,318,11974,12292,"[""C""]",16,0.0188293727350219,0.039602480759172,88.5986704826355
36,index_35,10,3,0,0.76,B,C,0,154,14061,14215,"[""C"", ""C"", ""C""]",20,0.0214990339751015,0.0345214077561084,66.03737282752991
37,index_36,10,1,0,0.76,D,B,0,162,14391,14553,"[""B""]",15,0.0213070047265255,0.0358663976686841,127.60975933074953
38,index_37,10,1,0,0.76,C,C,1,303,11172,11475,"[""C""]",13,0.0175418741914609,0.0349697377269671,89.37580227851868
39,index_38,10,2,0,0.76,B,B,1,243,9069,9312,"[""B"", ""B""]",14,0.0174033234606361,0.0322797579018157,38.415101289749146
40,index_39,10,4,0,0.76,A,B,0,173,11667,11840,"[""B"", ""A"", ""B"", ""A""]",10,0.0162008349472702,0.0321303145781962,98.1167619228363
41,index_40,10,1,0,0.76,A,A,1,147,9063,9210,"[""A""]",10,0.0133308522018222,0.0231637151610252,84.002690076828
42,index_41,10,1,0,0.76,D,D,1,234,11469,11703,"[""D""]",18,0.0190824103553275,0.039602480759172,50.85605144500733
