iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,10,1,0,0.74,C,C,1,148,8551,8699,"[""C""]",10,0.012590585171547024,0.0292908914294254,42.8991494178772
2,index_1,10,1,0,0.74,D,C,0,155,13383,13538,"[""C""]",6,0.02344833029847995,0.0443846671149966,170.90035271644592
3,index_2,10,1,0,0.74,C,C,1,179,10861,11040,"[""C""]",12,0.015700470969519095,0.0363147276395426,53.56299948692322
4,index_3,10,2,0,0.74,B,B,1,153,9415,9568,"[""B"", ""B""]",12,0.015105536609856054,0.0321303145781962,43.01671767234802
5,index_4,10,1,0,0.74,C,C,1,385,13770,14155,"[""C""]",19,0.02225396072145872,0.0423671822461331,87.88637948036194
6,index_5,10,1,0,0.74,C,C,1,199,8872,9071,"[""C""]",13,0.013693122361575388,0.0336247478143914,49.72708439826965
7,index_6,10,1,0,0.74,C,C,1,191,20748,20939,"[""C""]",20,0.03352294601373584,0.060972876036763,263.52021312713623
8,index_7,10,1,0,0.74,D,D,1,471,16872,17343,"[""D""]",15,0.025854229288399314,0.0612717626840021,127.76483750343323
9,index_8,10,1,0,0.74,A,A,1,262,11686,11948,"[""A""]",11,0.017129657123010615,0.0366136142867817,77.12186813354492
10,index_9,10,1,0,0.74,C,D,0,148,12182,12330,"[""D""]",7,0.018326747625243524,0.0323544795636254,114.41372895240784
11,index_10,10,3,0,0.74,A,A,1,399,10645,11044,"[""A"", ""A"", ""A""]",11,0.02282015483794078,0.0425913472315624,40.7079975605011
12,index_11,10,1,0,0.74,D,D,1,174,9650,9824,"[""D""]",15,0.014303083754895552,0.0287678397967571,52.027827978134155
13,index_12,10,1,0,0.74,A,A,1,340,13257,13597,"[""A""]",10,0.02268455130647631,0.0397519240827916,140.93519139289856
