iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,64,64,0,0.95,fixed,33,33,1,189,210368,210557,"[""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""89"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""53"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""53"", ""33"", ""33"", ""33"", ""33"", ""33"", ""37"", ""33"", ""33"", ""33"", ""33""]",59,0.3209471288955367,0.7582754240454308,142.18664145469666
2,index_1,64,34,0,0.95,fixed,23,23,1,221,337083,337304,"[""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23""]",100,0.3469897335031926,0.9999252783381902,379.95468378067017
3,index_2,64,64,0,0.95,fixed,116,116,1,167,170325,170492,"[""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116""]",73,0.3190715918631221,0.6500784577449003,97.19211101531982
4,index_3,64,23,0,0.95,fixed,809,809,1,140,208118,208258,"[""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809""]",69,0.27277305612261976,0.7249495628782784,157.88927793502808
5,index_4,64,2,0,0.95,fixed,197,4048,0,26429,170490,196919,"[""4048"", ""254""]",68,0.10943142366320763,0.6213853396099529,374.8114080429077
6,index_5,64,15,0,0.95,fixed,385,16,0,123,491956,492079,"[""36"", ""16"", ""72"", ""64"", ""32"", ""16"", ""16"", ""16"", ""16"", ""16"", ""16"", ""64"", ""36"", ""48"", ""12""]",100,0.528901366425485,0.9999252783381902,580.6097869873047
7,index_6,64,3,0,0.95,fixed,371,141,0,31738,207542,239280,"[""73"", ""9"", ""141""]",96,0.19531358991306647,0.708660240603751,280.177565574646
8,index_7,64,11,0,0.95,fixed,601,601,1,114,409516,409630,"[""601"", ""601"", ""13"", ""601"", ""601"", ""601"", ""601"", ""601"", ""601"", ""7"", ""201""]",100,0.37829723275411314,0.9998505566763805,567.7158877849579
9,index_8,64,22,0,0.95,fixed,25,25,1,92,279198,279290,"[""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25""]",84,0.3395770009915855,0.9080176343121872,244.46678733825684
10,index_9,64,33,0,0.95,fixed,55,55,1,103,207771,207874,"[""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55""]",81,0.30405127406686244,0.764402600313831,139.63952445983887
11,index_10,64,56,0,0.95,fixed,540,540,1,91,211243,211334,"[""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540""]",82,0.33173751617359054,0.6534409325263394,138.99094915390015
12,index_11,64,18,0,0.95,fixed,45,45,1,181,362303,362484,"[""45"", ""45"", ""45"", ""34"", ""45"", ""45"", ""45"", ""45"", ""45"", ""45"", ""45"", ""45"", ""45"", ""45"", ""36"", ""45"", ""45"", ""36""]",100,0.3782374598257519,0.9999252783381902,455.13365483283997
13,index_12,64,64,0,0.95,fixed,204,204,1,176,178330,178506,"[""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204""]",75,0.2769323807248256,0.6348352387357095,118.71507787704468
14,index_13,64,36,0,0.95,fixed,699,699,1,113,573243,573356,"[""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""629"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""629"", ""699"", ""699"", ""629"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""629"", ""699"", ""699"", ""629""]",100,0.6068983811916419,0.9999252783381902,726.0110580921173
15,index_14,64,12,0,0.95,fixed,294,294,1,96,192440,192536,"[""294"", ""294"", ""294"", ""294"", ""294"", ""294"", ""294"", ""294"", ""294"", ""294"", ""294"", ""294""]",48,0.24171502075484932,0.7921990585070612,143.08264923095703
16,index_15,64,45,0,0.95,fixed,110,110,1,107,517806,517913,"[""110"", ""110"", ""134"", ""155"", ""155"", ""155"", ""110"", ""110"", ""110"", ""110"", ""134"", ""110"", ""110"", ""110"", ""155"", ""110"", ""110"", ""155"", ""110"", ""110"", ""110"", ""110"", ""110"", ""155"", ""110"", ""110"", ""110"", ""155"", ""110"", ""110"", ""110"", ""155"", ""155"", ""110"", ""155"", ""19"", ""110"", ""110"", ""110"", ""110"", ""110"", ""155"", ""110"", ""110"", ""110""]",100,0.4552951066616317,0.9999252783381902,731.3690857887268
17,index_16,64,9,0,0.95,fixed,721,721,1,140,347545,347685,"[""721"", ""721"", ""721"", ""721"", ""721"", ""721"", ""721"", ""721"", ""721""]",94,0.2929669396020964,0.9999252783381902,436.2922215461731
18,index_17,64,1,0,0.95,fixed,315,18,0,95,190850,190945,"[""18""]",42,0.14100462356315788,0.773668086378241,263.45707297325134
19,index_18,64,17,0,0.95,fixed,468,468,1,95,262344,262439,"[""468"", ""468"", ""468"", ""468"", ""468"", ""468"", ""468"", ""468"", ""468"", ""468"", ""468"", ""468"", ""468"", ""468"", ""468"", ""468"", ""468""]",63,0.1690489843590382,0.8426361802286483,485.4158744812012
20,index_19,64,1,0,0.95,fixed,902,1922,0,142,178432,178574,"[""1922""]",81,0.1280527698664053,0.6496301277740417,315.6744432449341
21,index_20,64,4,0,0.95,fixed,211,210,0,81691,356625,438316,"[""211"", ""121"", ""2311"", ""210""]",100,0.23706004638425288,0.9998505566763805,809.3987765312195
22,index_21,64,2,0,0.95,fixed,80,80,1,104,184151,184255,"[""80"", ""80""]",69,0.14008715682906808,0.663752521856086,302.6676502227783
23,index_22,64,7,0,0.95,fixed,480,480,1,126,292644,292770,"[""480"", ""480"", ""480"", ""480"", ""480"", ""480"", ""480""]",100,0.2537379406534727,0.9997758350145708,397.14967012405396
24,index_23,64,2,0,0.95,fixed,236,236,1,23087,232397,255484,"[""236"", ""232""]",61,0.1587910348171443,0.8477172532317119,361.8852391242981
25,index_24,64,13,0,0.95,fixed,73,73,1,154,210260,210414,"[""73"", ""73"", ""73"", ""73"", ""73"", ""73"", ""73"", ""73"", ""73"", ""73"", ""73"", ""73"", ""73""]",64,0.22847718692211577,0.7597698572816259,195.46789503097534
26,index_25,64,19,0,0.95,fixed,113,113,1,397,450913,451310,"[""113"", ""113"", ""113"", ""119481"", ""113"", ""113"", ""77"", ""113"", ""113"", ""113"", ""113"", ""113"", ""3268"", ""113"", ""17"", ""19"", ""113"", ""113"", ""113""]",100,0.40089083157887523,0.9440334753044908,837.6745808124542
27,index_26,64,1,0,0.95,fixed,127,12,0,203,226899,227102,"[""12""]",96,0.1821963845427152,0.7890607487110514,378.69740772247314
28,index_27,64,11,0,0.95,fixed,104,104,1,194,358946,359140,"[""104"", ""104"", ""104"", ""3802"", ""104"", ""104"", ""104"", ""47"", ""94"", ""104"", ""104""]",100,0.3362052429058859,0.9226630800268998,604.0747458934784
29,index_28,64,6,0,0.95,fixed,104,104,1,119,348602,348721,"[""104"", ""104"", ""45"", ""5"", ""104"", ""107""]",100,0.3122587964306359,0.9998505566763805,497.6079726219177
