iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,64,2,0,0.75,C,C,1,148,42492,42640,"[""C"", ""C""]",20,0.0481077388465932,0.186355824553538,54.92711853981018
2,index_1,64,1,0,0.75,D,B,0,155,42269,42424,"[""B""]",14,0.03245448864971745,0.1855338862736307,173.89746117591858
3,index_2,64,3,0,0.75,C,C,1,179,59279,59458,"[""C"", ""C"", ""C""]",25,0.06469033839363701,0.2257341403272809,70.1962308883667
4,index_3,64,3,0,0.75,B,B,1,153,45486,45639,"[""D"", ""B"", ""B""]",15,0.03901272875169035,0.2050362400059777,71.0806999206543
5,index_4,64,2,0,0.75,C,C,1,385,50212,50597,"[""C"", ""C""]",29,0.06416943923359165,0.2271538519016662,79.1668815612793
6,index_5,64,2,0,0.75,C,C,1,15964,52017,67981,"[""B"", ""C""]",18,0.041084628789017794,0.1977135171486214,261.50996828079224
7,index_6,64,1,0,0.75,C,D,0,191,51369,51560,"[""D""]",17,0.03752412749829306,0.2090712097437047,208.0758411884308
8,index_7,64,1,0,0.75,D,B,0,471,69479,69950,"[""B""]",23,0.05530474064148221,0.3443921392811776,182.9099714756012
9,index_8,64,1,0,0.75,A,A,1,262,43888,44150,"[""A""]",17,0.03471649027822439,0.1921093925128895,114.53529238700867
10,index_9,64,1,0,0.75,C,C,1,148,38860,39008,"[""C""]",10,0.02792302999864283,0.1670029141448106,127.31015110015869
11,index_10,64,2,0,0.75,A,A,1,5249,42145,47394,"[""B"", ""A""]",18,0.06995447932546876,0.2366435029515056,48.32393002510071
12,index_11,64,2,0,0.75,D,D,1,174,60440,60614,"[""D"", ""D""]",32,0.06906719186176923,0.1806769782559963,74.67638635635376
13,index_12,64,1,0,0.75,A,B,0,340,39142,39482,"[""B""]",14,0.03441953943174166,0.2317865949338713,123.35521602630615
14,index_13,64,1,0,0.75,D,D,1,148,36243,36391,"[""D""]",13,0.0385317656534306,0.1853097212882014,47.418113470077515
15,index_14,64,3,0,0.75,C,C,1,302,41326,41628,"[""C"", ""C"", ""D""]",20,0.04196668070908283,0.218261974146305,88.9568829536438
16,index_15,64,1,0,0.75,B,B,1,221,37110,37331,"[""B""]",8,0.031132918591990064,0.1752970186056938,176.0284388065338
17,index_16,64,2,0,0.75,C,C,1,158,37682,37840,"[""C"", ""C""]",14,0.05123297548242836,0.1777628334454158,38.56637167930603
18,index_17,64,1,0,0.75,B,A,0,245,52202,52447,"[""A""]",15,0.03746957980861921,0.2283493984906224,175.5368595123291
