iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,1,1,C,C,1,148,4477,3411,1064,4625,"[""C""]",0.011453236965023613,0.0220700152207001,72.84091544151306
2,index_1,1,1,D,D,1,155,8284,7966,316,8439,"[""D""]",0.020540624204863044,0.0402587519025875,136.51575255393982
3,index_2,1,1,C,C,1,179,4483,3488,993,4662,"[""C""]",0.011614914928370332,0.0222983257229832,72.61880159378052
4,index_3,1,1,B,B,1,153,4681,3946,733,4834,"[""B""]",0.011962163459006466,0.0230593607305935,75.74377799034119
5,index_4,1,1,C,C,1,385,5054,4244,808,5439,"[""C""]",0.013952383748326955,0.0259512937595128,81.96345210075378
6,index_5,1,1,C,C,1,199,3975,3287,686,4174,"[""C""]",0.010501785446315593,0.0199391171993911,63.879547357559204
7,index_6,1,1,C,C,1,191,16970,15703,1265,17161,"[""C""]",0.0413692818450168,0.0817351598173515,285.9068467617035
8,index_7,1,1,D,D,1,471,11113,10391,720,11584,"[""D""]",0.028771464624676994,0.0551750380517503,184.6685562133789
9,index_8,1,1,A,C,0,262,6056,5474,580,6318,"[""C""]",0.01575062276209591,0.0301369863013698,98.88778638839722
10,index_9,1,1,C,C,1,148,6571,6197,372,6719,"[""C""]",0.016433376781345287,0.0320395738203956,107.41507411003113
11,index_10,1,1,A,A,1,399,2093,1639,452,2492,"[""A""]",0.006975936174821395,0.0119482496194824,33.45054769515991
12,index_11,1,1,D,D,1,174,4535,3418,1115,4709,"[""D""]",0.011714805150878162,0.0225266362252664,73.33856177330017
13,index_12,1,1,A,A,1,340,6886,6524,360,7226,"[""A""]",0.01809551624738462,0.0344748858447488,112.63349747657776
14,index_13,1,1,D,D,1,148,2830,2489,339,2978,"[""D""]",0.007536074564763735,0.0142313546423135,45.3128502368927
15,index_14,1,1,C,C,1,302,4258,3564,692,4560,"[""C""]",0.011664545632259401,0.021765601217656,68.92252850532532
16,index_15,1,1,B,B,1,221,6793,6056,735,7014,"[""B""]",0.017308472109646346,0.0334855403348554,110.9028742313385
17,index_16,1,1,C,C,1,158,2247,1761,484,2405,"[""C""]",0.006196984838882611,0.0115677321156772,35.84731101989746
18,index_17,1,1,B,A,0,245,5321,4770,549,5566,"[""A""]",0.013921735514452182,0.0265601217656011,86.17637038230896
19,index_18,1,1,A,B,0,543,9071,8210,859,9614,"[""B""]",0.02425742042687751,0.045814307458143,149.91175365447998
20,index_19,1,1,A,A,1,198,1632,1323,307,1830,"[""A""]",0.004924124856344688,0.00882800608828,25.943065881729126
21,index_20,1,1,B,A,0,277,7433,6897,534,7710,"[""A""]",0.019096860080530027,0.0367579908675799,121.87631177902222
22,index_21,1,1,D,C,0,137,1467,1052,413,1604,"[""C""]",0.004241785176613993,0.0077625570776255,23.29346776008606
23,index_22,1,1,C,D,0,275,7232,6816,414,7507,"[""D""]",0.01860931032109928,0.0358447488584474,118.40301895141602
24,index_23,1,1,B,D,0,225,8445,7891,552,8670,"[""D""]",0.02125641239122853,0.0413242009132419,138.9040322303772
25,index_24,1,1,B,B,1,363,9000,8398,600,9363,"[""B""]",0.023232569964744272,0.0446727549467275,148.27746176719666
26,index_25,1,1,D,A,0,372,10723,10017,704,11095,"[""A""]",0.027373146165842566,0.0528919330289193,178.5048279762268
27,index_26,1,1,A,A,1,164,5111,4585,524,5275,"[""A""]",0.01303717578598595,0.0251902587519026,82.95049977302551
28,index_27,1,1,A,A,1,327,9399,8594,803,9726,"[""A""]",0.024010314453188204,0.0463470319634703,154.85352897644043
29,index_28,1,1,A,A,1,403,7507,6772,733,7910,"[""A""]",0.019872014751996608,0.0377473363774734,122.88845801353455
30,index_29,1,1,A,C,0,101,5428,4906,520,5529,"[""C""]",0.013491542825005639,0.0264079147640791,87.72240257263184
31,index_30,1,1,C,A,0,135,5688,5309,377,5823,"[""A""]",0.014271540073195225,0.0277777777777777,92.56073451042175
32,index_31,1,1,C,C,1,156,13988,12816,1170,14144,"[""C""]",0.034110901226697646,0.0673515981735159,233.78327822685242
33,index_32,1,1,C,A,0,322,6348,5808,535,6670,"[""A""]",0.016730399902380344,0.0318112633181126,103.27279758453369
34,index_33,1,1,A,C,0,472,9327,8690,635,9799,"[""C""]",0.02452862007252672,0.0467275494672755,154.11840844154358
35,index_34,1,1,C,C,1,318,5141,4315,824,5459,"[""C""]",0.013840713685664967,0.0261035007610349,83.26602935791016
36,index_35,1,1,B,B,1,154,3291,2857,432,3445,"[""B""]",0.008661049987886273,0.0165144596651446,52.56983280181885
37,index_36,1,1,D,A,0,162,6511,6107,402,6673,"[""A""]",0.016357250775058948,0.0318112633181126,106.39797353744507
38,index_37,1,1,C,C,1,303,4609,4080,527,4912,"[""C""]",0.01250411883371793,0.0234398782343987,74.55422186851501
39,index_38,1,1,B,B,1,243,1759,1228,529,2002,"[""B""]",0.005440016604400115,0.0095890410958904,28.021207809448242
40,index_39,1,1,A,A,1,173,3367,3010,355,3540,"[""A""]",0.008932128692646656,0.0169710806697107,54.108879804611206
41,index_40,1,1,A,A,1,147,2907,2393,512,3054,"[""A""]",0.0077145082373926265,0.0146118721461186,46.487388372421265
42,index_41,1,1,D,D,1,234,3214,2528,684,3448,"[""D""]",0.008858210774740692,0.0165144596651446,51.411470890045166
43,index_42,1,1,A,D,0,270,4073,3588,483,4343,"[""D""]",0.01107242423087638,0.0207762557077625,65.69635820388794
44,index_43,1,1,A,A,1,313,2887,2390,495,3200,"[""A""]",0.008455921105334784,0.015296803652968,46.3469762802124
45,index_44,1,1,D,D,1,180,9149,8225,922,9329,"[""D""]",0.0227166953614292,0.0444444444444444,150.92886328697205
46,index_45,1,1,C,A,0,98,7385,6968,415,7483,"[""A""]",0.018131540563186464,0.0356925418569253,120.6351387500763
47,index_46,1,1,D,D,1,217,6513,5797,714,6730,"[""D""]",0.016623532781985972,0.0321156773211567,106.20935988426208
48,index_47,1,1,A,B,0,154,10472,9845,625,10626,"[""B""]",0.02573947125906563,0.0506088280060882,173.23033785820007
49,index_48,1,1,B,D,0,427,6870,6331,537,7297,"[""D""]",0.01847113150875435,0.034779299847793,112.62322282791138
50,index_49,1,1,D,D,1,201,1377,1027,348,1578,"[""D""]",0.004331714062910711,0.0076103500761035,21.885584592819214
51,index_50,1,1,D,D,1,168,10498,9864,632,10666,"[""D""]",0.02586789812409469,0.0508371385083713,173.27932119369507
