iteration,question_id,n_chains_max,window_size,n_chains_generated,stopped_early,correct_answer,final_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,total_reasoning_tokens,total_non_reasoning_tokens,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec,individual_answers_str
1,aqua_rat_test_0,8,2,2,True,A,A,1,178,6923,7101,,,0.012092330810125848,0.021929298981426,82.89033603668213,"[""A"", ""A""]"
2,aqua_rat_test_1,8,2,2,True,E,E,1,158,6240,6398,,,0.01044924407416913,0.0183343319352905,92.9986183643341,"[""E"", ""E""]"
3,aqua_rat_test_2,8,2,2,True,A,A,1,100,3126,3226,,,0.005807458300481518,0.0108448172558418,34.90775942802429,"[""A"", ""A""]"
4,aqua_rat_test_3,8,2,2,True,B,B,1,146,3243,3389,,,0.006605390134970413,0.0125823846614739,33.54395866394043,"[""B"", ""B""]"
5,aqua_rat_test_4,8,2,2,True,B,B,1,111,1587,1698,,,0.0032346669969305054,0.0058118633912522,17.821489572525024,"[""B"", ""B""]"
6,aqua_rat_test_5,8,2,2,True,D,D,1,169,3596,3765,,,0.00726984367807811,0.0137207908927501,37.724987745285034,"[""D"", ""D""]"
7,aqua_rat_test_6,8,2,2,True,D,D,1,127,3084,3211,,,0.005751406270498906,0.0104254044337926,35.339144706726074,"[""D"", ""D""]"
8,aqua_rat_test_7,8,2,2,True,C,C,1,142,2388,2530,,,0.005143983731623759,0.0096464949071299,24.160216569900513,"[""C"", ""C""]"
9,aqua_rat_test_8,8,2,2,True,E,E,1,133,4404,4537,,,0.008058233819986382,0.0150389454763331,49.94113063812256,"[""E"", ""E""]"
10,aqua_rat_test_9,8,2,2,True,D,D,1,120,2283,2403,,,0.004844571311953612,0.0091072498502097,23.138933181762695,"[""D"", ""D""]"
11,aqua_rat_test_10,8,2,2,True,B,C,0,163,7201,7364,,,0.01372590275192688,0.0266626722588376,76.45097017288208,"[""C"", ""C""]"
12,aqua_rat_test_11,8,2,2,True,A,A,1,151,2909,3060,,,0.0058980247325874455,0.0110245656081485,30.982465982437134,"[""A"", ""A""]"
13,aqua_rat_test_12,8,2,2,True,C,C,1,123,5360,5483,,,0.008878550833461032,0.0147992810065907,75.04222702980042,"[""C"", ""C""]"
14,aqua_rat_test_13,8,2,2,True,D,D,1,86,694,780,,,0.001617425526743138,0.0027561414020371,7.690314292907715,"[""D"", ""D""]"
15,aqua_rat_test_14,8,2,2,True,C,C,1,104,896,1000,,,0.002150611703268303,0.0037747153984422,9.239724159240723,"[""C"", ""C""]"
16,aqua_rat_test_15,8,2,2,True,A,A,1,114,889,1003,,,0.0020723053840325527,0.0035949670461353,9.701423645019531,"[""A"", ""A""]"
17,aqua_rat_test_16,8,2,2,True,A,A,1,148,9643,9791,,,0.018401225255326534,0.0360695026962253,100.89089345932007,"[""A"", ""A""]"
18,aqua_rat_test_17,8,2,2,True,D,D,1,156,2771,2927,,,0.005767345883829817,0.0107849011384062,28.70498490333557,"[""D"", ""D""]"
19,aqua_rat_test_18,8,2,2,True,D,D,1,188,2005,2193,,,0.003957838022202658,0.005991611743559,25.78089737892151,"[""D"", ""D""]"
20,aqua_rat_test_19,8,2,2,True,C,C,1,111,2124,2235,,,0.004318944627963279,0.008028759736369,22.698647499084473,"[""C"", ""C""]"
21,aqua_rat_test_20,8,2,2,True,C,E,0,127,42207,42334,,,0.06702357978697987,0.1232474535650089,694.6661307811737,"[""E""]"
22,aqua_rat_test_21,8,2,2,True,A,A,1,146,8208,8354,,,0.015083067634289862,0.029239065308568,89.61383938789368,"[""A"", ""A""]"
23,aqua_rat_test_22,8,2,2,True,E,E,1,147,8493,8640,,,0.01600174815362819,0.031276213301378,90.0014431476593,"[""E"", ""E""]"
24,aqua_rat_test_23,8,2,2,True,A,A,1,149,3901,4050,,,0.007470773145084986,0.0141402037147992,42.41968894004822,"[""A"", ""A""]"
25,aqua_rat_test_24,8,2,2,True,D,D,1,142,3247,3389,,,0.00662685958070249,0.0125224685440383,33.486621141433716,"[""D"", ""D""]"
26,aqua_rat_test_25,8,2,2,True,D,D,1,128,1561,1689,,,0.003532620870704922,0.0064709406830437,15.85276985168457,"[""D"", ""D""]"
27,aqua_rat_test_26,8,2,2,True,C,C,1,114,1433,1547,,,0.0031267665376144547,0.0057519472738166,14.8707275390625,"[""C"", ""C""]"
28,aqua_rat_test_27,8,2,2,True,A,A,1,141,1840,1981,,,0.0038985541821995847,0.0071300179748352,19.80913472175598,"[""A"", ""A""]"
29,aqua_rat_test_28,8,2,2,True,B,B,1,132,3402,3534,,,0.006506061691913282,0.0122828040742959,37.170379877090454,"[""B"", ""B""]"
30,aqua_rat_test_29,8,2,2,True,A,A,1,117,2443,2560,,,0.004502838882707019,0.0079089275014978,29.048589944839478,"[""A"", ""A""]"
31,aqua_rat_test_30,8,2,2,True,B,B,1,126,2002,2128,,,0.004001254877187919,0.0071899340922708,22.395472288131714,"[""B"", ""B""]"
32,aqua_rat_test_31,8,2,2,True,A,A,1,146,1228,1374,,,0.002860924502887795,0.0050329538645895,12.944380760192871,"[""A"", ""A""]"
33,aqua_rat_test_32,8,2,2,True,B,B,1,136,31904,32040,,,0.053295486394373336,0.1003594967046135,393.1668701171875,"[""B"", ""B""]"
34,aqua_rat_test_33,8,2,2,True,B,B,1,138,1528,1666,,,0.003426685529991803,0.0061713600958658,15.870010614395142,"[""B"", ""B""]"
35,aqua_rat_test_34,8,2,2,True,B,B,1,148,2838,2986,,,0.0052332299997394464,0.0089874176153385,34.267234086990356,"[""B"", ""B""]"
36,aqua_rat_test_35,8,2,2,True,A,A,1,123,1595,1718,,,0.0034708808390274785,0.0063511084481725,16.665070056915283,"[""A"", ""A""]"
37,aqua_rat_test_36,8,2,2,True,D,D,1,149,2605,2754,,,0.005019532011320924,0.0089874176153385,29.702138900756836,"[""D"", ""D""]"
38,aqua_rat_test_37,8,2,2,True,A,A,1,132,3996,4128,,,0.00794320304514851,0.0152786099460755,41.40102219581604,"[""A"", ""A""]"
39,aqua_rat_test_38,8,2,2,True,D,D,1,137,2029,2166,,,0.004223781433098147,0.0077291791491911,21.710869073867798,"[""D"", ""D""]"
40,aqua_rat_test_39,8,2,2,True,A,A,1,131,4118,4249,,,0.007755504709514013,0.0146794487717195,45.020262718200684,"[""A"", ""A""]"
41,aqua_rat_test_40,8,2,2,True,A,A,1,135,5276,5411,,,0.009205707942806325,0.0165967645296585,63.09981656074524,"[""A"", ""A""]"
42,aqua_rat_test_41,8,2,2,True,A,A,1,150,11836,11986,,,0.020271640103097927,0.0379868184541641,140.06726384162903,"[""A"", ""A""]"
43,aqua_rat_test_42,8,2,2,True,C,C,1,94,1741,1835,,,0.003239742240205528,0.0053924505692031,21.664377450942993,"[""C"", ""C""]"
44,aqua_rat_test_43,8,2,2,True,A,A,1,132,2732,2864,,,0.005665603946232276,0.0107249850209706,28.065871238708496,"[""A"", ""A""]"
45,aqua_rat_test_44,8,2,2,True,B,B,1,134,2010,2144,,,0.004220504955301618,0.0078490113840623,21.27377200126648,"[""B"", ""B""]"
46,aqua_rat_test_45,8,2,2,True,B,B,1,128,3241,3369,,,0.006402895595289354,0.0121030557219892,34.49302840232849,"[""B"", ""B""]"
47,aqua_rat_test_46,8,2,2,True,E,E,1,137,2061,2198,,,0.004093160360478218,0.0073696824445775,23.3781418800354,"[""E"", ""E""]"
48,aqua_rat_test_47,8,2,2,True,A,A,1,153,2566,2719,,,0.005024429886556563,0.0091072498502097,29.011664867401123,"[""A"", ""A""]"
49,aqua_rat_test_48,8,2,2,True,D,D,1,114,12611,12725,,,0.02230008259412039,0.043259436788496,142.16912269592285,"[""D"", ""D""]"
50,aqua_rat_test_49,8,2,2,True,B,B,1,120,2168,2288,,,0.004597359317393558,0.0086279209107249,22.04985284805298,"[""B"", ""B""]"
51,aqua_rat_test_50,8,2,2,True,C,C,1,126,2213,2339,,,0.0045211788242223135,0.0083882564409826,23.577796697616577,"[""C"", ""C""]"
52,aqua_rat_test_51,8,2,2,True,C,C,1,132,2116,2248,,,0.004255078265751455,0.0077890952666267,23.170032024383545,"[""C"", ""C""]"
53,aqua_rat_test_52,8,2,2,True,B,B,1,108,2199,2307,,,0.004135506587074342,0.0073696824445775,25.740504264831543,"[""B"", ""B""]"
54,aqua_rat_test_53,8,2,2,True,A,A,1,107,1263,1370,,,0.0027088483050136253,0.0048532055122828,13.739559888839722,"[""A"", ""A""]"
