iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,2,2,33,33,1,189,6337,4830,1503,6526,"[""33"", ""33""]",0.014482674201483274,0.026003138309796,61.28499627113342
2,index_1,2,2,23,23,1,221,10996,9995,997,11217,"[""23"", ""23""]",0.02337562823573198,0.039602480759172,119.09487318992615
3,index_2,2,2,116,116,1,167,5246,4116,1126,5413,"[""116"", ""116""]",0.013037823689347217,0.0245087050736008,47.11262512207031
4,index_3,2,2,809,809,1,140,16639,15724,911,16779,"[""809"", ""809""]",0.033153503955151514,0.0561906896809385,225.1084623336792
5,index_4,2,2,197,1029,0,136,32379,31372,1003,32515,"[""205"", ""1029""]",0.06797209000591785,0.1282223716655458,388.84178495407104
6,index_5,2,2,385,16,0,123,24566,23274,1288,24689,"[""24"", ""16""]",0.05432686033132275,0.1061047597698572,265.3148663043976
7,index_6,2,2,371,38,0,118,28062,27166,892,28180,"[""39"", ""38""]",0.06097045867037592,0.1183591123066577,311.2536156177521
8,index_7,2,2,601,401,0,114,17721,44540,885,17835,"[""601"", ""401""]",0.05897441166697336,0.1299409698871703,770.8216557502747
9,index_8,2,2,25,25,1,92,6510,5883,623,6602,"[""25"", ""25""]",0.013332402345460346,0.0237614884555033,85.14726066589355
10,index_9,2,2,55,55,1,103,5419,4696,719,5522,"[""55"", ""55""]",0.012382953616472955,0.0233131584846446,51.42437505722046
11,index_10,2,2,540,540,1,91,5977,5426,547,6068,"[""540"", ""540""]",0.013954270342972381,0.0268997982515131,54.03848052024841
12,index_11,2,2,45,45,1,181,13736,12322,1410,13917,"[""45"", ""45""]",0.02912084886971394,0.0524546065904505,144.6594717502594
13,index_12,2,2,204,204,1,176,4367,3330,1033,4543,"[""204"", ""204""]",0.011117947348255365,0.0204737353358738,39.56895923614502
14,index_13,2,2,699,699,1,113,19019,17480,1535,19132,"[""629"", ""699""]",0.037973916553976236,0.0618695359784802,242.4628050327301
15,index_14,2,2,294,294,1,96,10895,10096,795,10991,"[""294"", ""294""]",0.022223385037708553,0.0379586041993573,118.29150390625
16,index_15,2,2,110,134,0,107,23779,22888,887,23886,"[""134"", ""134""]",0.05231225793445059,0.1020697900321303,255.5852997303009
17,index_16,2,2,721,721,1,140,35421,34166,1251,35561,"[""721"", ""721""]",0.07868350806300287,0.1545243966225808,400.3110945224762
18,index_17,2,2,315,144,0,95,30231,29145,1082,30326,"[""28"", ""144""]",0.06828281192207572,0.1349473212284241,326.75211787223816
19,index_18,2,2,468,156,0,95,37268,35780,1484,37363,"[""468"", ""156""]",0.07277008035927467,0.1230665770006724,565.8156099319458
20,index_19,2,2,902,25,0,142,26826,25983,839,26968,"[""1024"", ""25""]",0.05741442497509854,0.1096913995367256,309.0737609863281
21,index_20,2,2,211,2311,0,165,48437,47994,439,48602,"[""121"", ""2311""]",0.10523007695232725,0.2048867966823582,579.9023351669312
22,index_21,2,2,80,80,1,104,23342,22593,745,23446,"[""80"", ""80""]",0.051101322701821786,0.0995292535305985,249.4222972393036
23,index_22,2,2,480,480,1,126,20204,19319,881,20330,"[""960"", ""480""]",0.04080122381028851,0.0697900321303145,253.61666226387024
24,index_23,2,2,236,236,1,113,12697,12025,668,12810,"[""236"", ""236""]",0.02762673921422945,0.05260404991407,126.33749413490295
25,index_24,2,2,73,73,1,154,14843,13855,984,14997,"[""73"", ""73""]",0.031194725284759063,0.0564895763281775,161.75839352607727
26,index_25,2,2,113,33,0,397,17837,17309,524,18234,"[""113"", ""33""]",0.043522131080383046,0.0832399312560711,169.44660830497742
27,index_26,2,2,127,26,0,203,37138,36483,651,37341,"[""11"", ""26""]",0.08356772780035962,0.1640140476724202,415.28343892097473
28,index_27,2,2,104,104,1,194,14688,13703,981,14882,"[""47"", ""104""]",0.029763272932504543,0.0513337816633041,203.4677448272705
29,index_28,2,2,104,104,1,119,18649,17750,895,18768,"[""104"", ""104""]",0.03760543370766709,0.0638122991855338,227.58527445793152
30,index_29,2,2,321,321,1,104,9181,7911,1266,9285,"[""321"", ""321""]",0.019166996897355466,0.0339236344616303,97.0208990573883
