iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,8,8,0,0.98,fixed,33,33,1,194,41944,42138,"[""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33""]",46,0.06616688669699688,0.1257180469123983,140.13766193389893
2,index_1,8,8,0,0.98,fixed,23,23,1,226,79629,79855,"[""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23""]",89,0.10753853104128118,0.2096098611775969,328.8912103176117
3,index_2,8,8,0,0.98,fixed,116,116,1,172,35965,36137,"[""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116""]",41,0.05400601511764509,0.1054930588798468,126.88708591461182
4,index_3,8,3,0,0.98,fixed,809,809,1,145,48493,48638,"[""809"", ""809"", ""809""]",53,0.08393436078831694,0.1653303015797032,148.02621269226074
5,index_4,8,8,0,0.98,fixed,197,541,0,106031,220462,326493,"[""3371"", ""3371"", ""254"", ""541"", ""69"", ""641"", ""2033"", ""541""]",259,0.3739590789417133,0.7181067496409765,800.7959580421448
6,index_5,8,8,0,0.98,fixed,385,24,0,128,157117,157245,"[""24"", ""24"", ""24"", ""24"", ""24"", ""24"", ""24"", ""24""]",178,0.2663323156766403,0.472474868358066,545.0945448875427
7,index_6,8,1,0,0.98,fixed,371,419,0,123,71682,71805,"[""419""]",63,0.0714453152308064,0.1560555289612254,609.8036515712738
8,index_7,8,8,0,0.98,fixed,601,601,1,119,141441,141560,"[""601"", ""601"", ""601"", ""601"", ""601"", ""601"", ""601"", ""601""]",158,0.23971849571278156,0.4369913834370512,484.56764459609985
9,index_8,8,8,0,0.98,fixed,25,25,1,97,53399,53496,"[""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25""]",62,0.07288631923624739,0.1429511728099569,214.67128229141235
10,index_9,8,8,0,0.98,fixed,55,55,1,108,42586,42694,"[""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55""]",49,0.06766216013730163,0.138283867879368,141.78294396400452
11,index_10,8,8,0,0.98,fixed,540,540,1,96,44109,44205,"[""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540""]",52,0.06073138271335414,0.1305648635710866,173.64789056777954
12,index_11,8,8,0,0.98,fixed,45,45,1,186,69372,69558,"[""45"", ""45"", ""45"", ""45"", ""45"", ""45"", ""45"", ""45""]",71,0.10080416630496336,0.2199617041646721,258.25714588165283
13,index_12,8,8,0,0.98,fixed,204,204,1,181,27293,27474,"[""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204""]",32,0.04078900463527554,0.084968884633796,96.42325019836426
14,index_13,8,8,0,0.98,fixed,699,699,1,118,149282,149400,"[""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""629"", ""699""]",170,0.20700277719417853,0.4205959789372906,637.2957329750061
15,index_14,8,8,0,0.98,fixed,294,294,1,101,53304,53405,"[""294"", ""294"", ""294"", ""294"", ""294"", ""294"", ""294"", ""294""]",58,0.08045693837761286,0.1684418382000957,190.68055415153503
16,index_15,8,8,0,0.98,fixed,110,110,1,112,94504,94616,"[""110"", ""134"", ""110"", ""110"", ""134"", ""110"", ""155"", ""134""]",118,0.13551802458326553,0.2286979415988511,391.5774350166321
17,index_16,8,8,0,0.98,fixed,721,721,1,145,77824,77969,"[""721"", ""721"", ""721"", ""721"", ""721"", ""721"", ""721"", ""721""]",84,0.10613686552341249,0.2308520823360459,321.0817868709564
