iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,8,8,0,0.95,fixed,33,33,1,194,41124,41318,"[""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33""]",40,0.06610283810014304,0.1232486483343991,132.3522891998291
2,index_1,8,2,0,0.95,fixed,23,23,1,226,65997,66223,"[""23"", ""23""]",70,0.0771987921342234,0.1888262310330795,369.44841957092285
3,index_2,8,4,0,0.95,fixed,116,116,1,172,29420,29592,"[""116"", ""116"", ""116"", ""116""]",27,0.04115381337635853,0.0934829370385442,111.04570388793945
4,index_3,8,2,0,0.95,fixed,809,809,1,145,46065,46210,"[""809"", ""809""]",43,0.056878207382672456,0.1492936457182722,206.5084536075592
5,index_4,8,1,0,0.95,fixed,197,541,0,141,55120,55261,"[""541""]",32,0.0600194355338049,0.1066798441951049,770.7830259799957
6,index_5,8,1,0,0.95,fixed,385,16,0,128,66936,67064,"[""16""]",42,0.06790009164814777,0.1465031102842857,816.6011979579926
7,index_6,8,1,0,0.95,fixed,371,369,0,123,48987,49110,"[""369""]",32,0.04948549396053204,0.1106912388814603,558.3472511768341
8,index_7,8,1,0,0.95,fixed,601,49,0,119,81370,81489,"[""49""]",60,0.07995267108120248,0.1888262310330795,922.1424295902252
9,index_8,8,8,0,0.95,fixed,25,25,1,97,55657,55754,"[""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25""]",63,0.08493475590801393,0.1399918609383175,197.83382153511047
10,index_9,8,2,0,0.95,fixed,55,55,1,108,38269,38377,"[""55"", ""55""]",40,0.05772255738856508,0.1278995407243764,127.61450839042664
11,index_10,8,5,0,0.95,fixed,540,540,1,96,38519,38615,"[""540"", ""540"", ""540"", ""540"", ""540""]",39,0.05963184046587853,0.1097610604034649,125.28099083900452
12,index_11,8,1,0,0.95,fixed,45,45,1,186,48936,49122,"[""45""]",55,0.06406986089745514,0.1469681995232835,210.85600447654724
13,index_12,8,8,0,0.95,fixed,204,204,1,181,24670,24851,"[""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204""]",25,0.04153244468589947,0.0762746351956281,78.94181871414185
14,index_13,8,1,0,0.95,fixed,699,699,1,118,85275,85393,"[""699""]",90,0.11721755151133559,0.2776582756816463,370.9229326248169
15,index_14,8,1,0,0.95,fixed,294,294,1,101,32929,33030,"[""294""]",36,0.0443193096643477,0.106040346491483,124.63994145393372
16,index_15,8,3,0,0.95,fixed,110,110,1,112,94072,94184,"[""110"", ""110"", ""110""]",93,0.0922972644455503,0.2226033370152897,817.2143540382385
17,index_16,8,8,0,0.95,fixed,721,721,1,145,90517,90662,"[""721"", ""721"", ""721"", ""721"", ""721"", ""721"", ""721"", ""721""]",100,0.11728480470802621,0.2344631126097319,467.7264783382416
18,index_17,8,1,0,0.95,fixed,315,24,0,100,62154,62254,"[""24""]",36,0.06613752162763378,0.1223184698564037,853.2322099208832
19,index_18,8,2,0,0.95,fixed,468,468,1,100,37979,38079,"[""468"", ""468""]",39,0.052665043899676904,0.1167373989884309,142.2354018688202
20,index_19,8,1,0,0.95,fixed,902,1023,0,147,60602,60749,"[""1023""]",48,0.059498593034876215,0.1637114121272018,518.3869025707245
21,index_20,8,7,0,0.95,fixed,211,211,1,170,200127,200297,"[""211"", ""211"", ""211"", ""211"", ""211"", ""211"", ""211""]",100,0.2487053332015038,0.5867682111505146,1105.7479619979858
22,index_21,8,1,0,0.95,fixed,80,120,0,109,55679,55788,"[""120""]",32,0.06164664644006753,0.111388872739957,824.7222936153412
23,index_22,8,2,0,0.95,fixed,480,480,1,131,67646,67777,"[""480"", ""480""]",64,0.07952521116041986,0.2111505145049707,364.0773437023163
24,index_23,8,1,0,0.95,fixed,236,236,1,118,93318,93436,"[""236""]",71,0.09472453301015589,0.1865007848380908,1075.7295744419098
25,index_24,8,2,0,0.95,fixed,73,73,1,159,33595,33754,"[""73"", ""73""]",38,0.0478852799719709,0.0962734724725307,125.31710767745972
26,index_25,8,1,0,0.95,fixed,113,113,1,402,50182,50584,"[""113""]",43,0.05196237962288738,0.1241788268123946,502.020884513855
27,index_26,8,1,0,0.95,fixed,127,127,1,208,44491,44699,"[""127""]",40,0.04666541989499275,0.1302249869193651,304.7929530143738
28,index_27,8,2,0,0.95,fixed,104,104,1,199,74104,74303,"[""104"", ""104""]",46,0.07734606403116871,0.1539445381082494,985.6131513118744
29,index_28,8,1,0,0.95,fixed,104,104,1,124,45651,45775,"[""104""]",44,0.051510878492500974,0.1404569501773153,246.4143705368042
30,index_29,8,1,0,0.95,fixed,321,321,1,109,37890,37999,"[""321""]",45,0.042124748138523335,0.0981338294285215,207.56246995925903
