iteration,question_id,n_chains_max,window_size,n_chains_generated,stopped_early,correct_answer,final_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,total_reasoning_tokens,total_non_reasoning_tokens,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec,individual_answers_str
1,index_0,16,2,2,True,C,C,1,153,11839,11992,,,0.019123396810069276,0.0302178075634275,160.75154757499695,"[""C"", ""C""]"
2,index_1,16,2,6,True,D,C,0,160,78114,78274,,,0.04427966472767397,0.1000478697941599,961.8765368461609,"[""D"", ""C"", ""D"", ""B"", ""C"", ""C""]"
3,index_2,16,2,2,True,C,C,1,184,6374,6558,,,0.011363233583172844,0.0209430349449497,74.16143131256104,"[""C"", ""C""]"
4,index_3,16,2,2,True,B,D,0,158,9677,9835,,,0.015824922037931472,0.0282431785543322,146.96974420547485,"[""D"", ""D""]"
5,index_4,16,2,2,True,C,C,1,390,7201,7591,,,0.013870794877391955,0.0256701771182383,80.9034652709961,"[""C"", ""C""]"
6,index_5,16,2,2,True,C,C,1,204,21726,21930,,,0.037786069641971155,0.0737793202489229,399.59363293647766,"[""C"", ""C""]"
7,index_6,16,2,2,True,C,C,1,196,5516,5712,,,0.010511395486197065,0.0199856390617519,59.93152832984924,"[""C"", ""C""]"
8,index_7,16,2,2,True,D,D,1,476,14461,14937,,,0.026818079558582942,0.0508616562948779,165.04223942756653,"[""D"", ""D""]"
9,index_8,16,2,2,True,A,D,0,267,10816,11083,,,0.019193512557759945,0.035842508377214,126.31731367111206,"[""D"", ""D""]"
10,index_9,16,2,2,True,C,C,1,153,8748,8901,,,0.016550391031947137,0.0323121110579224,92.6362202167511,"[""C"", ""C""]"
11,index_10,16,2,2,True,A,A,1,404,7540,7944,,,0.01563240083915896,0.0296792723791288,78.03017926216125,"[""A"", ""A""]"
12,index_11,16,2,2,True,D,D,1,179,10133,10312,,,0.018927133812777594,0.0369794159885112,109.29503846168518,"[""D"", ""D""]"
13,index_12,16,2,4,True,A,B,0,345,39566,39911,,,0.03612657894038239,0.0712063188128291,447.0951406955719,"[""B"", ""A"", ""B"", ""B""]"
14,index_13,16,2,2,True,D,A,0,153,4741,4894,,,0.008675729871359264,0.0161560555289612,53.904335737228394,"[""A"", ""A""]"
15,index_14,16,2,2,True,C,C,1,307,4912,5219,,,0.010208760115411124,0.019147917663954,51.59137439727783,"[""C"", ""C""]"
16,index_15,16,2,2,True,B,D,0,226,22104,22330,,,0.038894434112897086,0.0753350885591191,256.3095407485962,"[""D"", ""D""]"
17,index_16,16,2,2,True,C,C,1,163,4561,4724,,,0.009127415330947722,0.0175323121110578,47.07390832901001,"[""C"", ""C""]"
18,index_17,16,2,2,True,B,A,0,250,8830,9080,,,0.01633006198218722,0.0311153662039253,98.36677479743958,"[""A"", ""A""]"
19,index_18,16,2,2,True,A,B,0,548,16216,16764,,,0.03148836712682298,0.0606749640976543,176.1867380142212,"[""B"", ""B""]"
20,index_19,16,2,2,True,A,A,1,203,1818,2021,,,0.0038837650814736156,0.006641933939684,21.029146194458008,"[""A"", ""A""]"
21,index_20,16,2,2,True,B,B,1,282,11158,11440,,,0.01981353423426274,0.0369794159885112,130.3951392173767,"[""B"", ""B""]"
