iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,aqua_rat_test_0,8,8,0,0.98,fixed,A,A,1,173,20544,20717,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",12,0.04380773518001072,0.0818949413434955,56.46652126312256
2,aqua_rat_test_1,8,8,0,0.98,fixed,E,E,1,153,20820,20973,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",28,0.034260241249041,0.0653814540835387,87.39631605148315
3,aqua_rat_test_2,8,8,0,0.98,fixed,A,A,1,95,15389,15484,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",16,0.02865084209325855,0.0511096166778749,48.84598183631897
4,aqua_rat_test_3,8,8,0,0.98,fixed,B,B,1,141,11851,11992,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",9,0.029530820102745353,0.0523051632668311,29.01064395904541
5,aqua_rat_test_4,8,8,0,0.98,fixed,B,B,1,106,5215,5321,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",4,0.014648198081518734,0.0251064783680788,12.547783613204956
6,aqua_rat_test_5,8,8,0,0.98,fixed,D,D,1,164,10105,10269,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",10,0.025395046775369034,0.0412463573189867,26.423932552337646
7,aqua_rat_test_6,8,8,0,0.98,fixed,D,D,1,122,12584,12706,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",13,0.027473708704213767,0.0452813270567137,35.66694617271423
8,aqua_rat_test_7,8,8,0,0.98,fixed,C,C,1,137,7482,7619,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",6,0.018894890683639424,0.0340730777852499,20.17109990119934
9,aqua_rat_test_8,8,8,0,0.98,fixed,E,E,1,128,17741,17869,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",16,0.038915718030293305,0.0633639692146753,48.158347845077515
10,aqua_rat_test_9,8,8,0,0.98,fixed,D,D,1,115,6016,6131,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",5,0.01576283997205589,0.0298886647239035,15.618733167648315
11,aqua_rat_test_10,8,8,0,0.98,fixed,B,C,0,158,33585,33743,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",26,0.06274022349046611,0.1189568856011358,104.91818833351135
12,aqua_rat_test_11,8,8,0,0.98,fixed,A,A,1,146,8717,8863,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",11,0.020079725032506962,0.0376597175521183,25.564587593078613
13,aqua_rat_test_12,8,8,0,0.98,fixed,C,C,1,118,14012,14130,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",10,0.027892503158852198,0.0502129567361577,42.858238697052
14,aqua_rat_test_13,8,8,0,0.98,fixed,D,D,1,81,3512,3593,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",6,0.008998291708214451,0.0141223940820444,10.018523454666138
15,aqua_rat_test_14,8,8,0,0.98,fixed,C,C,1,99,4965,5064,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",8,0.010786079714697925,0.017933198834342,16.242804527282715
16,aqua_rat_test_15,8,8,0,0.98,fixed,A,A,1,109,5442,5551,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",5,0.012419285038232534,0.0245087050736008,16.33368945121765
17,aqua_rat_test_16,8,8,0,0.98,fixed,A,A,1,143,28551,28694,"[""A"", ""E"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",18,0.0409896136890084,0.0950459538220129,125.98657941818237
18,aqua_rat_test_17,8,8,0,0.98,fixed,D,D,1,151,8262,8413,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",6,0.020302066514086264,0.0412463573189867,22.40315270423889
19,aqua_rat_test_18,8,8,0,0.98,fixed,D,D,1,183,6479,6662,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",5,0.018508463759381498,0.0350444593887767,16.983801126480103
20,aqua_rat_test_19,8,8,0,0.98,fixed,C,C,1,106,9137,9243,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",6,0.020690642242343245,0.0406485840245086,24.88368821144104
21,aqua_rat_test_20,8,1,0,0.98,fixed,C,E,0,122,26393,26515,"[""E""]",22,0.0363914372993195,0.0992303668833595,124.1383855342865
22,aqua_rat_test_21,8,8,0,0.98,fixed,A,A,1,141,30070,30211,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",26,0.05190751826440059,0.0938504072330568,105.30160975456238
23,aqua_rat_test_22,8,8,0,0.98,fixed,E,E,1,142,24808,24950,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",20,0.044347530962628084,0.0932526339385787,81.9289882183075
24,aqua_rat_test_23,8,8,0,0.98,fixed,A,A,1,144,13837,13981,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",10,0.03316250312568205,0.0615706493312411,35.16602158546448
25,aqua_rat_test_24,8,8,0,0.98,fixed,D,D,1,137,6413,6550,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",8,0.015396794406274363,0.0280953448404692,18.890417098999023
26,aqua_rat_test_25,8,8,0,0.98,fixed,D,D,1,123,6202,6325,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",7,0.0154183409058997,0.0245834267354105,17.298387050628662
27,aqua_rat_test_26,8,8,0,0.98,fixed,C,C,1,109,5562,5671,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",5,0.014702367899646318,0.0268997982515131,14.25234842300415
28,aqua_rat_test_27,8,8,0,0.98,fixed,A,A,1,136,8748,8884,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",10,0.01997452445441829,0.0364641709631622,25.23027515411377
29,aqua_rat_test_28,8,8,0,0.98,fixed,B,B,1,127,6612,6739,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",6,0.015345483576323649,0.0280953448404692,19.334956884384155
30,aqua_rat_test_29,8,8,0,0.98,fixed,A,A,1,112,5434,5546,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",10,0.012859130987073102,0.0214451169394007,16.337947607040405
31,aqua_rat_test_30,8,8,0,0.98,fixed,B,B,1,121,6180,6301,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",5,0.01695893353444566,0.0292908914294254,15.11872673034668
32,aqua_rat_test_31,8,8,0,0.98,fixed,A,A,1,141,6447,6588,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",7,0.014293061603671636,0.0294403347530448,20.754884243011475
33,aqua_rat_test_32,8,1,0,0.98,fixed,B,A,0,131,33613,33744,"[""A""]",30,0.046865370296734536,0.1195546588956137,157.93036770820618
34,aqua_rat_test_33,8,8,0,0.98,fixed,B,B,1,133,5891,6024,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",7,0.016617729672094492,0.0257042516625569,14.742278575897217
35,aqua_rat_test_34,8,8,0,0.98,fixed,B,B,1,143,12533,12676,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",14,0.017764070255591798,0.0316819846073376,91.71656799316406
36,aqua_rat_test_35,8,8,0,0.98,fixed,A,A,1,118,5662,5780,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",6,0.01390449607470233,0.0235373234700739,16.135504484176636
37,aqua_rat_test_36,8,8,0,0.98,fixed,D,D,1,144,8319,8463,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",9,0.019967213551641987,0.0370619442576403,22.847800254821777
38,aqua_rat_test_37,8,8,0,0.98,fixed,A,A,1,127,10653,10780,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",7,0.026741869502036733,0.0466263169692894,26.196561813354492
39,aqua_rat_test_38,8,8,0,0.98,fixed,D,D,1,132,6617,6749,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",7,0.017601507555088956,0.0304864380183815,17.28494358062744
40,aqua_rat_test_39,8,8,0,0.98,fixed,A,A,1,126,17174,17300,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",13,0.033412021086676714,0.0648584024508704,52.21844148635864
41,aqua_rat_test_40,8,8,0,0.98,fixed,A,A,1,130,18638,18768,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",19,0.03410952229700215,0.0633639692146753,62.59940242767334
