iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,8,8,103,103,1,79,39296,35559,3721,39375,"[""103"", ""103"", ""103"", ""103"", ""103"", ""103"", ""103"", ""103""]",0.0673015311830901,0.1399536725696779,128.8729019165039
2,index_1,8,8,3375,3375,1,148,16137,13204,2917,16285,"[""3375"", ""3375"", ""3375"", ""3375"", ""3375"", ""3375"", ""3375"", ""3375""]",0.03963772492429722,0.0717327953373683,38.97692632675171
3,index_2,8,8,\frac{1}{576},4096,0,167,167672,163928,3728,167839,"[""2^{\\sqrt{22 + 20 \\log_2 3}}"", ""72"", ""160"", ""4096"", ""576"", ""24^{2\\sqrt{\\log 2}}"", ""2^{\\sqrt{33 + 30 \\log_2 3}}"", ""7776""]",0.32977712446191393,0.5308974071583352,734.7083652019501
4,index_3,8,8,-984,-984,1,118,111270,107622,3632,111388,"[""3063"", ""-984"", ""3063"", ""-984"", ""3068"", ""-984"", ""-984"", ""-990""]",0.18793987598753278,0.3622506164537099,512.0599892139435
5,index_4,8,8,890,890,1,138,55747,51466,4265,55885,"[""890"", ""890"", ""890"", ""890"", ""890"", ""890"", ""890"", ""890""]",0.1150540015493001,0.1924830008219382,164.44543480873108
6,index_5,8,8,\frac{1311}{2017},\dfrac{1311}{2017},1,108,81699,76221,5462,81807,"[""\\dfrac{1311}{2017}"", ""\\dfrac{1}{2025}"", ""\\dfrac{1311}{2017}"", ""\\dfrac{1311}{2017}"", ""0"", ""\\dfrac{1311}{2017}"", ""\\dfrac{2025! - 1}{2025!}"", ""\\dfrac{706}{2017}""]",0.1595073511781044,0.2606291563924382,283.0740406513214
7,index_6,8,8,\frac{9 \sqrt{23}}{23},\dfrac{15}{8},0,138,142689,139091,3581,142827,"[""\\dfrac{15}{8}"", ""2"", ""\\dfrac{15}{8}"", ""\\dfrac{9\\sqrt{23}}{23}"", ""\\dfrac{\\sqrt{13}}{2}"", ""2"", ""\\sqrt{\\dfrac{3 + \\sqrt{15}}{2}}"", ""\\dfrac{15}{8}""]",0.27433818358944134,0.4383172681760442,557.8650226593018
8,index_7,8,8,1-\frac{2}{\pi},\dfrac{\sqrt{3} - 1}{2},0,151,136666,133335,3315,136817,"[""\\dfrac{1}{4}"", ""\\dfrac{\\sqrt{3} - 1}{2}"", ""\\frac{\\sqrt{3} - 1}{2}"", ""2 - \\sqrt{3}"", ""\\dfrac{4}{11}"", ""1 - \\dfrac{2}{\\pi}"", ""-\\frac{1}{\\sqrt{2}}"", ""\\dfrac{1}{2 \\ln 2}""]",0.25823383945503464,0.4581932302174401,505.22087812423706
9,index_8,8,8,1037,1037,1,238,111559,108151,3392,111797,"[""1035"", ""0"", ""1037"", ""1982"", ""1037"", ""1007"", ""1020"", ""1037""]",0.21613866795452008,0.4184413061346484,397.5537292957306
10,index_9,8,8,"\frac{-1+\sqrt{17}}{2}, \frac{-1-\sqrt{17}}{2}",-4,0,141,143223,140422,2785,143364,"[""-4"", ""-3"", ""-6"", ""-4"", ""9"", ""-5"", ""-3"", ""-5""]",0.24848838968597292,0.488530224912202,582.0522322654724
11,index_10,8,8,56,8,0,111,93421,90034,3371,93532,"[""8"", ""72"", ""4"", ""8"", ""7"", ""8"", ""8"", ""8""]",0.17865381857714385,0.3269072704176941,314.4545147418976
12,index_11,8,8,29,16,0,142,87959,85235,2708,88101,"[""16"", ""12"", ""16"", ""16"", ""16"", ""16"", ""16"", ""34""]",0.16810530534926266,0.3083762982888739,297.1419458389282
13,index_12,8,8,105,1,0,149,101896,99667,2213,102045,"[""1"", ""90"", ""1"", ""14"", ""1"", ""1"", ""90"", ""1""]",0.19864304766196747,0.3514906971531046,356.9192953109741
