token,frequency,mean_entropy,std_dev_entropy
共同,1,3.24886584070354,0.0
大量的,1,3.2442245470702273,0.0
Linear,1,3.2060385034034744,0.0
实际上是,1,3.184703036445733,0.0
 plot,1,3.167727125252557,0.0
复杂的,1,3.1354617076982167,0.0
看看,2,3.1252885847730605,0.017437468862257832
 Usually,1,3.1241273985327243,0.0
 notice,1,3.1184664294378908,0.0
 stagger,1,3.115523110563835,0.0
不可能,1,3.094737394328416,0.0
 �,1,3.0943189454861164,0.0
Top,1,3.091023481349076,0.0
cover,2,3.086214200869667,0.0027348163984841634
because,1,3.0798485652572465,0.0
 theoretically,1,3.0783311257948314,0.0
像,1,3.075221986518252,0.0
都没,1,3.0655373750914277,0.0
 discrepancies,2,3.0558044914186056,0.050756198087338555
 online,1,3.0446967596918757,0.0
无论,1,3.0430046016781453,0.0
 assumes,1,3.037628711432058,0.0
不是,1,3.0226274084301368,0.0
沿着,1,3.018922132837392,0.0
Of,1,3.0184609752613003,0.0
 thus,1,3.009962673586774,0.0
看来,2,2.994700496834392,0.20150449222756772
不影响,1,2.990656826809688,0.0
 universal,1,2.9869205609949048,0.0
 dipping,1,2.98524450842869,0.0
",f",1,2.98274798355284,0.0
 Perhaps,1,2.9697133647477956,0.0
Even,1,2.9626370378776063,0.0
地方,1,2.9585749090167273,0.0
 Moreover,1,2.95768966389533,0.0
似乎,1,2.947235526032469,0.0
 adjustments,1,2.94512612223476,0.0
 purely,1,2.941849281206509,0.0
 dip,1,2.9347427445337853,0.0
…,1,2.9259664941536636,0.0
List,2,2.921065210897087,0.15076319985631859
不用,1,2.9177444537987345,0.0
 balanced,1,2.9094200676393505,0.0
 hang,2,2.907625518990982,0.013895732492424706
Choosing,1,2.9059087464996347,0.0
 cap,1,2.903966987640049,0.0
承认,1,2.9008443337711776,0.0
 message,1,2.897519321966217,0.0
 potential,1,2.8969482693716087,0.0
 thoroughly,1,2.892475044083138,0.0
 analyzing,1,2.888589618145213,0.0
每,1,2.887856729080813,0.0
寻找,2,2.886781954490173,0.1533393709793731
 inner,1,2.8834841109986766,0.0
 pillars,1,2.88082565922589,0.0
 reconsider,1,2.8805346742803275,0.0
 alternatively,1,2.8777670298379667,0.0
里,1,2.877669497683583,0.0
 sorry,1,2.873287321979536,0.0
foot,1,2.872490140952248,0.0
 plotting,1,2.8720800200503103,0.0
 broke,1,2.8647068000871694,0.0
Min,1,2.853825102268716,0.0
关联,1,2.8469293166215284,0.0
One,1,2.840834694691695,0.0
误解,2,2.8407537139855528,0.06588169341177852
默认,1,2.8389987255546076,0.0
we,1,2.8317731812538156,0.0
标,1,2.8310741595494253,0.0
 Identify,1,2.8302455161980684,0.0
 recalling,3,2.8287713782257384,0.5806284671752968
 isolated,1,2.8224446756904804,0.0
 addressed,1,2.8205538134528823,0.0
 tiled,1,2.81986624557887,0.0
—are,1,2.819557712388137,0.0
Consider,1,2.813094504426953,0.0
 stick,1,2.8127819199889914,0.0
出现在,2,2.8116411865979,0.20584228429376372
看,1,2.8088998941789525,0.0
两种,1,2.806436634690026,0.0
也没,1,2.7996370186332378,0.0
可以通过,2,2.7995355224449545,0.06662251636903949
刚才,2,2.799387257308252,0.027764539745413597
混淆,1,2.7962466928145937,0.0
涉及到,2,2.793089294152608,0.03985797421104631
最后一,1,2.792273207385786,0.0
 Need,3,2.7890000158420882,0.06755133882300877
能,1,2.78428867557765,0.0
搞,4,2.7768340784989713,0.2690446452128645
 Any,2,2.7761789253065645,0.24150510074967269
用户,1,2.772914824433701,0.0
 majority,1,2.7726321468335864,0.0
 analog,1,2.766622440538528,0.0
 qualifies,2,2.7659349216397535,0.35776904287369304
 merge,1,2.7649203632821817,0.0
coeff,2,2.7614662143591353,0.007310171547878275
Similar,1,2.760923019960243,0.0
只,1,2.7536451935663138,0.0
不妨,1,2.745409331238509,0.0
按照,6,2.744946657453698,0.2103813050783749
