iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,aqua_rat_test_0,8,1,0,0.95,fixed,A,A,1,178,8743,8921,"[""A""]",16,0.010578617146364362,0.0177896633916633,63.1329345703125
2,aqua_rat_test_1,8,1,0,0.95,fixed,E,E,1,158,7822,7980,"[""E""]",17,0.010672095589120807,0.0168594849136678,43.48018670082092
3,aqua_rat_test_2,8,3,0,0.95,fixed,A,A,1,100,5803,5903,"[""A"", ""A"", ""A""]",11,0.007427099649816077,0.0133713156211847,34.533262491226196
4,aqua_rat_test_3,8,1,0,0.95,fixed,B,B,1,146,6154,6300,"[""B""]",15,0.008666517491130659,0.0142433579443055,35.601069688797
5,aqua_rat_test_4,8,4,0,0.95,fixed,B,B,1,111,4724,4835,"[""B"", ""B"", ""B"", ""B""]",12,0.00799921759841466,0.0133713156211847,20.36022114753723
6,aqua_rat_test_5,8,1,0,0.95,fixed,D,D,1,169,6061,6230,"[""D""]",15,0.00884643391878299,0.0142433579443055,34.97864818572998
7,aqua_rat_test_6,8,2,0,0.95,fixed,D,D,1,127,5707,5834,"[""D"", ""D""]",14,0.01011487415924785,0.0142433579443055,23.87677240371704
8,aqua_rat_test_7,8,3,0,0.95,fixed,C,C,1,142,4900,5042,"[""C"", ""C"", ""C""]",11,0.009457984786654841,0.0139526771699319,19.390565872192383
9,aqua_rat_test_8,8,1,0,0.95,fixed,E,E,1,133,6360,6493,"[""E""]",15,0.008305019631621348,0.0136619963955584,40.389309883117676
10,aqua_rat_test_9,8,2,0,0.95,fixed,D,D,1,120,5851,5971,"[""D"", ""D""]",14,0.009714785584886735,0.01639439567467,23.75329875946045
11,aqua_rat_test_10,8,1,0,0.95,fixed,B,C,0,163,9107,9270,"[""C""]",16,0.010669542740010007,0.0170920295331666,74.04732847213745
12,aqua_rat_test_11,8,2,0,0.95,fixed,A,A,1,151,7551,7702,"[""A"", ""A""]",15,0.010666753523723194,0.0202313818964013,36.4657666683197
13,aqua_rat_test_12,8,1,0,0.95,fixed,C,C,1,123,6401,6524,"[""C""]",16,0.008645504261114476,0.0136619963955584,38.017812967300415
14,aqua_rat_test_13,8,7,0,0.95,fixed,D,D,1,86,2777,2863,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",4,0.005802915581666448,0.0101738271030753,9.833366632461548
15,aqua_rat_test_14,8,5,0,0.95,fixed,C,C,1,104,3732,3836,"[""C"", ""C"", ""C"", ""C"", ""C""]",10,0.007683764724480894,0.0125574094529388,13.189332008361816
16,aqua_rat_test_15,8,6,0,0.95,fixed,A,A,1,114,3659,3773,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",6,0.007961686141351284,0.0125574094529388,12.569508075714111
17,aqua_rat_test_16,8,1,0,0.95,fixed,A,A,1,148,10862,11010,"[""A""]",15,0.013774546925492272,0.0243590488925062,127.9814829826355
18,aqua_rat_test_17,8,3,0,0.95,fixed,D,D,1,156,5776,5932,"[""D"", ""D"", ""D""]",12,0.009983206757181793,0.0142433579443055,26.41803765296936
19,aqua_rat_test_18,8,5,0,0.95,fixed,D,D,1,188,4550,4738,"[""D"", ""D"", ""D"", ""D"", ""D""]",8,0.010168587671833557,0.0167432126039184,16.31847095489502
20,aqua_rat_test_19,8,3,0,0.95,fixed,C,C,1,111,6782,6893,"[""C"", ""C"", ""C""]",12,0.010441040433656226,0.0160455787454217,29.12723135948181
21,aqua_rat_test_20,8,1,0,0.95,fixed,C,E,0,127,20184,20311,"[""E""]",15,0.02979324155454899,0.0580198825649671,381.7621946334839
22,aqua_rat_test_21,8,1,0,0.95,fixed,A,A,1,146,7767,7913,"[""A""]",16,0.009880622889592015,0.0168594849136678,47.03333258628845
23,aqua_rat_test_22,8,1,0,0.95,fixed,E,E,1,147,7564,7711,"[""E""]",15,0.009100560811970517,0.0142433579443055,63.135740756988525
24,aqua_rat_test_23,8,1,0,0.95,fixed,A,A,1,149,6049,6198,"[""A""]",15,0.008648184413192449,0.0139526771699319,34.39031791687012
25,aqua_rat_test_24,8,1,0,0.95,fixed,D,D,1,142,6176,6318,"[""D""]",15,0.008553262177147808,0.0139526771699319,36.470550537109375
26,aqua_rat_test_25,8,5,0,0.95,fixed,D,D,1,128,4236,4364,"[""D"", ""D"", ""D"", ""D"", ""D""]",8,0.008677417383306532,0.0130806348468112,15.602008581161499
27,aqua_rat_test_26,8,6,0,0.95,fixed,C,C,1,114,5333,5447,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",7,0.008667039350573159,0.0160455787454217,21.719770431518555
28,aqua_rat_test_27,8,5,0,0.95,fixed,A,A,1,141,6030,6171,"[""A"", ""A"", ""A"", ""A"", ""A""]",9,0.010157457308862845,0.0168594849136678,24.74741768836975
29,aqua_rat_test_28,8,3,0,0.95,fixed,B,B,1,132,5458,5590,"[""B"", ""B"", ""B""]",11,0.006909832041300362,0.0136619963955584,37.38187313079834
30,aqua_rat_test_29,8,2,0,0.95,fixed,A,A,1,117,5212,5329,"[""A"", ""A""]",13,0.00834123882370918,0.0136619963955584,23.822938919067383
31,aqua_rat_test_30,8,4,0,0.95,fixed,B,B,1,126,6234,6360,"[""B"", ""B"", ""B"", ""B""]",13,0.009797029750057565,0.0165688041392941,26.902414321899414
32,aqua_rat_test_31,8,4,0,0.95,fixed,A,A,1,146,4866,5012,"[""A"", ""A"", ""A"", ""A""]",10,0.009539214283836098,0.0139526771699319,19.080265760421753
33,aqua_rat_test_32,8,1,0,0.95,fixed,B,B,1,136,20399,20535,"[""B""]",16,0.02994565863043303,0.0581942910295912,380.6761486530304
34,aqua_rat_test_33,8,5,0,0.95,fixed,B,B,1,138,4824,4962,"[""B"", ""B"", ""B"", ""B"", ""B""]",9,0.00987812738007949,0.0154642171966745,16.607092142105103
