iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,2,2,103,103,1,84,10724,9509,1211,10808,"[""103"", ""103""]",0.0191286219727731,0.0374396837393175,110.5683298110962
2,index_1,2,2,3375,3375,1,153,6370,5283,1083,6523,"[""3375"", ""3375""]",0.0113523503262006,0.0210452880646474,72.02151489257812
3,index_2,2,2,\frac{1}{576},576,0,172,41444,40058,1382,41616,"[""576"", ""576""]",0.0643360830946067,0.1087146096157199,707.1769316196442
4,index_3,2,2,-984,-984,1,123,40332,38839,1489,40455,"[""-984"", ""-984""]",0.0615215903562173,0.100517411778385,733.8493654727936
5,index_4,2,2,890,890,1,143,12615,11494,1117,12758,"[""890"", ""890""]",0.0207910000923591,0.0379047729783151,149.5775911808014
6,index_5,2,2,\frac{1311}{2017},\dfrac{1311}{2017},1,113,16716,15210,1502,16829,"[""\\dfrac{1311}{2017}"", ""\\dfrac{1311}{2017}""]",0.030908012082109,0.060926690308703,173.26001906394958
7,index_6,2,2,\frac{9 \sqrt{23}}{23},\sqrt{\dfrac{7}{2}},0,143,63171,29905,496,63314,"[""\\sqrt{\\dfrac{7}{2}}""]",0.1118304151330227,0.2220801116214174,895.2466967105865
8,index_7,2,2,1-\frac{2}{\pi},1 - \dfrac{2}{\pi},1,156,40165,6795,600,40321,"[""1 - \\dfrac{2}{\\pi}""]",0.0632909731867423,0.1196442067321666,880.8002393245697
9,index_8,2,2,1037,1037,1,243,24904,23511,1389,25147,"[""1037"", ""1037""]",0.0408045806464556,0.0745305505493866,361.48278737068176
10,index_9,2,2,"\frac{-1+\sqrt{17}}{2}, \frac{-1-\sqrt{17}}{2}","\frac{ -1 + \sqrt{17} }{ 2 }, \frac{ -1 - \sqrt{17} }{ 2 }",1,146,37436,36144,1288,37582,"[""\\frac{ -1 + \\sqrt{17} }{ 2 }, \\frac{ -1 - \\sqrt{17} }{ 2 }"", ""0, 6""]",0.0577011887827078,0.1048776233939887,763.1951780319214
11,index_10,2,2,56,56,1,116,27637,26695,938,27753,"[""56"", ""56""]",0.050386528291061,0.0998779140747631,335.01431679725647
12,index_11,2,2,29,31,0,147,45664,44593,1067,45811,"[""31"", ""8""]",0.0825677477300215,0.1639439567467008,604.5437750816345
13,index_12,2,2,105,8,0,154,40365,39508,853,40519,"[""8"", ""2""]",0.0705303021358657,0.139061682460322,548.3421714305878
14,index_13,2,2,2304,76,0,188,34048,33478,566,34236,"[""76"", ""70""]",0.061696426176462,0.1218533806174059,434.683920621872
15,index_14,2,2,200,202,0,149,11058,10173,881,11207,"[""202"", ""202""]",0.0187463251102568,0.0348816929248299,126.83524417877196
16,index_15,2,2,6300,13300,0,119,30389,29364,1021,30508,"[""6720"", ""13300""]",0.0511801410122626,0.0992384163711411,418.00435876846313
17,index_16,2,2,2^{25} \cdot 26!,2 \times 26!,0,147,18559,17837,718,18706,"[""26!"", ""2 \\times 26!""]",0.0329915051204517,0.0645311319109354,213.1287477016449
18,index_17,2,2,\frac{2025}{101},\dfrac{675}{67},0,222,34095,33352,739,34317,"[""\\dfrac{675}{67}"", ""1825""]",0.0609118491152896,0.1197604790419161,444.69174575805664
19,index_18,2,2,\frac{4}{9},\dfrac{1}{2},0,95,30779,30096,679,30874,"[""\\dfrac{1}{2}"", ""\\dfrac{1}{2}""]",0.0498176171927988,0.0935992093482936,446.6752259731293
20,index_19,2,2,\frac{448}{3},45,0,171,46340,45524,809,46511,"[""45"", ""\\dfrac{675}{2}""]",0.0807549112766504,0.159176792046974,642.5570397377014
21,index_20,2,2,26,26,1,139,5580,4239,1337,5719,"[""26"", ""26""]",0.0101912679495377,0.019068658798907,61.87898468971253
22,index_21,2,2,63,63,1,140,25813,24596,1213,25953,"[""63"", ""63""]",0.0475567992867964,0.0940642985872914,303.3972501754761
23,index_22,2,2,8\sqrt{10},8\sqrt{10},1,135,18933,17741,1188,19068,"[""8\\sqrt{10}"", ""8\\sqrt{10}""]",0.0349994149988755,0.0689494796814138,204.52989625930783
24,index_23,2,2,20,28,0,682,24065,22751,1310,24747,"[""28"", ""80""]",0.0413246173856106,0.0715074704959014,363.1249523162842
25,index_24,2,2,\sqrt{23}-2 \sqrt{3},\sqrt{11},0,151,43751,42830,917,43902,"[""\\sqrt{23}"", ""\\sqrt{11}""]",0.0719882050666994,0.13743387012383,650.8300909996033
26,index_25,2,2,9\sqrt{15},9\sqrt{15},1,144,23838,21615,2219,23982,"[""9\\sqrt{15}"", ""9\\sqrt{15}""]",0.0439418309112782,0.0867391430730771,275.7542049884796
