iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,10,5,0,0.8,33,33,1,189,25848,26037,"[""33"", ""33"", ""33"", ""33"", ""33""]",21,0.04448822813755783,0.078009414929388,83.75536799430847
2,index_1,10,1,0,0.8,23,23,1,221,25514,25735,"[""23""]",30,0.03747367824660916,0.0702383621011731,115.42446279525757
3,index_2,10,2,0,0.8,116,116,1,167,14516,14683,"[""116"", ""116""]",18,0.026554393571561415,0.0470746469401479,47.92544460296631
4,index_3,10,1,0,0.8,809,809,1,140,11854,11994,"[""809""]",15,0.01645429360745441,0.0388552641410745,71.29884672164917
5,index_4,10,1,0,0.8,197,135,0,136,12930,13066,"[""135""]",19,0.018018012730203772,0.0316819846073376,80.70217061042786
6,index_5,10,1,0,0.8,385,12,0,123,28441,28564,"[""12""]",26,0.03656527467981575,0.0598520511096166,266.2800281047821
7,index_6,10,1,0,0.8,371,17,0,118,19549,19667,"[""17""]",7,0.03472512997344207,0.0673242172905925,297.16717982292175
8,index_7,10,1,0,0.8,601,601,1,114,25736,25850,"[""601""]",30,0.03249219872727567,0.060673989389524,172.69520449638367
9,index_8,10,3,0,0.8,25,25,1,92,25851,25943,"[""25"", ""25"", ""25""]",22,0.0335139010287454,0.0546962564447432,230.75646543502808
10,index_9,10,1,0,0.8,55,55,1,103,10450,10553,"[""55""]",12,0.014219595658498651,0.0298886647239035,57.79987978935242
11,index_10,10,3,0,0.8,540,540,1,91,22203,22294,"[""540"", ""540"", ""540""]",20,0.0330881546634027,0.0685944855413583,77.60818791389465
12,index_11,10,1,0,0.8,45,45,1,181,22810,22991,"[""45""]",35,0.03685532331233706,0.0540237614884555,97.90981364250183
13,index_12,10,2,0,0.8,204,204,1,176,13676,13852,"[""204"", ""204""]",19,0.02275902515231598,0.0328775311962937,65.36454820632935
14,index_13,10,1,0,0.8,699,699,1,113,39222,39335,"[""699""]",37,0.04867228231505392,0.0892923858626616,258.23052620887756
15,index_14,10,1,0,0.8,294,294,1,96,9227,9323,"[""294""]",16,0.014104453707060005,0.0283942314877082,44.03778123855591
16,index_15,10,1,0,0.8,110,905,0,107,27428,27535,"[""905""]",44,0.03872246422278015,0.0582828962116117,146.01284193992615
17,index_16,10,2,0,0.8,721,721,1,140,38837,38977,"[""721"", ""721""]",70,0.05963967966977788,0.0948965104983935,283.5701081752777
18,index_17,10,1,0,0.8,315,12,0,95,17116,17211,"[""12""]",17,0.025379260974256704,0.0457296570275722,187.9680037498474
19,index_18,10,1,0,0.8,468,468,1,95,12788,12883,"[""468""]",16,0.016536755774781125,0.0366136142867817,80.20465445518494
20,index_19,10,1,0,0.8,902,968,0,142,23967,24109,"[""968""]",12,0.043416548775522215,0.0844354778450272,410.403035402298
21,index_20,10,1,0,0.8,211,211,1,165,23222,23387,"[""211""]",27,0.030074969820707502,0.0537995965030262,141.87432408332825
22,index_21,10,1,0,0.8,80,80,1,104,16664,16768,"[""80""]",11,0.026002142117924818,0.0484943585145333,208.63576912879944
23,index_22,10,1,0,0.8,480,480,1,126,15135,15261,"[""480""]",19,0.021394472257507405,0.0351191810505865,165.3244686126709
24,index_23,10,1,0,0.8,236,236,1,113,14686,14799,"[""236""]",18,0.01976346110737498,0.0297392214002839,106.82580661773682
25,index_24,10,1,0,0.8,73,73,1,154,17429,17583,"[""73""]",12,0.027886562521711844,0.0518568332959724,213.08749866485596
26,index_25,10,1,0,0.8,113,113,1,397,23987,24384,"[""113""]",35,0.036718653318917695,0.058507061197041,269.5865571498871
27,index_26,10,1,0,0.8,127,7,0,203,23525,23728,"[""7""]",8,0.04006447216402118,0.076440260031383,352.199590921402
28,index_27,10,1,0,0.8,104,104,1,194,21465,21659,"[""104""]",25,0.029087681524721926,0.0448329970858552,134.63155317306519
29,index_28,10,1,0,0.8,104,104,1,119,17482,17601,"[""104""]",17,0.02381166773988396,0.0398266457446013,147.61442065238953
30,index_29,10,1,0,0.8,321,321,1,104,15695,15799,"[""321""]",21,0.021121027099101505,0.0329522528581035,97.92017149925232
