iteration,question_id,correct_answer,final_answer,score,num_chains_generated,total_tokens_generated,window_size,individual_answers_str,correct_answer_in_chains
1,index_0,C,C,1,1,4391,1,"['C', 'C']",True
2,index_1,D,C,0,1,12263,1,"['C', 'C']",False
3,index_2,C,C,1,1,3742,1,"['C', 'C']",True
4,index_3,B,D,0,1,3064,1,"['D', 'D']",False
5,index_4,C,C,1,1,3921,1,"['C', 'C']",True
6,index_5,C,C,1,1,1806,1,"['C', 'C']",True
7,index_6,C,C,1,1,3240,1,"['C', 'C']",True
8,index_7,D,D,1,1,4366,1,"['D', 'D']",True
9,index_8,A,A,1,1,4708,1,"['A', 'A']",True
10,index_9,C,C,1,1,5053,1,"['C', 'C']",True
11,index_10,A,A,1,1,1714,1,"['A', 'A']",True
12,index_11,D,D,1,1,5503,1,"['D', 'D']",True
13,index_12,A,A,1,1,7208,1,"['A', 'A']",True
14,index_13,D,D,1,1,2138,1,"['D', 'A']",True
15,index_14,C,C,1,1,2862,1,"['C', 'C']",True
16,index_15,B,D,0,1,13955,1,"['D', 'D']",False
17,index_16,C,C,1,1,1802,1,"['C', 'C']",True
18,index_17,B,A,0,1,6054,1,"['A', 'A']",False
19,index_18,A,B,0,1,8878,1,"['B', 'B']",False
20,index_19,A,A,1,1,747,1,"['A', 'A']",True
21,index_20,B,B,1,1,7892,1,"['B', 'B']",True
22,index_21,D,C,0,1,3036,1,"['C', 'D']",False
23,index_22,C,B,0,1,11100,1,"['B', 'D']",False
24,index_23,B,C,0,1,10522,1,"['C', 'A']",False
25,index_24,B,C,0,1,5455,1,"['C', 'D']",False
26,index_25,D,D,1,1,10923,1,"['D', 'D']",True
27,index_26,A,A,1,1,3501,1,"['A', 'A']",True
28,index_27,A,A,1,1,6683,1,"['A', 'B']",True
29,index_28,A,B,0,1,16691,1,"['B', 'A']",False
30,index_29,A,C,0,1,5595,1,"['C', 'C']",False
31,index_30,C,A,0,1,11235,1,"['A', 'A']",False
32,index_31,C,C,1,1,16267,1,"['C', 'C']",True
33,index_32,C,B,0,1,4493,1,"['B', 'B']",False
34,index_33,A,C,0,1,15004,1,"['C', 'C']",False
35,index_34,C,C,1,1,2871,1,"['C', 'C']",True
36,index_35,B,B,1,1,11789,1,"['B', 'B']",True
37,index_36,D,B,0,1,15031,1,"['B', 'B']",False
38,index_37,C,C,1,1,6825,1,"['C', 'C']",True
39,index_38,B,B,1,1,1619,1,"['B', 'B']",True
40,index_39,A,A,1,1,2948,1,"['A', 'A']",True
41,index_40,A,A,1,1,2480,1,"['A', 'A']",True
42,index_41,D,D,1,1,2818,1,"['D', 'D']",True
43,index_42,A,D,0,1,5829,1,"['D', 'A']",False
44,index_43,A,A,1,1,1087,1,"['A', 'A']",True
45,index_44,D,D,1,1,4872,1,"['D', 'D']",True
46,index_45,C,A,0,1,8714,1,"['A', 'A']",False
47,index_46,D,D,1,1,7411,1,"['D', 'D']",True
48,index_47,A,C,0,1,12841,1,"['C', 'D']",False
49,index_48,B,C,0,1,10072,1,"['C', 'C']",False
50,index_49,D,D,1,1,2120,1,"['D', 'D']",True
51,index_50,D,D,1,1,10635,1,"['D', 'D']",True
52,index_51,C,C,1,1,4215,1,"['C', 'C']",True
53,index_52,D,B,0,1,12883,1,"['B', 'B']",False
54,index_53,A,B,0,1,19246,1,"['B', 'A']",False
55,index_54,B,D,0,1,9246,1,"['D', 'D']",False
56,index_55,A,A,1,1,15490,1,"['A', 'A']",True
57,index_56,D,B,0,1,20896,1,"['B', 'B']",False
58,index_57,A,D,0,1,3339,1,"['D', 'D']",False
59,index_58,A,A,1,1,3308,1,"['A', 'A']",True
60,index_59,C,C,1,1,8990,1,"['C', 'C']",True
61,index_60,C,C,1,1,4230,1,"['C', 'C']",True
62,index_61,C,C,1,1,10718,1,"['C', 'C']",True
63,index_62,D,D,1,1,10555,1,"['D', 'D']",True
64,index_63,C,A,0,1,15997,1,"['A', 'A']",False
65,index_64,A,A,1,1,10146,1,"['A', 'A']",True
66,index_65,C,C,1,1,939,1,"['C', 'C']",True
67,index_66,D,D,1,1,1464,1,"['D', 'D']",True
68,index_67,B,B,1,1,14567,1,"['B', 'B']",True
69,index_68,A,A,1,1,14828,1,"['A', 'A']",True
70,index_69,D,D,1,1,10748,1,"['D', 'C']",True
71,index_70,C,C,1,1,2408,1,"['C', 'C']",True
72,index_71,B,B,1,1,8152,1,"['B', 'B']",True
73,index_72,C,C,1,1,1687,1,"['C', 'C']",True
74,index_73,A,A,1,1,4623,1,"['A', 'A']",True
75,index_74,B,B,1,1,5030,1,"['B', 'B']",True
76,index_75,D,B,0,1,2365,1,"['B', 'D']",False
77,index_76,A,C,0,1,11177,1,"['C', 'C']",False
78,index_77,C,C,1,1,6114,1,"['C', 'C']",True
79,index_78,A,A,1,1,11605,1,"['A', 'A']",True
80,index_79,A,A,1,1,11064,1,"['A', 'A']",True
81,index_80,D,D,1,1,11538,1,"['D', 'D']",True
82,index_81,A,B,0,1,6019,1,"['B', 'A']",False
83,index_82,A,A,1,1,5035,1,"['A', 'A']",True
84,index_83,D,D,1,1,894,1,"['D', 'D']",True
85,index_84,C,C,1,1,8617,1,"['C', 'C']",True
86,index_85,A,D,0,1,6300,1,"['D', 'A']",False
87,index_86,C,C,1,1,3241,1,"['C', 'C']",True
88,index_87,A,A,1,1,1511,1,"['A', 'A']",True
89,index_88,B,D,0,1,14165,1,"['D', 'B']",False
90,index_89,B,C,0,1,10885,1,"['C', 'C']",False
91,index_90,B,C,0,1,12092,1,"['C', 'C']",False
92,index_91,C,C,1,1,16350,1,"['C', 'C']",True
93,index_92,B,B,1,1,7345,1,"['B', 'D']",True
94,index_93,D,C,0,1,5037,1,"['C', 'C']",False
95,index_94,C,C,1,1,15950,1,"['C', 'C']",True
96,index_95,A,A,1,1,10365,1,"['A', 'A']",True
97,index_96,A,A,1,1,1238,1,"['A', 'A']",True
98,index_97,D,C,0,1,10304,1,"['C', 'C']",False
99,index_98,A,D,0,1,14485,1,"['D', 'B']",False
100,index_99,B,B,1,1,13611,1,"['B', 'B']",True
101,index_100,A,A,1,1,7137,1,"['A', 'A']",True
102,index_101,D,D,1,1,1413,1,"['D', 'D']",True
103,index_102,C,A,0,1,12913,1,"['A', 'C']",False
104,index_103,A,A,1,1,7447,1,"['A', 'A']",True
105,index_104,D,D,1,1,5121,1,"['D', 'D']",True
106,index_105,C,A,0,1,9609,1,"['A', 'A']",False
107,index_106,A,B,0,1,1032,1,"['B', 'B']",False
108,index_107,C,C,1,1,2753,1,"['C', 'C']",True
109,index_108,D,D,1,1,9295,1,"['D', 'D']",True
110,index_109,B,B,1,1,5042,1,"['B', 'B']",True
111,index_110,D,C,0,1,11521,1,"['C', 'C']",False
112,index_111,A,A,1,1,5340,1,"['A', 'A']",True
113,index_112,C,C,1,1,7545,1,"['C', 'C']",True
114,index_113,C,A,0,1,2254,1,"['A', 'A']",False
115,index_114,C,C,1,1,3613,1,"['C', 'C']",True
116,index_115,B,A,0,1,12627,1,"['A', 'A']",False
117,index_116,D,D,1,1,13473,1,"['D', 'D']",True
118,index_117,B,A,0,1,6033,1,"['A', 'A']",False
119,index_118,A,C,0,1,6399,1,"['C', 'C']",False
120,index_119,A,A,1,1,1455,1,"['A', 'A']",True
121,index_120,C,B,0,1,9800,1,"['B', 'B']",False
122,index_121,A,B,0,1,18593,1,"['B', 'B']",False
123,index_122,D,D,1,1,3849,1,"['D', 'D']",True
124,index_123,A,A,1,1,3038,1,"['A', 'A']",True
125,index_124,A,A,1,1,1953,1,"['A', 'A']",True
126,index_125,A,B,0,1,20103,1,"['B', 'A']",False
127,index_126,A,A,1,1,9469,1,"['A', 'D']",True
128,index_127,A,D,0,1,18629,1,"['D', 'B']",False
129,index_128,A,D,0,1,10176,1,"['D', 'A']",False
130,index_129,D,C,0,1,4061,1,"['C', 'C']",False
131,index_130,D,B,0,1,12791,1,"['B', 'C']",False
132,index_131,B,D,0,1,12058,1,"['D', 'D']",False
133,index_132,A,A,1,1,6995,1,"['A', 'A']",True
134,index_133,A,A,1,1,9550,1,"['A', 'A']",True
135,index_134,B,B,1,1,3173,1,"['B', 'B']",True
136,index_135,A,A,1,1,1708,1,"['A', 'A']",True
137,index_136,C,D,0,1,4035,1,"['D', 'D']",False
138,index_137,B,B,1,1,2738,1,"['B', 'B']",True
139,index_138,D,A,0,1,10788,1,"['A', 'A']",False
140,index_139,A,B,0,1,11413,1,"['B', 'D']",False
141,index_140,D,D,1,1,10408,1,"['D', 'C']",True
142,index_141,C,C,1,1,1293,1,"['C', 'C']",True
143,index_142,B,A,0,1,8595,1,"['A', 'A']",False
144,index_143,B,B,1,1,12423,1,"['B', 'B']",True
145,index_144,B,C,0,1,8064,1,"['C', 'C']",False
146,index_145,C,A,0,1,6569,1,"['A', 'A']",False
147,index_146,A,A,1,1,9143,1,"['A', 'A']",True
148,index_147,D,B,0,1,11304,1,"['B', 'C']",False
149,index_148,D,D,1,1,788,1,"['D', 'D']",True
150,index_149,B,B,1,1,11479,1,"['B', 'B']",True
151,index_150,C,C,1,1,4155,1,"['C', 'C']",True
152,index_151,B,B,1,1,903,1,"['B', 'B']",True
153,index_152,B,B,1,1,10222,1,"['B', 'B']",True
154,index_153,B,B,1,1,5708,1,"['B', 'B']",True
155,index_154,B,B,1,1,2493,1,"['B', 'B']",True
156,index_155,B,C,0,1,7740,1,"['C', 'C']",False
157,index_156,B,B,1,1,1449,1,"['B', 'B']",True
158,index_157,D,D,1,1,8493,1,"['D', 'D']",True
159,index_158,B,D,0,1,12826,1,"['D', 'B']",False
160,index_159,D,C,0,1,10341,1,"['C', 'D']",False
161,index_160,C,A,0,1,6172,1,"['A', 'C']",False
162,index_161,D,D,1,1,2013,1,"['D', 'D']",True
163,index_162,B,C,0,1,12133,1,"['C', 'C']",False
164,index_163,A,A,1,1,10379,1,"['A', 'A']",True
165,index_164,A,D,0,1,5236,1,"['D', 'B']",False
166,index_165,B,B,1,1,5015,1,"['B', 'A']",True
167,index_166,C,C,1,1,16953,1,"['C', 'C']",True
168,index_167,A,B,0,1,1746,1,"['B', 'B']",False
169,index_168,B,B,1,1,4192,1,"['B', 'B']",True
170,index_169,A,A,1,1,3025,1,"['A', 'A']",True
171,index_170,C,A,0,1,6997,1,"['A', 'A']",False
172,index_171,D,D,1,1,1741,1,"['D', 'D']",True
173,index_172,D,D,1,1,8976,1,"['D', 'D']",True
174,index_173,B,C,0,1,8768,1,"['C', 'C']",False
175,index_174,D,C,0,1,4063,1,"['C', 'C']",False
176,index_175,D,D,1,1,5992,1,"['D', 'D']",True
177,index_176,D,A,0,1,1586,1,"['A', 'A']",False
178,index_177,C,C,1,1,1967,1,"['C', 'A']",True
179,index_178,B,A,0,1,5105,1,"['A', 'B']",False
180,index_179,B,B,1,1,24428,1,"['B', 'C']",True
181,index_180,B,C,0,1,11565,1,"['C', 'A']",False
182,index_181,B,B,1,1,1220,1,"['B', 'B']",True
183,index_182,A,B,0,1,9603,1,"['B', 'B']",False
184,index_183,C,A,0,1,9318,1,"['A', 'B']",False
185,index_184,B,B,1,1,1575,1,"['B', 'B']",True
186,index_185,D,B,0,1,6248,1,"['B', 'B']",False
187,index_186,D,B,0,1,5344,1,"['B', 'D']",False
188,index_187,C,B,0,1,17966,1,"['B', 'C']",False
189,index_188,B,B,1,1,888,1,"['B', 'B']",True
190,index_189,D,D,1,1,8913,1,"['D', 'D']",True
191,index_190,C,C,1,1,14663,1,"['C', 'C']",True
192,index_191,B,B,1,1,4625,1,"['B', 'B']",True
193,index_192,A,A,1,1,1798,1,"['A', 'A']",True
194,index_193,B,B,1,1,2529,1,"['B', 'B']",True
195,index_194,C,C,1,1,2154,1,"['C', 'C']",True
196,index_195,D,D,1,1,3039,1,"['D', 'D']",True
197,index_196,D,D,1,1,16221,1,"['D', 'C']",True
198,index_197,D,D,1,1,5301,1,"['D', 'D']",True
