iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,aqua_rat_test_0,8,8,A,A,1,176,21778,15688,6074,21954,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""E""]",0.03202952887260265,0.0793759512937595,88.52983713150024
2,aqua_rat_test_1,8,8,E,E,1,156,19696,16339,3341,19852,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",0.03495208366348365,0.0630898021308979,65.2972240447998
3,aqua_rat_test_2,8,8,A,A,1,98,14218,11803,2399,14316,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.02617394161374263,0.0535007610350075,42.790935039520264
4,aqua_rat_test_3,8,8,B,B,1,144,10952,8039,2897,11096,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",0.02069808784495684,0.0403348554033485,33.410489559173584
5,aqua_rat_test_4,8,8,B,B,1,109,4054,2860,1178,4163,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",0.008642013744753407,0.017579908675799,11.382918119430542
6,aqua_rat_test_5,8,8,D,D,1,167,10477,8279,2182,10644,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.021096105798225177,0.039193302891933,29.659742832183838
7,aqua_rat_test_6,8,8,D,D,1,125,12970,10819,2135,13095,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.02700173590825115,0.0474885844748858,35.3511278629303
8,aqua_rat_test_7,8,8,C,C,1,140,5981,3976,1989,6121,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.012554885343655798,0.0214611872146118,16.714004039764404
9,aqua_rat_test_8,8,8,E,E,1,131,17094,14287,2791,17225,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",0.033681673403471245,0.0573059360730593,48.86476373672485
10,aqua_rat_test_9,8,8,D,D,1,118,5436,4029,1391,5554,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.011633079896021966,0.0213089802130898,14.598068237304688
11,aqua_rat_test_10,8,8,B,C,0,161,26031,21239,4776,26192,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.04877232318141993,0.0885083713850837,79.91035485267639
12,aqua_rat_test_11,8,8,A,A,1,149,8788,6776,1996,8937,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.017706641031803198,0.0321917808219177,24.816607236862183
13,aqua_rat_test_12,8,8,C,C,1,121,10108,6663,3429,10229,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.019109157460322303,0.0331050228310502,31.09830069541931
14,aqua_rat_test_13,8,8,D,D,1,84,2860,2262,582,2944,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.0064623243933588405,0.0120243531202435,7.475268840789795
15,aqua_rat_test_14,8,8,C,C,1,102,4245,3430,799,4347,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.008634690547565682,0.0163622526636225,12.362661838531494
16,aqua_rat_test_15,8,8,A,A,1,112,4540,3268,1256,4652,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.010041889264016569,0.0194063926940639,12.224312782287598
17,aqua_rat_test_16,8,8,A,A,1,146,36759,30573,6170,36905,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.05127885534735847,0.1019786910197869,169.19768714904785
18,aqua_rat_test_17,8,8,D,D,1,154,7066,5173,1877,7220,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.015055169806371988,0.0299847792998477,18.96579623222351
19,aqua_rat_test_18,8,8,D,D,1,186,4978,3028,1934,5164,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.011935154235712574,0.0206240487062404,12.355521440505981
20,aqua_rat_test_19,8,8,C,C,1,109,8146,5715,2415,8255,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.018079809189957066,0.0303652968036529,21.05648112297058
21,aqua_rat_test_20,8,8,C,E,0,125,60370,56285,4069,60495,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",0.11947955341713709,0.2417047184170472,177.8040680885315
22,aqua_rat_test_21,8,8,A,A,1,144,26300,22414,3870,26444,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.046314734535517106,0.0877473363774733,85.33731389045715
23,aqua_rat_test_22,8,8,E,E,1,145,19995,15235,4744,20140,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",0.04166168553335094,0.0750380517503804,53.00714945793152
24,aqua_rat_test_23,8,8,A,A,1,147,14417,10712,3689,14564,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.02842280014859079,0.0540334855403348,40.74540376663208
25,aqua_rat_test_24,8,8,D,D,1,140,5678,4156,1506,5818,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.012079670269068673,0.0244292237442922,15.503565073013306
26,aqua_rat_test_25,8,8,D,D,1,126,5716,4258,1442,5842,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.010909407106164318,0.024124809741248,17.511980533599854
27,aqua_rat_test_26,8,8,C,C,1,112,4914,3445,1453,5026,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.01100370116348759,0.0215372907153729,12.823337078094482
28,aqua_rat_test_27,8,8,A,A,1,139,7750,4835,2899,7889,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.01716087618291306,0.030517503805175,20.17981791496277
29,aqua_rat_test_28,8,8,B,B,1,130,5779,3623,2140,5909,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",0.013124002860758056,0.0220700152207001,14.467327356338501
30,aqua_rat_test_29,8,8,A,A,1,115,4653,3757,880,4768,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.009738586446479085,0.0171232876712328,13.36766767501831
31,aqua_rat_test_30,8,8,B,B,1,124,5331,4152,1163,5455,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",0.011971577828258435,0.0210045662100456,14.0487642288208
32,aqua_rat_test_31,8,8,A,A,1,144,5330,3834,1480,5474,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.011809440479771003,0.0203957382039573,14.580819129943848
33,aqua_rat_test_32,8,8,B,E,0,134,84053,59927,4112,84187,"[""C"", ""E"", ""C"", ""E"", ""C"", ""E""]",0.1646730727505535,0.3410197869101978,259.0933725833893
34,aqua_rat_test_33,8,8,B,B,1,136,4946,3795,1135,5082,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",0.010309599486674391,0.0177321156773211,14.360167264938354
35,aqua_rat_test_34,8,8,B,B,1,146,6709,4777,1916,6855,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",0.011196645305049968,0.0269406392694063,23.995704889297485
36,aqua_rat_test_35,8,8,A,A,1,121,4928,3818,1094,5049,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.010329532827221672,0.0164383561643836,14.328677654266357
37,aqua_rat_test_36,8,8,D,D,1,147,7941,5940,1985,8088,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.017912389218130927,0.0318112633181126,20.170193910598755
38,aqua_rat_test_37,8,8,A,A,1,130,10626,7515,3095,10756,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.021497535155273813,0.041476407914764,29.90264582633972
39,aqua_rat_test_38,8,8,D,D,1,135,6566,4941,1609,6701,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.012960814321320298,0.0280821917808219,19.191254377365112
40,aqua_rat_test_39,8,8,A,A,1,129,16283,10836,5431,16412,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.034521018819708475,0.0598173515981734,43.20678234100342
41,aqua_rat_test_40,8,8,A,A,1,133,16788,12069,4703,16921,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.029693820452691193,0.0524353120243531,56.99289011955261
42,aqua_rat_test_41,8,8,A,A,1,148,20443,17277,3150,20591,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.0343927934255286,0.0543378995433789,79.67967653274536
43,aqua_rat_test_42,8,8,C,C,1,92,4250,3138,1096,4342,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.009144537761832248,0.0169710806697107,11.69920015335083
44,aqua_rat_test_43,8,8,A,A,1,130,9508,7142,2350,9638,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.021468383082686816,0.0396499238964992,23.62824511528015
45,aqua_rat_test_44,8,8,B,B,1,132,6223,4587,1620,6355,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",0.013872864920012612,0.0214611872146118,16.261215209960938
46,aqua_rat_test_45,8,8,B,B,1,126,10550,8289,2245,10676,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",0.022321514243301633,0.0373668188736682,28.804859161376953
