iteration,question_id,correct_answer,final_answer,score,num_chains_generated,total_tokens_generated,window_size,individual_answers_str,correct_answer_in_chains
1,index_0,103,103,1,2,8830,2,"['103', '103', '103', '103', '103', '103', '103', '103']",True
2,index_1,3375,3375,1,2,4212,2,"['3375', '3375', '3375', '3375', '3375', '3375', '3375', '3375']",True
3,index_2,\frac{1}{576},4096,0,8,167672,2,"['2^{\\sqrt{22 + 20 \\log_2 3}}', '72', '160', '4096', '576', '24^{2\\sqrt{\\log 2}}', '2^{\\sqrt{33 + 30 \\log_2 3}}', '7776']",False
4,index_3,-984,-984,1,8,111270,2,"['3063', '-984', '3063', '-984', '3068', '-984', '-984', '-990']",True
5,index_4,890,890,1,2,17046,2,"['890', '890', '890', '890', '890', '890', '890', '890']",True
6,index_5,\frac{1311}{2017},\dfrac{1311}{2017},1,4,45951,2,"['\\dfrac{1311}{2017}', '\\dfrac{1}{2025}', '\\dfrac{1311}{2017}', '\\dfrac{1311}{2017}', '0', '\\dfrac{1311}{2017}', '\\dfrac{2025! - 1}{2025!}', '\\dfrac{706}{2017}']",False
7,index_6,\frac{9 \sqrt{23}}{23},\dfrac{15}{8},0,8,142689,2,"['\\dfrac{15}{8}', '2', '\\dfrac{15}{8}', '\\dfrac{9\\sqrt{23}}{23}', '\\dfrac{\\sqrt{13}}{2}', '2', '\\sqrt{\\dfrac{3 + \\sqrt{15}}{2}}', '\\dfrac{15}{8}']",False
8,index_7,1-\frac{2}{\pi},\dfrac{\sqrt{3} - 1}{2},0,8,136666,2,"['\\dfrac{1}{4}', '\\dfrac{\\sqrt{3} - 1}{2}', '\\frac{\\sqrt{3} - 1}{2}', '2 - \\sqrt{3}', '\\dfrac{4}{11}', '1 - \\dfrac{2}{\\pi}', '-\\frac{1}{\\sqrt{2}}', '\\dfrac{1}{2 \\ln 2}']",False
9,index_8,1037,1037,1,8,111559,2,"['1035', '0', '1037', '1982', '1037', '1007', '1020', '1037']",True
10,index_9,"\frac{-1+\sqrt{17}}{2}, \frac{-1-\sqrt{17}}{2}",-4,0,8,143223,2,"['-4', '-3', '-6', '-4', '9', '-5', '-3', '-5']",False
11,index_10,56,8,0,8,93421,2,"['8', '72', '4', '8', '7', '8', '8', '8']",False
12,index_11,29,16,0,4,40231,2,"['16', '12', '16', '16', '16', '16', '16', '34']",False
13,index_12,105,1,0,6,78445,2,"['1', '90', '1', '14', '1', '1', '90', '1']",False
14,index_13,2304,20,0,2,17100,2,"['20', '20', '20', '20', '6', '20', '44', '168']",False
15,index_14,200,120,0,2,11831,2,"['120', '120', '120', '120', '120', '203', '202', '203']",False
16,index_15,6300,5868,0,8,131090,2,"['2646', '18300', '8568', '2025', '6525', '2775', '5868', '225']",False
17,index_16,2^{25} \cdot 26!,26!,0,8,80236,2,"['(26!)^3', '2 \\times 26!', '26!', '2 \\times 26!', '26!', '2 \\times 26!', '26!', '26!']",False
18,index_17,\frac{2025}{101},1825,0,8,92121,2,"['1277', '1825', '101', '\\dfrac{675}{67}', '1825', '2025 \\left(1 - \\left(\\frac{200}{201}\\right)^{201}\\right)', '1825', '10']",False
19,index_18,\frac{4}{9},\dfrac{1}{2},0,4,60595,2,"['\\dfrac{1}{2}', '\\dfrac{1}{4}', '\\dfrac{1}{2}', '\\dfrac{1}{2}', '\\dfrac{1}{2}', '\\dfrac{1}{6}', '\\dfrac{15}{16}', '\\dfrac{1}{2}']",False
20,index_19,\frac{448}{3},630,0,7,104450,2,"['84', '602', '2025', '630', '238', '675', '630']",False
21,index_20,26,26,1,2,4849,2,"['26', '26', '26', '26', '26', '26', '26', '26']",True
22,index_21,63,63,1,2,23299,2,"['63', '63', '89 + 24\\sqrt{2}', '63', '63', '63', '63', '63']",True
23,index_22,8\sqrt{10},8\sqrt{10},1,2,14791,2,"['8\\sqrt{10}', '8\\sqrt{10}', '8\\sqrt{10}', '8\\sqrt{10}', '8\\sqrt{10}', '8\\sqrt{10}', '8\\sqrt{10}', '8\\sqrt{10}']",True
24,index_23,20,100,0,2,30347,2,"['100', '100', '20\\sqrt{2}', '25', '100', '4', '80', '28']",False
25,index_24,\sqrt{23}-2 \sqrt{3},1,0,8,165978,2,"['\\dfrac{23\\sqrt{3}}{24}', '2', '1', '\\sqrt{23}', '1', '2', '3', '1']",False
26,index_25,9\sqrt{15},9\sqrt{15},1,2,17511,2,"['9\\sqrt{15}', '9\\sqrt{15}', '9\\sqrt{15}', '9\\sqrt{15}', '9\\sqrt{15}', '9\\sqrt{15}', '9\\sqrt{15}', '9\\sqrt{15}']",True
27,index_26,\frac{7}{18},\dfrac{7}{18},1,8,149449,2,"['\\dfrac{1}{3}', '\\dfrac{19}{60}', '\\dfrac{1}{7}', '\\dfrac{3}{11}', '\\dfrac{7}{18}', '\\dfrac{7}{16}', '\\dfrac{7}{18}', '\\dfrac{7}{18}']",False
28,index_27,\sqrt{6},\sqrt{6},1,8,90413,2,"['\\sqrt{\\dfrac{31}{2} - \\sqrt{21}}', '\\sqrt{6}', '2\\sqrt{6}', '\\sqrt{6}', '\\sqrt{6}', '\\sqrt{\\dfrac{505}{84}}', '\\sqrt{6}', '\\sqrt{6}']",True
29,index_28,14+4\sqrt{37},\dfrac{154}{5},0,7,148942,2,"['14 + 4\\sqrt{37}', '25', '10', '26', '14 + 4\\sqrt{37}', '25', '\\dfrac{154}{5}']",False
30,index_29,\sqrt{\frac{95}{24}},\dfrac{70}{3},0,8,166868,2,"['3\\sqrt{11}', '\\dfrac{70}{3}', '\\dfrac{101}{3}', '\\dfrac{70}{3}', '35', '30', '30.43', '\\dfrac{\\sqrt{5555}}{2}']",False
