iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,64,3,0,0.8,C,C,1,148,43595,43743,"[""C"", ""C"", ""C""]",17,0.04237629091791518,0.1826197414630501,70.3922917842865
2,index_1,64,1,0,0.8,D,B,0,155,43567,43722,"[""B""]",24,0.034217503727582525,0.1815736381977135,163.68027901649475
3,index_2,64,2,0,0.8,C,C,1,179,64058,64237,"[""C"", ""C""]",24,0.07105505324213801,0.2342524097735934,70.94281148910522
4,index_3,64,2,0,0.8,B,B,1,153,45143,45296,"[""B"", ""B""]",17,0.060588394300441106,0.2013748785772995,43.188814640045166
5,index_4,64,3,0,0.8,C,C,1,385,58146,58531,"[""C"", ""C"", ""C""]",26,0.04870662953020655,0.2362698946424568,230.62673139572144
6,index_5,64,2,0,0.8,C,C,1,14455,53837,68292,"[""C"", ""B""]",24,0.039302223788792626,0.196891578868714,202.9895257949829
7,index_6,64,2,0,0.8,C,C,1,191,59998,60189,"[""C"", ""C""]",19,0.04756660120228011,0.2138533960995292,342.9216752052307
8,index_7,64,2,0,0.8,D,D,1,19065,75373,94438,"[""D"", ""C""]",49,0.06518216721364598,0.3530598520511095,225.5645022392273
9,index_8,64,1,0,0.8,A,A,1,262,44941,45203,"[""A""]",22,0.03941565463199665,0.2071284465366509,91.25719332695007
10,index_9,64,1,0,0.8,C,C,1,148,39931,40079,"[""C""]",20,0.029664096296708187,0.1746245236494059,122.97339153289795
11,index_10,64,5,0,0.8,A,A,1,399,47661,48060,"[""A"", ""A"", ""A"", ""A"", ""A""]",20,0.08537518730383638,0.2333557498318762,48.890872955322266
12,index_11,64,3,0,0.8,D,D,1,174,65516,65690,"[""D"", ""D"", ""D""]",32,0.0764513416337701,0.1936785474108944,81.38869428634644
13,index_12,64,1,0,0.8,A,A,1,340,41689,42029,"[""A""]",17,0.03562548298297941,0.234327131435403,145.43948817253113
14,index_13,64,2,0,0.8,D,D,1,148,42512,42660,"[""D"", ""D""]",21,0.04391516784615413,0.1853097212882014,62.074334144592285
15,index_14,64,1,0,0.8,C,C,1,302,39038,39340,"[""C""]",23,0.04690494876970523,0.2240155421056564,64.5763373374939
16,index_15,64,1,0,0.8,B,B,1,221,39579,39800,"[""B""]",14,0.0318138402417568,0.1931554957782261,154.46775197982788
17,index_16,64,5,0,0.8,C,C,1,158,44230,44388,"[""C"", ""C"", ""C"", ""C"", ""C""]",16,0.046966440633639646,0.1865799895389673,59.14725065231323
18,index_17,64,1,0,0.8,B,A,0,245,47977,48222,"[""A""]",20,0.03864397823947948,0.2283493984906224,104.81683874130249
