iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,16,1,0,0.95,fixed,C,C,1,153,21717,21870,"[""C""]",31,0.031147556272442187,0.0470902854485204,53.899818658828735
2,index_1,16,1,0,0.95,fixed,D,C,0,160,26516,26676,"[""C""]",29,0.025469380695633804,0.0420905761292947,258.4298679828644
3,index_2,16,3,0,0.95,fixed,C,C,1,184,22818,23002,"[""C"", ""C"", ""C""]",29,0.02556806270849327,0.045520609266903,82.93822407722473
4,index_3,16,1,0,0.95,fixed,B,D,0,158,25214,25372,"[""D""]",31,0.02320509791106985,0.0505203185861287,111.69398307800293
5,index_4,16,1,0,0.95,fixed,C,C,1,390,23012,23402,"[""C""]",32,0.03355561761359385,0.0563920702284751,69.04710006713867
6,index_5,16,3,0,0.95,fixed,C,C,1,204,37532,37736,"[""C"", ""C"", ""C""]",28,0.04150650967102013,0.0769722690541248,542.7143063545227
7,index_6,16,1,0,0.95,fixed,C,C,1,196,21109,21305,"[""C""]",31,0.02811199613711091,0.0465670600546479,61.434696435928345
8,index_7,16,1,0,0.95,fixed,D,D,1,476,26690,27166,"[""D""]",33,0.03241974350515247,0.065228765769432,101.44172501564026
9,index_8,16,2,0,0.95,fixed,A,A,1,267,23190,23457,"[""A"", ""A""]",29,0.02414325536847971,0.0491831870240102,102.04288005828857
10,index_9,16,2,0,0.95,fixed,C,C,1,153,25264,25417,"[""C"", ""C""]",31,0.02281169181171467,0.0460438346607755,131.04388165473938
11,index_10,16,4,0,0.95,fixed,A,A,1,404,18591,18995,"[""A"", ""A"", ""A"", ""A""]",26,0.02927583056473828,0.0517993139933724,56.53140711784363
12,index_11,16,1,0,0.95,fixed,D,D,1,179,27552,27731,"[""D""]",33,0.02439253594451894,0.0494157316435091,148.38486003875732
13,index_12,16,1,0,0.95,fixed,A,A,1,345,29294,29639,"[""A""]",31,0.028362366035244876,0.0517993139933724,249.4642653465271
14,index_13,16,1,0,0.95,fixed,D,A,0,153,23054,23207,"[""A""]",31,0.023276311091462793,0.0460438346607755,91.24828243255615
15,index_14,16,1,0,0.95,fixed,C,C,1,307,20391,20698,"[""C""]",31,0.03184365685943273,0.0488343700947618,55.98834776878357
16,index_15,16,1,0,0.95,fixed,B,D,0,226,30804,31030,"[""D""]",31,0.028948957353328596,0.0482530085460147,286.42348861694336
17,index_16,16,6,0,0.95,fixed,C,C,1,163,17751,17914,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",21,0.02882501407738231,0.0404627637928027,40.4162917137146
18,index_17,16,1,0,0.95,fixed,B,A,0,250,24485,24735,"[""A""]",32,0.0276626477647055,0.052903900935992,87.0337553024292
19,index_18,16,1,0,0.95,fixed,A,B,0,548,29213,29761,"[""B""]",33,0.029931721031676684,0.0638334980524387,194.31368589401245
20,index_19,16,11,0,0.95,fixed,A,A,1,203,13721,13924,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",14,0.0258930305352643,0.0438346607755363,27.420010328292847
21,index_20,16,1,0,0.95,fixed,B,B,1,282,28603,28885,"[""B""]",33,0.026557171240864427,0.0552293471309807,156.11762285232544
22,index_21,16,6,0,0.95,fixed,D,C,0,142,18741,18883,"[""D"", ""C"", ""C"", ""C"", ""C"", ""D""]",24,0.018069996306754904,0.0438346607755363,74.24578285217285
23,index_22,16,1,0,0.95,fixed,C,B,0,280,31654,31934,"[""B""]",32,0.028878019394503036,0.055578164060229,245.3243546485901
24,index_23,16,1,0,0.95,fixed,B,B,1,230,33295,33525,"[""B""]",31,0.0329218261865399,0.055985117144352,367.3679344654083
25,index_24,16,1,0,0.95,fixed,B,B,1,368,29830,30198,"[""B""]",33,0.02828831120302719,0.0581361548747165,196.59242415428162
26,index_25,16,1,0,0.95,fixed,D,D,1,377,30535,30912,"[""D""]",31,0.030162272595627752,0.052903900935992,285.13448572158813
27,index_26,16,2,0,0.95,fixed,A,A,1,169,20008,20177,"[""A"", ""A""]",28,0.02959988460738202,0.045520609266903,50.22376871109009
28,index_27,16,1,0,0.95,fixed,A,A,1,332,26707,27039,"[""A""]",31,0.025598550245220068,0.0517993139933724,166.9733111858368
29,index_28,16,1,0,0.95,fixed,A,A,1,408,26287,26695,"[""A""]",32,0.027614429768711823,0.0587175164234637,125.09283542633057
30,index_29,16,1,0,0.95,fixed,A,C,0,106,23118,23224,"[""C""]",32,0.023377994455503006,0.0449973838730306,86.04483962059021
31,index_30,16,1,0,0.95,fixed,C,A,0,140,29236,29376,"[""A""]",31,0.02566556718094767,0.0481367362362653,212.3910937309265
32,index_31,16,1,0,0.95,fixed,C,C,1,161,40264,40425,"[""C""]",33,0.04300424232441261,0.0790651706296146,553.3147985935211
33,index_32,16,1,0,0.95,fixed,C,A,0,327,23094,23421,"[""A""]",34,0.027160213312103585,0.0508109993605022,91.0236885547638
34,index_33,16,1,0,0.95,fixed,A,C,0,477,33848,34325,"[""C""]",32,0.03380888018597902,0.0613917795477007,327.41592621803284
35,index_34,16,3,0,0.95,fixed,C,C,1,323,19852,20175,"[""C"", ""C"", ""C""]",27,0.036273998128704486,0.0497064124178826,47.998432874679565
36,index_35,16,1,0,0.95,fixed,B,B,1,159,23299,23458,"[""B""]",32,0.023428907388957337,0.0460438346607755,94.79545545578003
37,index_36,16,1,0,0.95,fixed,D,C,0,167,32828,32995,"[""C""]",31,0.030167490235659938,0.0497064124178826,307.23709201812744
38,index_37,16,1,0,0.95,fixed,C,C,1,308,25148,25456,"[""C""]",33,0.028532838484364845,0.0552293471309807,94.64439845085144
39,index_38,16,7,0,0.95,fixed,B,B,1,248,16209,16457,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",21,0.030226908860363024,0.0459275623510261,35.47287964820862
40,index_39,16,2,0,0.95,fixed,A,A,1,178,21996,22174,"[""A"", ""A""]",27,0.02026880931907491,0.045520609266903,111.91516971588135
41,index_40,16,4,0,0.95,fixed,A,A,1,152,19889,20041,"[""A"", ""A"", ""A"", ""A""]",27,0.026365975076967283,0.0460438346607755,54.73051857948303
42,index_41,16,1,0,0.95,fixed,D,D,1,239,21237,21476,"[""D""]",34,0.024942824608079207,0.0466833323643973,77.91653180122375
