iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,8,3,0,0.2,fixed,33,33,1,189,14364,14553,"[""33"", ""33"", ""33""]",19,0.028105229918458062,0.0399760890682209,55.57129979133606
2,index_1,8,1,0,0.2,fixed,23,23,1,221,12825,13046,"[""23""]",15,0.01889307143903954,0.0418441306134648,79.22262334823608
3,index_2,8,1,0,0.2,fixed,116,116,1,167,10489,10656,"[""116""]",12,0.015868163817054155,0.0349697377269671,54.06131982803345
4,index_3,8,1,0,0.2,fixed,809,809,1,140,9723,9863,"[""809""]",10,0.014969556321776479,0.026302024957035,86.13854956626892
5,index_4,8,1,0,0.2,fixed,197,53,0,136,21598,21734,"[""53""]",9,0.04119209375502639,0.08047522976911,367.6714904308319
6,index_5,8,1,0,0.2,fixed,385,24,0,123,17766,17889,"[""24""]",17,0.027501830108134506,0.0493910184562504,196.88317322731018
7,index_6,8,1,0,0.2,fixed,371,33,0,118,18215,18333,"[""33""]",8,0.03444762397926216,0.067174773966973,295.0160241127014
8,index_7,8,1,0,0.2,fixed,601,601,1,114,24073,24187,"[""601""]",16,0.03674192758223085,0.067473660614212,295.8117117881775
9,index_8,8,1,0,0.2,fixed,25,25,1,92,21788,21880,"[""25""]",13,0.03491647412844371,0.0658297840543973,288.92494082450867
10,index_9,8,1,0,0.2,fixed,55,55,1,103,6930,7033,"[""55""]",10,0.010132670521931925,0.0214451169394007,42.43653345108032
11,index_10,8,1,0,0.2,fixed,540,540,1,91,11285,11376,"[""540""]",18,0.018209944784113852,0.0376597175521183,49.175649881362915
12,index_11,8,1,0,0.2,fixed,45,45,1,181,23175,23356,"[""45""]",19,0.03940247078419754,0.0740491668534708,331.4280242919922
13,index_12,8,1,0,0.2,fixed,204,204,1,176,7489,7665,"[""204""]",12,0.012667300185010263,0.0268997982515131,37.66398024559021
14,index_13,8,1,0,0.2,fixed,699,699,1,113,23674,23787,"[""699""]",25,0.033441976086803694,0.0557423597100799,231.75475025177002
15,index_14,8,1,0,0.2,fixed,294,294,1,96,10183,10279,"[""294""]",8,0.016219663838151654,0.0295150564148546,102.70143222808838
16,index_15,8,1,0,0.2,fixed,110,155,0,107,12445,12552,"[""155""]",20,0.018300535120090684,0.0277217365314204,78.00752472877502
17,index_16,8,1,0,0.2,fixed,721,721,1,140,18156,18296,"[""721""]",15,0.02977508040039965,0.0553687514010311,228.28796339035034
18,index_17,8,1,0,0.2,fixed,315,48,0,95,16168,16263,"[""48""]",7,0.02842788485342392,0.054770978106553,225.78983902931213
19,index_18,8,1,0,0.2,fixed,468,468,1,95,11787,11882,"[""468""]",11,0.017682535512982045,0.0310842113128595,109.02505159378052
20,index_19,8,1,0,0.2,fixed,902,962,0,142,13882,14024,"[""962""]",8,0.02468979069513329,0.0469999252783381,182.0752387046814
21,index_20,8,1,0,0.2,fixed,211,211,1,165,32088,32253,"[""211""]",14,0.05860798148132182,0.1140999775835014,556.7855439186096
22,index_21,8,1,0,0.2,fixed,80,80,1,104,13740,13844,"[""80""]",8,0.02443469819961421,0.0469252036165284,182.0557336807251
23,index_22,8,1,0,0.2,fixed,480,480,1,126,11129,11255,"[""480""]",11,0.016194457781808457,0.0282447881640888,91.75999617576599
24,index_23,8,1,0,0.2,fixed,236,236,1,113,13853,13966,"[""236""]",9,0.022811253082268505,0.0425913472315624,158.2290506362915
25,index_24,8,1,0,0.2,fixed,73,73,1,154,8726,8880,"[""73""]",8,0.014010565338480871,0.024135096764552,83.30919075012207
26,index_25,8,1,0,0.2,fixed,113,113,1,397,18739,19136,"[""113""]",9,0.03529714031143079,0.0659792273780168,284.29300117492676
27,index_26,8,1,0,0.2,fixed,127,6,0,203,23455,23658,"[""6""]",9,0.04522266354077705,0.0880968392737054,408.24101090431213
28,index_27,8,1,0,0.2,fixed,104,104,1,194,15976,16170,"[""104""]",11,0.02595226687832439,0.0471493686019577,182.2522416114807
29,index_28,8,1,0,0.2,fixed,104,107,0,119,22180,22299,"[""107""]",9,0.04094035054641692,0.0798027348128221,362.33401226997375
30,index_29,8,1,0,0.2,fixed,321,321,1,104,10996,11100,"[""321""]",9,0.01664347930772417,0.0291414481058058,101.6966986656189
