iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,16,1,0,0.92,fixed,C,C,1,153,23555,23708,"[""C""]",31,0.02353510339681012,0.0465670600546479,93.95016241073608
2,index_1,16,1,0,0.92,fixed,D,C,0,160,29691,29851,"[""C""]",31,0.0264160457736028,0.0481367362362653,233.13981652259827
3,index_2,16,1,0,0.92,fixed,C,C,1,184,20817,21001,"[""C""]",31,0.027837459118223655,0.0449973838730306,59.40993022918701
4,index_3,16,1,0,0.92,fixed,B,D,0,158,23628,23786,"[""D""]",31,0.0321749136342132,0.0512760885995,60.98158407211304
5,index_4,16,1,0,0.92,fixed,C,C,1,390,21842,22232,"[""C""]",31,0.0270571478402418,0.0517411778384977,85.45010495185852
6,index_5,16,6,0,0.92,fixed,C,C,1,204,19752,19956,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",25,0.03179801809494218,0.0460438346607755,47.10899901390076
7,index_6,16,1,0,0.92,fixed,C,C,1,196,20792,20988,"[""C""]",30,0.022722191180249318,0.0429044822975408,79.21955418586731
8,index_7,16,1,0,0.92,fixed,D,D,1,476,26768,27244,"[""D""]",33,0.03246752544729699,0.065228765769432,101.74419522285461
9,index_8,16,1,0,0.92,fixed,A,D,0,267,23514,23781,"[""D""]",31,0.025174882226107198,0.0502296378117551,98.75961804389954
10,index_9,16,1,0,0.92,fixed,C,C,1,153,23035,23188,"[""C""]",31,0.02417353638142719,0.0465670600546479,86.56064009666443
11,index_10,16,3,0,0.92,fixed,A,A,1,404,20370,20774,"[""A"", ""A"", ""A""]",28,0.027025000001198802,0.052903900935992,74.04531168937683
12,index_11,16,1,0,0.92,fixed,D,D,1,179,27066,27245,"[""D""]",35,0.026894319451345017,0.0546479855822336,106.87708473205566
13,index_12,16,1,0,0.92,fixed,A,B,0,345,23656,24001,"[""B""]",29,0.02385703205179737,0.0424975292134178,185.7553310394287
14,index_13,16,1,0,0.92,fixed,D,A,0,153,26129,26282,"[""A""]",36,0.02415781180862614,0.0470902854485204,129.55724048614502
15,index_14,16,1,0,0.92,fixed,C,C,1,307,16479,16786,"[""C""]",29,0.02697398128334363,0.0397651299343061,47.85394763946533
16,index_15,16,1,0,0.92,fixed,B,D,0,226,32852,33078,"[""D""]",31,0.031272078961384744,0.0507528632056275,327.0665776729584
17,index_16,16,4,0,0.92,fixed,C,C,1,163,18211,18374,"[""C"", ""C"", ""C"", ""C""]",25,0.027048157546487737,0.0453462008022789,45.18358564376831
18,index_17,16,1,0,0.92,fixed,B,A,0,250,24013,24263,"[""A""]",33,0.030670875078322273,0.0527876286262426,73.63929796218872
19,index_18,16,1,0,0.92,fixed,A,B,0,548,31341,31889,"[""B""]",32,0.031563142425568444,0.0645892680658101,252.1862096786499
