iteration,question_id,correct_answer,final_answer,score,num_chains_generated,total_tokens_generated,window_size,individual_answers_str,correct_answer_in_chains,time_taken,max_kv_cache_usage
1,index_0,33,33,1,8,37156,8,"['33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33', '33']",False,555.0182066621452,27.48356651277291
2,index_1,23,23,1,8,75138,8,"['23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '121', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23', '23']",False,555.0182066621452,27.48356651277291
3,index_2,116,116,1,8,38316,8,"['116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116', '116']",False,555.0182066621452,27.48356651277291
4,index_3,809,809,1,8,56145,8,"['809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809', '809']",False,555.0182066621452,27.48356651277291
5,index_4,197,541,0,63,1599549,8,"['287', '4427', '8603', '2297', '8603', '541', '541', '197', '287', '8603', '4428', '541', '541', '8603', '525', '197', '197', '541', '36', '254', '3371', '8821', '273', '2929', '35', '2026', '197', '4167', '3371', '101', '541', '3371', '2297', '541', '673', '197', '1189', '69', '541', '773', '8603', '541', '2025', '541', '541', '541', '197', '8603', '8603', '273', '541', '4427', '541', '2026', '8603', '273', '541', '197', '541', '541', '4427', '505', '8603']",False,3885.1274466350164,27.48356651277291
6,index_5,385,24,0,8,157939,8,"['24', '24', '24', '24', '24', '24', '24', '24', '24', '24', '48', '24', '24', '24', '24', '24', '48', '24', '24', '48', '24', '96', '12', '24', '24', '24', '24', '96', '24', '24', '24', '24', '24', '24', '24', '24', '24', '24', '24', '96', '16', '24', '24', '24', '24', '24', '96', '24', '24', '24', '24', '24', '24', '24', '24', '24', '24', '24', '24', '24', '24', '24', '24', '48']",False,555.0182066621452,27.48356651277291
7,index_6,371,371,1,64,1617360,8,"['373', '201', '471', '419', '495', '377', '373', '209', '617', '403', '89', '57', '419', '419', '365', '371', '379', '419', '419', '373', '371', '371', '387', '191', '503', '63', '617', '371', '363', '371', '503', '355', '371', '369', '371', '213', '419', '371', '419', '419', '411', '371', '395', '419', '371', '503', '419', '503', '383', '419', '411', '31', '371', '411', '371', '365', '363', '391', '491', '337', '389', '365', '371', '419']",False,4440.1456532971615,27.48356651277291
8,index_7,601,601,1,32,556314,8,"['601', '13', '601', '601', '601', '601', '601', '601', '601', '601', '601', '601', '601', '61', '601', '601', '601', '601', '601', '601', '601', '13', '601', '601', '601', '601', '601', '601', '601', '601', '601', '601', '601', '13', '601', '601', '601', '601', '601', '601', '25', '601', '601', '601', '601', '601', '601', '601', '601', '601', '601', '601', '601', '601', '601', '601', '601', '601', '601', '601', '601', '601', '601']",False,2220.0728266485808,27.48356651277291
9,index_8,25,25,1,8,56312,8,"['25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25', '25']",False,555.0182066621452,27.48356651277291
10,index_9,55,55,1,8,51404,8,"['55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55', '55']",False,555.0182066621452,27.48356651277291
11,index_10,540,540,1,8,44171,8,"['540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540', '540']",False,555.0182066621452,27.48356651277291
12,index_11,45,45,1,8,81989,8,"['45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45']",False,555.0182066621452,27.48356651277291
13,index_12,204,204,1,8,23900,8,"['204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204', '204']",False,555.0182066621452,27.48356651277291
