iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
9,index_8,32,1,0,0.7,A,D,0,262,23621,23883,"[""D""]",12,0.024650316471866583,0.0938504072330568,80.29377889633179
11,index_10,32,3,0,0.7,A,A,1,399,24972,25371,"[""A"", ""A"", ""D""]",15,0.04689093551487504,0.1250093402077262,41.328264474868774
12,index_11,32,2,0,0.7,D,D,1,174,34314,34488,"[""D"", ""D""]",27,0.04182282039198589,0.0941492938802959,82.38531637191772
13,index_12,32,1,0,0.7,A,A,1,340,23699,24039,"[""A""]",8,0.028400924975518785,0.095643727116491,169.88535118103027
15,index_14,32,1,0,0.7,C,D,0,302,19532,19834,"[""D""]",13,0.022151333526023664,0.0952701188074423,78.57489156723022
17,index_16,32,2,0,0.7,C,C,1,158,21095,21253,"[""C"", ""C""]",11,0.02619052598088578,0.0919076440260031,41.83052849769592
18,index_17,32,1,0,0.7,B,A,0,245,28857,29102,"[""A""]",12,0.03017142338759155,0.1043114398864231,184.0394093990326
19,index_18,32,1,0,0.7,A,B,0,543,28987,29530,"[""B""]",15,0.034035206030228964,0.1464544571471269,171.1311388015747
26,index_25,32,1,0,0.7,D,A,0,372,29012,29384,"[""A""]",15,0.034643638652331527,0.1248598968841067,222.59112119674683
28,index_27,32,1,0,0.7,A,A,1,327,32023,32350,"[""A""]",19,0.03222104036537082,0.1434655906747366,145.94103527069092
32,index_31,32,1,0,0.7,C,C,1,156,30440,30596,"[""C""]",12,0.032665056635722146,0.0878726742882761,226.2474377155304
34,index_33,32,1,0,0.7,A,C,0,472,27239,27711,"[""C""]",15,0.03165770933583628,0.1369648060972875,157.80124759674072
39,index_38,32,2,0,0.7,B,B,1,243,16905,17148,"[""B"", ""B""]",11,0.027848775532759107,0.0893671075244713,32.98087000846863
41,index_40,32,1,0,0.7,A,A,1,147,17251,17398,"[""A""]",9,0.017070853732237105,0.0741986101770902,63.3078875541687
46,index_45,32,1,0,0.7,C,A,0,98,23306,23404,"[""A""]",8,0.021692616172006615,0.0996039751924082,115.86908674240112
53,index_52,32,1,0,0.7,D,B,0,231,28824,29055,"[""B""]",13,0.030394170147535378,0.1099902861839647,190.05000185966492
57,index_56,32,1,0,0.7,D,B,0,191,32296,32487,"[""B""]",17,0.038800099820670494,0.0887693342299932,288.7853093147278
70,index_69,32,1,0,0.7,D,D,1,165,28673,28838,"[""D""]",19,0.027017553391668923,0.1052828214899499,110.31404423713684
73,index_72,32,4,0,0.7,C,C,1,187,21466,21653,"[""C"", ""C"", ""C"", ""C""]",13,0.03498997561169002,0.0960920570873495,36.47326970100403
75,index_74,32,1,0,0.7,B,B,1,639,30092,30731,"[""B""]",17,0.03920119008780315,0.1706642755734887,101.43974614143372
76,index_75,32,2,0,0.7,D,B,0,221,28924,29145,"[""C"", ""B""]",15,0.03329349395118586,0.1188074422775162,61.70297431945801
