iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,64,64,0,0.98,fixed,C,C,1,148,199862,200010,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",87,0.2133101232617381,0.6557838660578387,171.04507422447205
2,index_1,64,34,0,0.98,fixed,D,D,1,155,431635,431790,"[""D"", ""B"", ""B"", ""D"", ""C"", ""C"", ""D"", ""B"", ""D"", ""D"", ""B"", ""B"", ""D"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""D"", ""D"", ""C"", ""D"", ""D"", ""D"", ""D"", ""C"", ""C"", ""D"", ""D""]",157,0.6513462947804878,1.0,359.99617075920105
3,index_2,64,64,0,0.98,fixed,C,C,1,179,211142,211321,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",81,0.3347583139554702,0.7693302891933029,133.02347993850708
4,index_3,64,64,0,0.98,fixed,B,B,1,153,171578,171731,"[""D"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""D"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""D"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""D"", ""A"", ""B"", ""B"", ""D"", ""B"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""D"", ""D"", ""B"", ""B""]",77,0.2717546247512,0.4968036529680365,107.06923699378969
5,index_4,64,37,0,0.98,fixed,C,C,1,385,296632,297017,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C"", ""C"", ""A"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""A"", ""C"", ""C""]",112,0.3165146304846381,0.9757990867579908,270.86012077331543
6,index_5,64,60,0,0.98,fixed,C,C,1,199,446270,446469,"[""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""B"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C""]",175,0.6905794521155074,0.9991628614916286,451.2073729038239
7,index_6,64,23,0,0.98,fixed,C,C,1,191,338078,338269,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",164,0.3130137381459482,0.724124809741248,444.5141475200653
8,index_7,64,41,0,0.98,fixed,D,C,0,471,440487,440958,"[""C"", ""A"", ""D"", ""C"", ""D"", ""A"", ""C"", ""A"", ""A"", ""D"", ""C"", ""A"", ""C"", ""C"", ""C"", ""A"", ""A"", ""A"", ""C"", ""A"", ""C"", ""A"", ""C"", ""C"", ""D"", ""A"", ""C"", ""C"", ""A"", ""A"", ""A"", ""C"", ""C"", ""D"", ""C"", ""C"", ""A"", ""D"", ""C"", ""D"", ""C""]",132,0.2832644920422057,1.0,743.7973055839539
9,index_8,64,58,0,0.98,fixed,A,A,1,262,244924,245186,"[""A"", ""C"", ""C"", ""A"", ""A"", ""A"", ""D"", ""A"", ""D"", ""C"", ""A"", ""A"", ""A"", ""C"", ""C"", ""D"", ""C"", ""C"", ""A"", ""A"", ""B"", ""C"", ""A"", ""C"", ""D"", ""C"", ""C"", ""C"", ""A"", ""C"", ""A"", ""C"", ""C"", ""A"", ""B"", ""A"", ""C"", ""C"", ""B"", ""A"", ""A"", ""D"", ""C"", ""C"", ""A"", ""A"", ""A"", ""A"", ""C"", ""C"", ""C"", ""A"", ""D"", ""A"", ""C"", ""C"", ""A"", ""A""]",100,0.3207246264574093,0.7248097412480974,191.1278576850891
10,index_9,64,32,0,0.98,fixed,C,C,1,148,332937,333085,"[""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""B"", ""B"", ""C"", ""D"", ""C"", ""B"", ""D"", ""C"", ""C"", ""C"", ""B"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C""]",112,0.6271801979137375,1.0,218.45561385154724
