iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,16,1,0,0.9,annealing,C,C,1,153,12887,13040,"[""C""]",17,0.012593564028746148,0.0358118714028253,67.83026957511902
2,index_1,16,1,0,0.9,annealing,D,D,1,160,22184,22344,"[""D""]",10,0.030036637814345925,0.0581361548747165,382.43480038642883
3,index_2,16,1,0,0.9,annealing,C,C,1,184,16615,16799,"[""C""]",19,0.018490135166457214,0.0427300738329167,56.495808839797974
4,index_3,16,1,0,0.9,annealing,B,D,0,158,15909,16067,"[""D""]",11,0.014824331160965704,0.0370327306551944,120.56324338912964
5,index_4,16,1,0,0.9,annealing,C,C,1,390,16771,17161,"[""C""]",20,0.021448486372389403,0.0567408871577234,65.0087902545929
6,index_5,16,1,0,0.9,annealing,C,C,1,204,21184,21388,"[""C""]",19,0.022657160279936247,0.0397069937794314,236.01150250434875
7,index_6,16,1,0,0.9,annealing,C,C,1,196,11763,11959,"[""C""]",9,0.011599026131320717,0.0381373175978141,65.15590500831604
8,index_7,16,1,0,0.9,annealing,D,D,1,476,21125,21601,"[""D""]",16,0.02283911923067131,0.0772048136736236,103.8465416431427
9,index_8,16,1,0,0.9,annealing,A,A,1,267,14896,15163,"[""A""]",16,0.015071643533837048,0.0423231207487936,89.0960214138031
10,index_9,16,1,0,0.9,annealing,C,C,1,153,10859,11012,"[""C""]",10,0.010327388681061147,0.0317423405615953,68.63278150558472
11,index_10,16,1,0,0.9,annealing,A,A,1,404,10679,11083,"[""A""]",12,0.02064428710455852,0.0462182431253996,31.676632165908813
12,index_11,16,1,0,0.9,annealing,D,D,1,179,24713,24892,"[""D""]",26,0.021591826775969568,0.0467414685192721,140.75426387786865
13,index_12,16,1,0,0.9,annealing,A,A,1,345,14753,15098,"[""A""]",12,0.017318152847512796,0.0407534445671763,149.4702649116516
14,index_13,16,2,0,0.9,annealing,D,D,1,153,12530,12683,"[""D"", ""D""]",12,0.012151232667619683,0.0372071391198186,66.15220808982849
15,index_14,16,1,0,0.9,annealing,C,C,1,307,12175,12482,"[""C""]",15,0.018093653830829733,0.0409859891866751,40.68113040924072
16,index_15,16,1,0,0.9,annealing,B,B,1,226,23143,23369,"[""B""]",12,0.031060866424940485,0.0595895587465844,393.0117943286896
17,index_16,16,1,0,0.9,annealing,C,C,1,163,11173,11336,"[""C""]",13,0.01545010000419065,0.0362769606418231,31.71923279762268
18,index_17,16,1,0,0.9,annealing,B,A,0,250,18258,18508,"[""A""]",14,0.01715714434511703,0.0512760885995,98.9795491695404
19,index_18,16,1,0,0.9,annealing,A,B,0,548,19059,19607,"[""B""]",20,0.02199995157778759,0.057845474100343,168.89679646492004
20,index_19,16,13,0,0.9,annealing,A,A,1,203,15538,15741,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",13,0.032671854626392105,0.0539503517237369,25.791877269744873
21,index_20,16,1,0,0.9,annealing,B,B,1,282,15151,15433,"[""B""]",13,0.0158117397281129,0.0436021161560374,122.7138934135437
22,index_21,16,2,0,0.9,annealing,D,C,0,142,11621,11763,"[""C"", ""C""]",11,0.012039388816174999,0.0362769606418231,47.09284830093384
23,index_22,16,1,0,0.9,annealing,C,B,0,280,22019,22299,"[""B""]",11,0.026984333264644153,0.050055229347131,317.1979606151581
24,index_23,16,1,0,0.9,annealing,B,D,0,230,23208,23438,"[""D""]",14,0.02304617112840923,0.050462182431254,230.35486388206482
25,index_24,16,1,0,0.9,annealing,B,C,0,368,19659,20027,"[""C""]",17,0.021411458503221417,0.0499970931922563,193.1400706768036
26,index_25,16,1,0,0.9,annealing,D,A,0,377,19829,20206,"[""A""]",11,0.025187487909424346,0.0492994593337596,280.4760015010834
27,index_26,16,1,0,0.9,annealing,A,A,1,169,14383,14552,"[""A""]",11,0.013577483061011239,0.0362769606418231,107.28892159461975
