iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,8,1,0,0.92,fixed,33,33,1,194,10081,10275,"[""33""]",17,0.012106995682916242,0.0216266496133945,68.81545233726501
2,index_1,8,1,0,0.92,fixed,23,23,1,226,15827,16053,"[""23""]",17,0.02045031655585876,0.0368001860356955,212.72828078269958
3,index_2,8,1,0,0.92,fixed,116,116,1,172,12461,12633,"[""116""]",17,0.014338319093936049,0.0226731004011394,119.22760558128357
4,index_3,8,1,0,0.92,fixed,809,809,1,145,12743,12888,"[""809""]",16,0.015475062362697177,0.0270333120167431,143.08745980262756
5,index_4,8,1,0,0.92,fixed,197,611,0,141,32764,32905,"[""611""]",15,0.05250868259855125,0.1038893087611185,751.7657301425934
6,index_5,8,1,0,0.92,fixed,385,24,0,128,25412,25540,"[""24""]",17,0.035766966953450816,0.0694145689204116,476.2544195652008
7,index_6,8,1,0,0.92,fixed,371,387,0,123,30973,31096,"[""387""]",16,0.04738055020145174,0.0933666647287948,661.7515804767609
8,index_7,8,1,0,0.92,fixed,601,61,0,119,36651,36770,"[""61""]",19,0.05694769777415344,0.1125515958374513,814.982396364212
9,index_8,8,1,0,0.92,fixed,25,25,1,97,11851,11948,"[""25""]",16,0.01385629824200868,0.0240683681181326,127.95657300949097
10,index_9,8,1,0,0.92,fixed,55,55,1,108,10010,10118,"[""55""]",16,0.011267547590489273,0.0174408464624149,92.24264764785767
11,index_10,8,1,0,0.92,fixed,540,540,1,96,10317,10413,"[""540""]",19,0.01191207386252763,0.0177896633916633,89.31836700439453
12,index_11,8,1,0,0.92,fixed,45,45,1,186,14169,14355,"[""45""]",18,0.01772218306034076,0.0312191151677228,168.16776084899902
13,index_12,8,1,0,0.92,fixed,204,204,1,181,9433,9614,"[""204""]",22,0.014577495736278876,0.0205801988256496,47.56151866912842
14,index_13,8,1,0,0.92,fixed,699,699,1,118,25547,25665,"[""699""]",17,0.03629815714949938,0.0706354281727806,484.6617498397827
15,index_14,8,1,0,0.92,fixed,294,294,1,101,10032,10133,"[""294""]",17,0.011967009750128694,0.0200569734317772,105.88187599182129
16,index_15,8,1,0,0.92,fixed,110,155,0,112,13738,13850,"[""155""]",17,0.01682663272161567,0.030347072844602,162.57380151748657
17,index_16,8,1,0,0.92,fixed,721,721,1,145,14178,14323,"[""721""]",19,0.017505503013205866,0.0310447067030986,168.16373825073242
18,index_17,8,1,0,0.92,fixed,315,27,0,100,34512,34612,"[""27""]",16,0.05373705955949081,0.1063310272658566,769.7882471084595
19,index_18,8,1,0,0.92,fixed,468,468,1,100,14567,14667,"[""468""]",16,0.018155953145456934,0.033428289052962,188.38740229606628
20,index_19,8,1,0,0.92,fixed,902,1024,0,147,29466,29613,"[""1024""]",16,0.04479793574470755,0.0880181384803209,624.0286827087402
21,index_20,8,1,0,0.92,fixed,211,211,1,170,34901,35071,"[""211""]",18,0.05281782486531046,0.1038311726062438,749.3774499893188
22,index_21,8,1,0,0.92,fixed,80,80,1,109,37582,37691,"[""80""]",15,0.061139640256994025,0.1213882913784082,890.6581733226776
23,index_22,8,1,0,0.92,fixed,480,480,1,131,12531,12662,"[""480""]",15,0.01641474190953646,0.0302889366897273,162.00278282165527
24,index_23,8,1,0,0.92,fixed,236,236,1,118,17910,18028,"[""236""]",16,0.024167131098843057,0.0461019708156502,288.19215059280396
25,index_24,8,1,0,0.92,fixed,73,73,1,159,11125,11284,"[""73""]",15,0.014305596328954446,0.0254636358351258,134.44675612449646
26,index_25,8,1,0,0.92,fixed,113,113,1,402,19652,20054,"[""113""]",16,0.028599878637465354,0.0533108540201151,340.93507647514343
27,index_26,8,1,0,0.92,fixed,127,7,0,208,38779,38987,"[""7""]",17,0.06016787910088336,0.1184814836346723,867.1833388805389
28,index_27,8,1,0,0.92,fixed,104,104,1,199,13169,13368,"[""104""]",17,0.016450747580309334,0.0285448520434858,150.69566822052002
29,index_28,8,1,0,0.92,fixed,104,104,1,124,17548,17672,"[""104""]",16,0.023473645461497335,0.0445322946340328,274.8986394405365
30,index_29,8,1,0,0.92,fixed,321,321,1,109,15102,15211,"[""321""]",16,0.019261734069955256,0.0358118714028253,207.25934267044067
