iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,64,64,C,C,1,148,210554,154187,56239,210702,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.1495108277751674,0.2995731583379308,83.29210305213928
2,index_1,64,64,D,B,0,155,500993,474676,26189,501148,"[""B"", ""C"", ""B"", ""D"", ""D"", ""B"", ""D"", ""D"", ""D"", ""D"", ""C"", ""D"", ""D"", ""B"", ""B"", ""B"", ""D"", ""B"", ""D"", ""B"", ""B"", ""C"", ""B"", ""D"", ""B"", ""B"", ""D"", ""D"", ""B"", ""D"", ""C"", ""B"", ""B"", ""C"", ""C"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""D"", ""B"", ""C"", ""C"", ""C"", ""D"", ""D"", ""D"", ""B"", ""B"", ""C"", ""D"", ""C"", ""D"", ""B"", ""C"", ""D"", ""D"", ""D"", ""D"", ""B""]",0.3301760466380947,0.682075553877871,284.8986089229584
3,index_2,64,64,C,C,1,179,220228,162326,57774,220407,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.1547704592130397,0.3347658178228171,90.81520104408264
4,index_3,64,64,B,B,1,153,188887,160384,28375,189040,"[""D"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""D"", ""B"", ""B"", ""B"", ""A"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""A"", ""B"", ""B""]",0.10035536341823233,0.2148436365748134,99.02911949157715
5,index_4,64,64,C,C,1,385,320491,264381,55982,320876,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.13666455062343127,0.3997212462615058,296.3907494544983
6,index_5,64,64,C,C,1,199,381615,338278,43208,381814,"[""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.21161507494841453,0.3255030633874386,370.0476293563843
7,index_6,64,64,C,C,1,191,611911,563873,47910,612102,"[""D"", ""B"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""B"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""B"", ""C"", ""B"", ""C"", ""C"", ""B"", ""B"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.4082544496983522,0.6801881587734835,498.1055500507355
8,index_7,64,64,D,D,1,471,560784,513563,47092,561255,"[""D"", ""D"", ""D"", ""A"", ""D"", ""C"", ""C"", ""D"", ""D"", ""D"", ""C"", ""A"", ""D"", ""D"", ""D"", ""D"", ""C"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""C"", ""D"", ""C"", ""C"", ""D"", ""D"", ""D"", ""C"", ""C"", ""D"", ""D"", ""D"", ""D"", ""C"", ""D"", ""C"", ""C"", ""D"", ""D"", ""C"", ""D"", ""D"", ""D"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.38669468000443835,0.7705508290020036,357.01049399375916
9,index_8,64,64,A,C,0,262,269002,230244,38631,269264,"[""B"", ""C"", ""C"", ""D"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""A"", ""C"", ""A"", ""A"", ""C"", ""C"", ""D"", ""D"", ""C"", ""C"", ""C"", ""D"", ""C"", ""A"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""A"", ""C"", ""A"", ""C"", ""A"", ""C"", ""D"", ""C"", ""A"", ""C"", ""A"", ""C"", ""C"", ""C"", ""C"", ""D"", ""B"", ""A"", ""A"", ""C"", ""C"", ""A"", ""C"", ""A"", ""B"", ""C"", ""D""]",0.18978650665394278,0.3150207613461483,124.39505410194397
10,index_9,64,64,C,C,1,148,416829,386842,29859,416977,"[""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""B"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C"", ""B"", ""D"", ""D"", ""B"", ""C"", ""D"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C"", ""C"", ""B"", ""C"", ""A"", ""C"", ""B"", ""B""]",0.29857166077237673,0.6199366996718836,196.32523131370544
