iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,8,4,0,0.92,fixed,103,103,1,84,38193,38277,"[""103"", ""103"", ""103"", ""103""]",34,0.06613723355787024,0.1255740945293878,108.1284077167511
2,index_1,8,8,0,0.92,fixed,3375,3375,1,153,20957,21110,"[""3375"", ""3375"", ""3375"", ""3375"", ""3375"", ""3375"", ""3375"", ""3375""]",18,0.03474192443753709,0.0667403057961746,66.58931803703308
3,index_2,8,1,0,0.92,fixed,\frac{1}{576},576,0,172,54114,54286,"[""576""]",54,0.059197415064850344,0.1609208766932155,328.31567335128784
4,index_3,8,1,0,0.92,fixed,-984,-984,1,123,52392,52515,"[""-984""]",40,0.05136622719832646,0.1297598976803674,532.5525908470154
5,index_4,8,8,0,0.92,fixed,890,890,1,143,57654,57797,"[""890"", ""890"", ""890"", ""890"", ""890"", ""890"", ""890"", ""890""]",51,0.09891052234876986,0.1916167664670658,171.33426904678345
6,index_5,8,1,0,0.92,fixed,\frac{1311}{2017},\dfrac{1311}{2017},1,113,37121,37234,"[""\\dfrac{1311}{2017}""]",29,0.03657910886844652,0.0911574908435556,334.6647243499756
7,index_6,8,1,0,0.92,fixed,\frac{9 \sqrt{23}}{23},\dfrac{2\sqrt{22}}{5},0,143,66358,66501,"[""\\dfrac{2\\sqrt{22}}{5}""]",55,0.0657046335176219,0.133945700831347,728.7563860416412
8,index_7,8,1,0,0.92,fixed,1-\frac{2}{\pi},\dfrac{4}{11},0,156,69828,69984,"[""\\dfrac{4}{11}""]",51,0.0680358003410126,0.1804546247311202,688.1289486885071
9,index_8,8,1,0,0.92,fixed,1037,1037,1,243,40405,40648,"[""1037""]",39,0.04122860548282,0.0995290971455148,357.5920400619507
10,index_9,8,1,0,0.92,fixed,"\frac{-1+\sqrt{17}}{2}, \frac{-1-\sqrt{17}}{2}",-3,0,146,55604,55750,"[""-3""]",38,0.058659132339661704,0.100924364862508,738.2241287231445
11,index_10,8,1,0,0.92,fixed,56,56,1,116,40476,40592,"[""56""]",28,0.04069079928294522,0.0925527585605487,443.5841827392578
12,index_11,8,1,0,0.92,fixed,29,20,0,147,58783,58930,"[""20""]",36,0.061429315141051204,0.1237137375733968,768.6279673576355
13,index_12,8,1,0,0.92,fixed,105,266,0,154,44816,44970,"[""266""]",36,0.04426311832287926,0.1153421312714376,405.9804136753082
14,index_13,8,1,0,0.92,fixed,2304,70,0,188,42344,42532,"[""70""]",30,0.042595662285636236,0.1027847218184989,432.5969660282135
15,index_14,8,1,0,0.92,fixed,200,202,0,149,32177,32326,"[""202""]",37,0.036558128625742134,0.0939480262775419,161.32435631752014
16,index_15,8,1,0,0.92,fixed,6300,5400,0,119,38992,39111,"[""5400""]",28,0.03900032933850416,0.0930178477995465,401.9930408000946
17,index_16,8,1,0,0.92,fixed,2^{25} \cdot 26!,26!,0,147,44178,44325,"[""26!""]",39,0.04407711022337349,0.1190628451834195,345.8594937324524
18,index_17,8,1,0,0.92,fixed,\frac{2025}{101},1825,0,222,37697,37919,"[""1825""]",33,0.03824324041248957,0.0958083832335329,336.79836797714233
19,index_18,8,1,0,0.92,fixed,\frac{4}{9},\dfrac{1}{2},0,95,38615,38710,"[""\\dfrac{1}{2}""]",27,0.03834091948812522,0.0920876693215511,391.10823130607605
20,index_19,8,1,0,0.92,fixed,\frac{448}{3},4(H_{15} - 1),0,171,51527,51698,"[""4(H_{15} - 1)""]",29,0.05777598563725077,0.1040637172257427,754.6502804756165
21,index_20,8,8,0,0.92,fixed,26,26,1,139,24211,24350,"[""26"", ""26"", ""26"", ""26"", ""26"", ""26"", ""26"", ""26""]",24,0.04121742954401438,0.0799953491076099,74.19072651863098
22,index_21,8,1,0,0.92,fixed,63,63,1,140,33560,33700,"[""63""]",31,0.03430972659906819,0.0922039416313005,224.7675564289093
23,index_22,8,2,0,0.92,fixed,8\sqrt{10},8\sqrt{10},1,135,48175,48310,"[""8\\sqrt{10}"", ""8\\sqrt{10}""]",55,0.06117349879530622,0.1372013255043311,216.40676879882812
24,index_23,8,1,0,0.92,fixed,20,20,1,682,51160,51842,"[""20""]",32,0.057289740092454335,0.1232486483343991,644.8096535205841
25,index_24,8,1,0,0.92,fixed,\sqrt{23}-2 \sqrt{3},2,0,151,57289,57440,"[""2""]",31,0.0643281084771299,0.1166792628335562,854.0164332389832
26,index_25,8,2,0,0.92,fixed,9\sqrt{15},9\sqrt{15},1,144,54827,54971,"[""9\\sqrt{15}"", ""9\\sqrt{15}""]",61,0.05951259705358505,0.1337131562118481,353.7835440635681
27,index_26,8,1,0,0.92,fixed,\frac{7}{18},\dfrac{3}{8},0,156,65150,65306,"[""\\dfrac{3}{8}""]",55,0.06893329672858065,0.1181326667054241,881.010929107666
28,index_27,8,1,0,0.92,fixed,\sqrt{6},\sqrt{6},1,165,54881,55046,"[""\\sqrt{6}""]",48,0.05817908525806296,0.1646415906051973,355.6313078403473
