iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,64,3,0,0.9,annealing,C,C,1,148,40712,40860,"[""C"", ""C"", ""C""]",18,0.038229457910989924,0.1714862138533961,77.85352373123169
2,index_1,64,1,0,0.9,annealing,D,B,0,155,39572,39727,"[""B""]",13,0.029222516957034043,0.1722334304714936,123.08894181251526
3,index_2,64,1,0,0.9,annealing,C,C,1,179,59407,59586,"[""C""]",23,0.06076248327919672,0.2385115444967496,74.23156905174255
4,index_3,64,1,0,0.9,annealing,B,B,1,153,42483,42636,"[""B""]",17,0.05584905027654664,0.1977135171486214,45.5830454826355
5,index_4,64,1,0,0.9,annealing,C,C,1,385,44247,44632,"[""C""]",27,0.04830392347090191,0.2367929462751251,87.79713726043701
6,index_5,64,2,0,0.9,annealing,C,C,1,199,37982,38181,"[""C"", ""C""]",16,0.03971692599218105,0.1856833295972502,60.40706276893616
7,index_6,64,1,0,0.9,annealing,C,C,1,191,50937,51128,"[""C""]",17,0.039856290479326914,0.2031681984607337,303.25990104675293
8,index_7,64,1,0,0.9,annealing,D,D,1,471,66374,66845,"[""D""]",31,0.05941984181710552,0.3192109392512889,143.95681762695312
9,index_8,64,2,0,0.9,annealing,A,B,0,7963,44017,51980,"[""B"", ""C""]",19,0.036694014350613036,0.2002540536501531,103.59766435623169
10,index_9,64,1,0,0.9,annealing,C,C,1,148,39017,39165,"[""C""]",15,0.028094245193920047,0.15788687140402,103.70148086547852
11,index_10,64,1,0,0.9,annealing,A,B,0,399,42699,43098,"[""B""]",20,0.07380092202275595,0.242397070910857,50.38452482223511
12,index_11,64,3,0,0.9,annealing,D,D,1,174,59336,59510,"[""D"", ""D"", ""D""]",33,0.06573556898634705,0.1789583800343719,83.89545774459839
13,index_12,64,1,0,0.9,annealing,A,A,1,340,40175,40515,"[""A""]",16,0.03465675642512572,0.2083987147874169,179.09391117095947
14,index_13,64,1,0,0.9,annealing,D,D,1,148,36557,36705,"[""D""]",17,0.03843461521446842,0.1776133901217963,52.785892963409424
15,index_14,64,1,0,0.9,annealing,C,C,1,302,34855,35157,"[""C""]",13,0.035865632861500796,0.2136292311140999,76.40716791152954
16,index_15,64,1,0,0.9,annealing,B,C,0,221,35937,36158,"[""C""]",16,0.030754615326982,0.1841141746992453,195.83524870872498
17,index_16,64,1,0,0.9,annealing,C,C,1,158,44349,44507,"[""C""]",23,0.03170160543838876,0.160053799596503,140.0509090423584
18,index_17,64,1,0,0.9,annealing,B,A,0,245,49146,49391,"[""A""]",20,0.03604890332327543,0.2119106328924755,191.59631729125977
19,index_18,64,1,0,0.9,annealing,A,B,0,543,47100,47643,"[""B""]",15,0.04362276146808563,0.2790854068594486,279.7780294418335
20,index_19,64,14,0,0.9,annealing,A,A,1,198,60458,60656,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",27,0.12419447563816392,0.2332063065082567,40.6076283454895
21,index_20,64,1,0,0.9,annealing,B,A,0,277,43891,44168,"[""A""]",15,0.033972630627025664,0.2157214376447732,155.676105260849
22,index_21,64,2,0,0.9,annealing,D,C,0,137,38542,38679,"[""C"", ""C""]",13,0.04275293322049504,0.1895688560113576,48.41099214553833
23,index_22,64,1,0,0.9,annealing,C,D,0,275,38938,39213,"[""D""]",11,0.03209607584873089,0.209893148023612,146.95949578285217
24,index_23,64,1,0,0.9,annealing,B,A,0,225,56301,56526,"[""A""]",15,0.04307359436728914,0.2284241201524322,321.977534532547
25,index_24,64,1,0,0.9,annealing,B,C,0,363,48990,49353,"[""C""]",22,0.03996311612253572,0.2410520809982813,197.8904731273651
26,index_25,64,1,0,0.9,annealing,D,A,0,372,45744,46116,"[""A""]",26,0.039258714291873685,0.240230142718374,198.66531205177307
27,index_26,64,1,0,0.9,annealing,A,B,0,164,45409,45573,"[""B""]",20,0.033177520315543524,0.200627661959202,109.78122115135193
28,index_27,64,1,0,0.9,annealing,A,C,0,327,52991,53318,"[""C""]",19,0.04060743987219195,0.265934394380931,175.9040288925171
29,index_28,64,1,0,0.9,annealing,A,A,1,403,46456,46859,"[""A""]",19,0.04533383185800826,0.2843159231861316,103.07439470291138
30,index_29,64,1,0,0.9,annealing,A,B,0,101,34704,34805,"[""B""]",16,0.024277282214226526,0.1452589105581708,108.49949908256531
31,index_30,64,1,0,0.9,annealing,C,C,1,135,44640,44775,"[""C""]",18,0.03155876205174592,0.1917357842038407,160.8037884235382
32,index_31,64,1,0,0.9,annealing,C,C,1,156,42135,42291,"[""C""]",17,0.029678717505118597,0.157587984756781,129.3347146511078
33,index_32,64,1,0,0.9,annealing,C,A,0,322,38196,38518,"[""A""]",14,0.03194294982783573,0.2253605320182321,133.77700781822205
34,index_33,64,1,0,0.9,annealing,A,C,0,472,44431,44903,"[""C""]",19,0.04019088241369494,0.2863334080549952,147.278950214386
35,index_34,64,1,0,0.9,annealing,C,D,0,318,43814,44132,"[""D""]",17,0.03720147043248869,0.2172905925427781,114.8160707950592
36,index_35,64,1,0,0.9,annealing,B,B,1,154,42986,43140,"[""B""]",24,0.032716232227015786,0.1621460061271762,188.83506774902344
37,index_36,64,1,0,0.9,annealing,D,D,1,162,40045,40207,"[""D""]",15,0.030579943423821424,0.1853844429500112,162.5931315422058
38,index_37,64,1,0,0.9,annealing,C,C,1,303,37453,37756,"[""C""]",15,0.0317266276884704,0.2091459314055144,110.2285509109497
39,index_38,64,2,0,0.9,annealing,B,B,1,243,36072,36315,"[""B"", ""B""]",15,0.05775976829342853,0.1865052678771576,41.81194734573364
40,index_39,64,10,0,0.9,annealing,A,B,0,173,44339,44512,"[""B"", ""B"", ""A"", ""B"", ""B"", ""B"", ""A"", ""A"", ""B"", ""B""]",22,0.06136315244008746,0.2050362400059777,42.253220558166504
41,index_40,64,1,0,0.9,annealing,A,B,0,147,33194,33341,"[""B""]",16,0.026405157718935045,0.1604274079055517,89.93612432479858
42,index_41,64,1,0,0.9,annealing,D,D,1,234,43486,43720,"[""D""]",19,0.04679087806952973,0.2069790032130314,64.49417519569397
43,index_42,64,1,0,0.9,annealing,A,D,0,270,37976,38246,"[""D""]",13,0.034931999691148075,0.2042143017260703,82.19548726081848
44,index_43,64,1,0,0.9,annealing,A,A,1,313,37171,37484,"[""A""]",13,0.06959873780117305,0.2211761189568856,38.30040192604065
45,index_44,64,1,0,0.9,annealing,D,D,1,180,36456,36636,"[""D""]",14,0.028602640669527515,0.1630426660688934,89.44325923919678
46,index_45,64,1,0,0.9,annealing,C,D,0,98,39268,39366,"[""D""]",14,0.03164088012345572,0.1631921093925129,227.15860152244568
47,index_46,64,1,0,0.9,annealing,D,D,1,217,53248,53465,"[""D""]",18,0.03776317206444592,0.2332063065082567,139.89741778373718
48,index_47,64,1,0,0.9,annealing,A,D,0,154,35909,36063,"[""D""]",16,0.03064262319948887,0.1224688037061944,218.66156578063965
49,index_48,64,1,0,0.9,annealing,B,D,0,427,41794,42221,"[""D""]",13,0.039146676096898925,0.2524844952551744,260.4515826702118
50,index_49,64,2,0,0.9,annealing,D,D,1,201,35114,35315,"[""D"", ""D""]",13,0.06245833879441516,0.196592692221475,33.923298835754395
51,index_50,64,1,0,0.9,annealing,D,C,0,168,38095,38263,"[""C""]",13,0.03150992375627232,0.1714114921915863,221.0073001384735
52,index_51,64,1,0,0.9,annealing,C,C,1,252,54095,54347,"[""C""]",18,0.04721319030728702,0.2119106328924755,399.34524941444397
53,index_52,64,1,0,0.9,annealing,D,C,0,231,51238,51469,"[""C""]",14,0.03792975799976544,0.2181125308226854,225.17582654953003
54,index_53,64,1,0,0.9,annealing,A,A,1,185,48229,48414,"[""A""]",19,0.03456236778266272,0.2172905925427781,120.38206386566162
55,index_54,64,1,0,0.9,annealing,B,D,0,203,46412,46615,"[""D""]",21,0.03497715402219323,0.1966674138832848,199.0632562637329
56,index_55,64,1,0,0.9,annealing,A,A,1,259,49103,49362,"[""A""]",18,0.03634235305493734,0.2143017260703877,193.76333165168762
57,index_56,64,1,0,0.9,annealing,D,B,0,191,48262,48453,"[""B""]",21,0.04158958149800695,0.1791825450198012,335.52565813064575
58,index_57,64,6,0,0.9,annealing,A,D,0,87,46752,46839,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",22,0.06009090528026998,0.1703653889262497,44.292421102523804
59,index_58,64,1,0,0.9,annealing,A,A,1,136,52841,52977,"[""A""]",23,0.04666263945512976,0.208025106478368,76.44038224220276
60,index_59,64,1,0,0.9,annealing,C,C,1,204,42647,42851,"[""C""]",23,0.03284992241438952,0.1751475752820742,163.17408537864685
61,index_60,64,1,0,0.9,annealing,C,C,1,226,43432,43658,"[""C""]",28,0.03554188477022394,0.1838152880520063,193.34883785247803
62,index_61,64,1,0,0.9,annealing,C,C,1,252,48471,48723,"[""C""]",20,0.036507372913358274,0.2131809011432414,197.97278332710266
63,index_62,64,1,0,0.9,annealing,D,D,1,247,45237,45484,"[""D""]",11,0.038797288786398286,0.1855338862736307,295.09423899650574
64,index_63,64,1,0,0.9,annealing,C,B,0,241,57194,57435,"[""B""]",20,0.04085860646997953,0.2414256893073302,237.6664640903473
65,index_64,64,1,0,0.9,annealing,A,D,0,292,43170,43462,"[""D""]",19,0.034183809248153986,0.1836658447283867,162.60290598869324
66,index_65,64,5,0,0.9,annealing,C,C,1,124,41149,41273,"[""C"", ""C"", ""C"", ""C"", ""C""]",23,0.05251124988378793,0.1531046850481955,46.39759349822998
67,index_66,64,1,0,0.9,annealing,D,D,1,242,46576,46818,"[""D""]",24,0.05191030801568501,0.2062317865949339,70.11673378944397
68,index_67,64,2,0,0.9,annealing,B,B,1,160,42034,42194,"[""B"", ""B""]",21,0.0335878116294307,0.1992079503848165,90.11621356010437
69,index_68,64,1,0,0.9,annealing,A,A,1,202,48472,48674,"[""A""]",16,0.03603165242498219,0.2053351266532167,236.02987384796143
70,index_69,64,1,0,0.9,annealing,D,D,1,165,42885,43050,"[""D""]",13,0.031874028561077385,0.2279757901815736,125.84796404838562
71,index_70,64,1,0,0.9,annealing,C,C,1,171,37729,37900,"[""C""]",15,0.045925019610321555,0.168123739071957,46.88006329536438
72,index_71,64,1,0,0.9,annealing,B,D,0,199,42917,43116,"[""D""]",17,0.032429818459765024,0.2072031681984607,116.99025750160217
73,index_72,64,7,0,0.9,annealing,C,C,1,187,46270,46457,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",18,0.060990050780472475,0.1722334304714936,54.707096576690674
74,index_73,64,1,0,0.9,annealing,A,A,1,169,37534,37703,"[""A""]",18,0.027773219651017124,0.1629679444070836,106.3077871799469
75,index_74,64,3,0,0.9,annealing,B,B,1,639,60681,61320,"[""B"", ""B"", ""B""]",30,0.058377295704721596,0.3258611671523574,430.23007822036743
76,index_75,64,1,0,0.9,annealing,D,B,0,221,50078,50299,"[""B""]",18,0.06775807619661822,0.2324590898901591,52.45276927947998
77,index_76,64,1,0,0.9,annealing,A,C,0,571,38333,38904,"[""C""]",18,0.0384633676628252,0.2864828513786146,141.80207896232605
78,index_77,64,1,0,0.9,annealing,C,C,1,515,43907,44422,"[""C""]",18,0.045231302301219835,0.2769932003287753,112.61850118637085
79,index_78,64,1,0,0.9,annealing,A,D,0,387,46031,46418,"[""D""]",20,0.03893987193543798,0.2294702234177688,201.47787404060364
80,index_79,64,1,0,0.9,annealing,A,C,0,119,49675,49794,"[""C""]",11,0.04072621490051253,0.1842636180228648,341.0720360279083
81,index_80,64,1,0,0.9,annealing,D,D,1,248,41158,41406,"[""D""]",16,0.03211274762828489,0.1973399088395726,146.07199382781982
82,index_81,64,1,0,0.9,annealing,A,A,1,804,34898,35702,"[""A""]",14,0.05639556867446781,0.33744302473287,82.19722080230713
83,index_82,64,1,0,0.9,annealing,A,A,1,193,63662,63855,"[""A""]",35,0.04863642792044561,0.1982365687812897,137.70765042304993
84,index_83,64,18,0,0.9,annealing,D,D,1,128,50096,50224,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",24,0.0864559379236625,0.2166180975864903,35.460527181625366
85,index_84,64,1,0,0.9,annealing,C,C,1,288,45041,45329,"[""C""]",19,0.03548569704406361,0.2124336845251438,163.72656154632568
86,index_85,64,1,0,0.9,annealing,A,D,0,335,37252,37587,"[""D""]",20,0.03565170105578298,0.2110139729507584,112.41036558151245
87,index_86,64,1,0,0.9,annealing,C,C,1,309,35035,35344,"[""C""]",20,0.037050401447223096,0.200926548606441,80.54580903053284
88,index_87,64,56,0,0.9,annealing,A,A,1,168,62551,62719,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",16,0.14939003942242854,0.2550250317567063,34.26251530647278
89,index_88,64,1,0,0.9,annealing,B,B,1,257,39446,39703,"[""B""]",15,0.03219322479471325,0.2328326981992079,127.855473279953
90,index_89,64,1,0,0.9,annealing,B,C,0,204,34374,34578,"[""C""]",10,0.02993166659091786,0.1921093925128895,184.11739468574524
91,index_90,64,1,0,0.9,annealing,B,B,1,235,41750,41985,"[""B""]",14,0.03206865041487832,0.2063065082567436,172.72931623458862
92,index_91,64,1,0,0.9,annealing,C,B,0,204,43329,43533,"[""B""]",14,0.038812727702167246,0.1800044832997086,312.00200295448303
93,index_92,64,1,0,0.9,annealing,B,D,0,397,42141,42538,"[""D""]",20,0.0705113788309599,0.2435178958380034,52.19353723526001
94,index_93,64,1,0,0.9,annealing,D,D,1,198,51531,51729,"[""D""]",22,0.037099184739583076,0.1950235373234701,203.9882447719574
95,index_94,64,1,0,0.9,annealing,C,A,0,257,41241,41498,"[""A""]",13,0.03239823950006886,0.2218486139131734,165.23880529403687
96,index_95,64,1,0,0.9,annealing,A,A,1,152,43237,43389,"[""A""]",28,0.03195632978408694,0.1601285212583127,128.77734065055847
97,index_96,64,8,0,0.9,annealing,A,A,1,272,47984,48256,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",18,0.048993208158830334,0.2051856833295973,75.45535278320312
98,index_97,64,1,0,0.9,annealing,D,A,0,177,43924,44101,"[""A""]",20,0.03178454784681052,0.1752970186056938,140.24861216545105
99,index_98,64,1,0,0.9,annealing,A,B,0,360,58394,58754,"[""B""]",23,0.0446399650347154,0.2636927445266382,250.0882909297943
100,index_99,64,1,0,0.9,annealing,B,B,1,226,39594,39820,"[""B""]",22,0.03365941889079082,0.1958454756033774,101.4605040550232
101,index_100,64,1,0,0.9,annealing,A,A,1,222,37481,37703,"[""A""]",11,0.029577352510176007,0.1830680714339086,108.68678617477417
102,index_101,64,1,0,0.9,annealing,D,D,1,439,54312,54751,"[""D""]",26,0.06065682913948781,0.2763954270342972,92.79666233062744
103,index_102,64,1,0,0.9,annealing,C,C,1,345,43990,44335,"[""C""]",17,0.0376067257126894,0.234028244788164,231.15425324440002
104,index_103,64,1,0,0.9,annealing,A,A,1,220,36186,36406,"[""A""]",15,0.05241254325654771,0.2068295598894119,42.478755950927734
105,index_104,64,1,0,0.9,annealing,D,D,1,240,44884,45124,"[""D""]",16,0.03643625618837119,0.2152731076739147,97.94588255882263
106,index_105,64,2,0,0.9,annealing,C,B,0,300,34288,34588,"[""B"", ""B""]",16,0.032739014698412706,0.1977882388104311,86.26115727424622
107,index_106,64,45,0,0.9,annealing,A,B,0,280,57638,57918,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",40,0.15010952273733774,0.2963461107375028,35.09316444396973
108,index_107,64,1,0,0.9,annealing,C,C,1,192,41894,42086,"[""C""]",18,0.04214276016396317,0.2017484868863484,63.802053451538086
109,index_108,64,1,0,0.9,annealing,D,D,1,279,47931,48210,"[""D""]",19,0.036075563876540095,0.2300679967122468,165.454505443573
110,index_109,64,1,0,0.9,annealing,B,B,1,515,38032,38547,"[""B""]",17,0.04240580394879211,0.2639916311738773,96.87302374839783
111,index_110,64,1,0,0.9,annealing,D,B,0,344,42372,42716,"[""B""]",18,0.03526055292604868,0.2325338115519689,176.69188141822815
112,index_111,64,1,0,0.9,annealing,A,A,1,248,46522,46770,"[""A""]",27,0.03957309004807337,0.2097437046999924,101.0892128944397
113,index_112,64,1,0,0.9,annealing,C,C,1,244,45048,45292,"[""C""]",27,0.0353713088113143,0.1900919076440259,162.39848709106445
114,index_113,64,2,0,0.9,annealing,C,A,0,188,37755,37943,"[""A"", ""A""]",19,0.03764235029778802,0.1828439064484793,66.13112735748291
115,index_114,64,2,0,0.9,annealing,C,C,1,183,39665,39848,"[""C"", ""C""]",25,0.037691201118964714,0.1752970186056938,87.02548241615295
116,index_115,64,1,0,0.9,annealing,B,A,0,268,42086,42354,"[""A""]",11,0.03485546473208417,0.2168422625719196,216.6551582813263
117,index_116,64,1,0,0.9,annealing,D,D,1,226,40312,40538,"[""D""]",13,0.03183863020626013,0.1789583800343719,193.42913675308228
118,index_117,64,1,0,0.9,annealing,B,B,1,172,34637,34809,"[""B""]",14,0.026100090282879657,0.1738025853694986,122.74910688400269
119,index_118,64,1,0,0.9,annealing,A,C,0,318,40534,40852,"[""C""]",22,0.037695699177954324,0.2447881640887693,105.95007038116455
120,index_119,64,1,0,0.9,annealing,A,A,1,122,35643,35765,"[""A""]",17,0.045283682066354074,0.1553463349024882,39.06000852584839
121,index_120,64,1,0,0.9,annealing,C,C,1,293,41520,41813,"[""C""]",18,0.0336951736315326,0.2254352536800418,119.9050841331482
122,index_121,64,1,0,0.9,annealing,A,A,1,209,44206,44415,"[""A""]",14,0.03681432072836758,0.185459164611821,258.54889154434204
123,index_122,64,1,0,0.9,annealing,D,D,1,223,27430,27653,"[""D""]",10,0.02965164827880924,0.1703653889262497,53.12154769897461
124,index_123,64,2,0,0.9,annealing,A,A,1,162,40440,40602,"[""A"", ""A""]",20,0.04432831539082012,0.2014496002391093,58.57293629646301
125,index_124,64,4,0,0.9,annealing,A,A,1,246,35398,35644,"[""A"", ""A"", ""A"", ""A""]",13,0.05890541177821221,0.1818725248449525,39.30843710899353
126,index_125,64,1,0,0.9,annealing,A,B,0,260,45115,45375,"[""B""]",18,0.03988179718336697,0.2123589628633341,303.17587399482727
127,index_126,64,1,0,0.9,annealing,A,D,0,143,31728,31871,"[""D""]",11,0.024702339904681726,0.1708137188971082,126.97108006477356
128,index_127,64,1,0,0.9,annealing,A,A,1,2814,48805,51619,"[""A""]",34,0.09095109601792768,0.9340207726219832,298.6332085132599
129,index_128,64,1,0,0.9,annealing,A,B,0,278,49992,50270,"[""B""]",15,0.03788708056854132,0.2385115444967496,209.79740047454834
130,index_129,64,1,0,0.9,annealing,D,C,0,128,43581,43709,"[""C""]",20,0.03240981551692941,0.1639393260106104,90.12066912651062
131,index_130,64,1,0,0.9,annealing,D,A,0,359,40908,41267,"[""A""]",16,0.03530043163962711,0.2403795860419936,133.25314331054688
132,index_131,64,1,0,0.9,annealing,B,D,0,331,52475,52806,"[""D""]",20,0.041579772341245956,0.2391093177912276,254.6612811088562
133,index_132,64,1,0,0.9,annealing,A,A,1,250,49070,49320,"[""A""]",26,0.04803853272564078,0.2119106328924755,82.40248489379883
134,index_133,64,1,0,0.9,annealing,A,A,1,141,45706,45847,"[""A""]",22,0.038421586220740954,0.1563177165060151,77.32961249351501
